Age,Foram bent (corrected),Foram bent (corrected)
4488.25,1.13,2.91
4492.107143,0.98,3.22
4493.714286,1.11,3.05
4503.086022,1.12,3.12
4508.139785,1.16,2.84
4513.193548,1.05,3.09
4518.247312,1.05,2.82
4523.301075,1.08,2.94
4533.408602,0.85,2.93
4538.462366,0.9,2.92
4543.241379,0.84,2.75
4547.37931,0.85,2.6
4551.517241,0.78,2.62
4555.575758,0.88,2.62
4558.727273,0.95,2.69
4563.454545,0.77,2.82
4567.297297,0.84,2.85
4570.27027,0.78,3
4573.243243,0.87,2.45
4578.740741,0.81,2.66
4583.185185,1.01,2.82
4586.888889,0.89,2.78
4590.333333,0.78,2.41
4593.666667,0.61,2.49
4597,0.73,2.62
4600.333333,0.82,2.62
4603.666667,0.48,2.43
4607,0.61,2.8
4610.333333,0.22,2.79
4619.117647,0.74,2.51
4623.627451,0.87,2.57
4628.137255,0.93,2.77
4632.647059,0.99,2.78
4636.851852,0.81,2.79
4648.333333,0.76,2.91
4651.666667,0.78,2.96
4655,0.48,2.94
4658.6,0.64,2.8
4662.6,0.72,2.61
4666.6,0.49,2.39
4673.8,0.92,2.63
4682.75,0.86,2.94
4687.125,0.85,2.83
4691.5,0.8,3.01
4700.25,0.92,3.05
4704.631579,0.78,2.48
4713.403509,0.71,2.77
4722.175439,0.78,2.62
4726.561404,0.85,2.96
4730.315789,0.89,2.87
4734,0.87,3.12
4741.368421,1.02,2.92
4745.052632,1.08,3.06
4748.793651,1.07,2.88
4752.761905,1.04,2.8
4756.730159,0.96,2.73
4764.666667,0.81,3.02
4772.603175,0.64,2.86
4775.85,0.79,2.97
4779.016667,0.68,3.07
4782.183333,1.01,3.08
4785.35,0.92,2.88
4788.516667,0.99,2.81
4798.057971,0.95,2.89
4801.246377,0.93,3.09
4804.434783,0.85,2.94
4807.623188,0.96,3.18
4810.811594,0.99,3.2
4817.157895,1.07,3.05
4820.315789,1.15,2.99
4823.473684,1.16,2.94
4826.631579,1.07,2.89
4829.789474,0.94,2.73
