Age,Foram bent (corrected),Foram bent (corrected)
11866,0.9,2.52
11874.47826,1.16,2.37
11895.6,0.99,2.74
11902.04,0.99,2.51
11918.57143,1.02,2.63
11926.19048,0.8,2.25
12012.1875,0.81,2.24
12019.0625,0.55,2.09
12032.73529,0.78,2.21
12039.5,0.9,2.17
12046.26471,1,2.05
12052.90909,1.13,2.22
12059.27273,0.93,2.71
12065.63636,0.97,2.42
12072,0.93,2.4
12078.36364,0.92,2.36
12085.09677,1.11,2.32
12091.87097,0.84,2.36
12098.64516,1.17,2.34
12105.41935,1,2.18
12112.19355,0.91,2.14
12118.96774,0.98,2.24
12126.49231,0.53,2.63
12134.33846,1.01,2.42
12142.18462,1.19,2.16
12150.03077,1.06,2.23
12157.87692,1.02,2.31
12165.72308,0.76,2.4
12172.97059,0.87,2.43
12177.82353,1.22,2.16
12182.67647,1.12,2.46
12187.52941,1.13,2.48
12520.24631,1.07,2.46
12526.55172,1.24,2.35
12532.85714,1.22,2.32
12539.16256,1.24,2.36
12545.46798,1.27,2.6
12551.7734,1.25,2.33
12558.07882,1.27,2.52
12564.38424,1.32,2.38
12570.68966,1.23,2.25
12576.99507,1.01,2.18
12583.30049,1.19,2.5
12589.60591,1.12,2.34
12595.91133,1.08,2.35
12602.21675,1.07,2.47
12608.28571,1.13,2.36
12614,1.17,2.37
12619.71429,1.22,2.25
12625.42857,1.11,2.34
12631.59459,1.14,2.23
12637.81081,1.09,2.29
12644.02703,0.8,2.09
12650.14286,0.76,2.31
12650.14286,0.82,2.46
12655.85714,0.7,2.88
12661.57143,1.09,2.53
12661.57143,1.09,2.6
12667.28571,1.17,2.46
12667.28571,0.97,2.48
12667.28571,1.11,2.24
12672.625,1.21,2.4
12677.80357,1.14,2.06
12677.80357,1.06,2.37
12677.80357,1.43,2.79
12682.98214,1.17,2.26
12682.98214,1.26,2.41
12688.16071,1.09,2.5
12693.33929,1.06,2.28
12693.33929,1.42,3.15
12698.56757,1.06,2.61
12698.56757,1.01,2.46
12704.24324,1.24,2.49
12709.91892,1.62,3.18
12709.91892,1.14,2.25
12715.59459,0.82,2.19
12715.59459,1.24,2.42
12721.51429,1.11,2.47
12727.8,1.6,3.59
12734.08571,0.9,2.46
12734.08571,0.94,2.33
12740.37143,0.84,2.3
12745.21277,1.13,2.19
12749.89362,0.87,2.5
12754.57447,0.89,2.2
12759.25532,0.89,2.53
12764.19048,1.02,2.73
12770.14286,1.23,2.5
12782.04762,1.1,2.26
12788,1.12,2.65
12793.95238,1.03,2.56
12799.90476,1.11,2.27
12805.85714,1.06,2.4
12811.80952,0.94,2.35
12817.70588,1.01,2.41
12823.58824,1.13,2.51
12823.58824,1.15,2.06
12829.47059,1.08,2.27
12835.42105,1,2.06
12841.47368,1.76,1.39
12861.625,0.8,2.07
12867.875,0.39,2.52
12874.125,1.05,2.22
12880.86957,1.09,2.32
12887.82609,1.08,2.46
12894.78261,0.86,2.45
12901.73913,1.08,2.47
12913.38462,1.14,2.37
12915.94872,1.17,2.34
12918.51282,1.08,2.18
12921.07692,1.05,2.35
12923.64103,1.14,2.46
12925.4359,0.99,2.35
12928.4878,1.09,2.35
12934.34146,1.26,2.25
12939.21951,1.11,2.34
12944.09756,1.02,2.43
12949.25714,0.75,2.68
12955.54286,1,2.53
12961.82857,1.17,2.47
12968.11429,1.17,2.44
12974.42105,1.31,2.38
12980.73684,1.22,2.43
12987.05263,1.14,2.36
12993.36842,1.05,2.43
12999.68421,1.08,2.46
13006,0.88,2.37
13012.31579,1.03,2.33
13018.52381,1.01,2.33
13023.7619,1.12,2.24
13029,1.24,2.29
13034.2381,1.13,2.13
13038.42857,1.18,2.19
13042.42857,1.14,2.42
13048.25714,0.99,2.49
13100.33333,1.08,2.38
13105.88889,1.18,2.61
13111.44444,1.26,2.25
13119.56,1.26,2.07
13127.96,1.31,2.23
13136.81818,0.62,2.64
13136.81818,1.27,2.22
13146.36364,1.2,2.29
13146.36364,1.21,2.41
13155.81818,1.19,2.21
13155.81818,1.14,2.39
13164.90909,1.26,2.41
13164.90909,1,2.24
13174,1.11,2.27
13182.91892,1.38,2.23
13182.91892,1.17,2.09
13191.83784,1.43,2.25
13191.83784,1.06,2.18
13200.75676,1.24,2.2
13200.75676,0.98,2.1
13209.28,1.3,2.14
13209.28,1.12,2.29
13216.88,1.27,2.03
13216.88,1.2,2.12
13224.48,1.19,2.12
13230.63158,1.26,1.98
13236.42105,1.36,2.02
13242.21053,1.1,1.87
13246.84211,1.22,1.95
13255.35484,1.21,2.39
13260.25806,1.38,2.13
13266.3871,1.51,2.05
13272.75581,1.41,2.18
13279.15116,1.56,2.15
13414.15385,1.75,2.38
13414.15385,1.85,2.31
13420.51701,1.51,2.17
13762.05319,1.74,2.46
13769.5,1.83,2.24
13773.2234,1.45,1.94
13776.94681,1.55,2.38
13780.67021,1.14,2.52
13784.39362,1.6,2.11
13784.39362,1.64,2.49
13788.08197,1.6,2.37
13795.29508,1.65,2.15
13802.5082,1.46,2.25
13802.5082,1.57,2.43
