Depth [m],Age [ka BP],C. mundulus d13C [per mil PDB],C. mundulus d18O [per mil PDB] (equilibrium)
66.26,4626.833333,-0.203,3.257
66.33,4629.296296,-0.253,3.232
66.46,4633.950276,0.009,3.292
66.55,4637.18232,-0.144,3.111
66.68,4641.850829,-0.187,3.125
66.75,4644.364641,-0.363,3.018
66.86,4648.314917,-0.324,3.14
66.93,4650.828729,-0.631,3.55
67.06,4655.497238,-0.287,3.131
67.18,4659.80663,-0.157,3.009
67.26,4662.679558,-0.179,2.861
67.36,4666.270718,-0.089,3.211
67.46,4669.861878,-0.352,3.05
67.56,4673.453039,-0.3,3.425
67.68,4677.762431,-0.157,2.997
67.76,4680.635359,-0.147,3.065
67.84,4683.508287,-0.348,3.179
67.96,4687.81768,-0.086,3.008
68.06,4691.40884,-0.203,3.15
68.18,4695.718232,-0.195,3.259
68.26,4698.59116,-0.312,3.473
68.36,4702.18232,-0.041,3.208
68.45,4705.414365,-0.181,3.185
68.56,4709.364641,0.231,3.398
68.68,4713.674033,-0.208,3.098
68.76,4716.546961,-0.242,3.014
68.86,4720.138122,-0.382,3.445
68.96,4723.729282,-0.432,2.842
69.08,4728.038674,-0.365,3.159
69.18,4731.629834,-0.367,3.124
69.25,4734.143646,-0.224,3.228
69.38,4738.812155,-0.126,3.441
69.48,4742.403315,-0.078,2.994
69.58,4745.994475,-0.283,3.432
69.68,4749.585635,-0.18,3.576
69.78,4753.176796,-0.021,3.104
69.88,4756.767956,-0.516,3.135
69.96,4759.640884,-0.522,3.133
70.08,4766.818182,-0.709,3.356
70.19,4773.636364,-0.775,3.317
70.28,4779.214876,-0.543,3.793
70.37,4784.793388,-0.621,3.416
70.49,4792.231405,-0.296,3.012
70.58,4797.809917,-0.295,3.086
70.68,4804.008264,-0.33,3.37
70.75,4808.347107,-0.396,3.178
70.88,4816.404959,-0.111,3.531
70.97,4821.983471,-0.371,3.189
71.08,4828.801653,-0.198,3.16
71.17,4834.380165,-0.349,3.11
71.32,4841.213483,-0.54,3.141
71.38,4843.876404,-0.527,3.065
71.45,4846.983146,-0.197,3.311
71.58,4852.752809,-0.86,3.409
71.67,4856.747191,-0.68,3.496
71.77,4861.185393,-0.359,3.21
71.86,4865.179775,-0.345,3.221
71.99,4870.949438,0.059,2.991
72.08,4874.94382,0.216,3.17
72.16,4878.494382,-0.349,3.339
72.22,4881.157303,-0.385,3.26
72.38,4888.258427,-0.764,3.153
72.48,4892.696629,-0.466,3.795
72.58,4897.134831,-0.556,3.582
72.68,4901.573034,-0.721,3.483
72.78,4906.011236,-0.54,3.555
72.88,4910.449438,-0.599,3.277
72.95,4913.55618,-0.152,2.881
73.2,4920,-0.346,3.375
73.28,4922,-0.989,3.023
73.36,4924,-0.487,3.396
73.47,4926.75,-0.424,3.032
73.58,4929.5,-0.43,3.297
73.67,4931.75,-0.507,3.286
73.76,4934,-0.438,3.395
73.88,4937,-0.311,2.957
73.98,4939.5,-0.158,3.352
74.08,4942,-0.094,3.362
74.18,4944.5,-0.124,2.84
74.26,4946.5,-0.093,3.029
74.35,4948.75,-0.233,3.224
74.46,4951.5,-0.136,3.06
74.58,4954.5,0.048,3.201
74.68,4957,-0.344,2.992
74.78,4959.5,-0.336,2.962
74.92,4963,0.042,3.206
74.99,4964.75,-0.26,3.351
75.08,4967,-0.065,3.128
75.18,4969.5,-0.013,3.083
75.26,4971.5,-0.132,3.325
75.38,4974.5,-0.29,3.049
75.48,4977,-0.51,3.315
75.58,4979.5,-0.287,3.461
75.68,4982,-0.102,3.359
75.78,4984.5,-0.015,3.12
75.88,4987,-0.041,3.137
75.96,4989,-0.025,3.123
76.18,4994.5,0.181,3.246
76.28,4997,-0.007,3.026
76.4,5000,-0.284,3.111
76.48,5003.268966,-0.082,3.083
76.55,5006.12931,-0.2,3.184
76.67,5011.032759,-0.447,3.482
76.78,5015.527586,-0.136,3.396
76.9,5020.431034,0.13,3.418
76.98,5023.7,-0.18,2.951
77.08,5027.786207,-0.049,2.971
77.16,5031.055172,0.027,3.033
77.28,5035.958621,-0.188,3.217
77.4,5040.862069,0.039,3.163
77.48,5044.131034,-0.015,3.082
77.58,5048.217241,-0.174,2.906
77.67,5051.894828,-0.427,3.062
77.78,5056.389655,-0.455,3.167
77.9,5061.293103,-0.234,3.212
77.98,5064.562069,-0.283,3.322
78.06,5067.831034,-0.415,3.208
78.18,5072.734483,-0.211,2.865
78.28,5076.82069,-0.316,3.078
78.4,5081.724138,-0.196,3.096
78.48,5084.993103,-0.1,2.996
78.58,5089.07931,-0.151,3.145
78.66,5092.348276,-0.07,3.281
78.78,5097.251724,-0.173,3.139
78.9,5102.155172,-0.227,3.098
78.98,5105.424138,-0.045,3.146
79.08,5109.510345,-0.28,2.94
79.18,5113.596552,-0.115,2.944
79.28,5117.682759,-0.159,3.246
79.4,5122.586207,-0.178,2.875
79.48,5125.855172,-0.114,3.211
79.56,5129.124138,-0.097,3.272
79.68,5134.027586,0.024,2.96
79.78,5138.113793,-0.081,3.13
79.9,5143.017241,-0.13,3.072
79.98,5146.286207,-0.027,3.262
80.05,5149.146552,-0.101,3.026
80.13,5152.415517,-0.502,3.03
80.25,5157.318966,-0.392,2.967
80.35,5161.405172,-0.44,3.01
80.45,5165.491379,-0.066,3.593
80.55,5169.577586,-0.238,3.079
80.65,5173.663793,0.07,3.135
80.75,5177.75,-0.131,3.212
80.85,5181.836207,-0.005,2.836
81.05,5190.008621,-0.08,3.21
81.15,5194.094828,-0.03,3.077
81.24,5197.772414,-0.515,3.18
81.36,5202.675862,-0.481,3.59
81.45,5206.353448,-0.263,3.427
81.55,5210.439655,-0.191,3.248
81.63,5213.708621,-0.369,3.326
81.75,5218.612069,-0.147,3.405
81.85,5222.698276,-0.277,3.209
81.95,5226.784483,0.366,3.547
82.05,5230.87069,0.09,3.09
82.19,5236.591379,-0.194,2.938
82.26,5239.026846,0.008,2.921
82.35,5242.067114,-0.255,3.15
82.45,5245.44519,-0.044,2.974
82.55,5248.823266,-0.181,2.914
82.65,5252.201342,-0.004,3.209
82.74,5255.241611,-0.058,2.937
82.85,5258.957494,0.033,3.135
82.95,5262.33557,0.141,3.222
83.02,5264.700224,0.107,3.24
83.08,5266.727069,0.102,3.135
83.25,5272.469799,0.257,3.056
83.35,5275.847875,0.365,3.138
83.45,5279.225951,0.733,3.727
83.55,5282.604027,0.244,3.239
83.65,5285.982103,0.305,3.256
83.75,5289.360179,-0.07,3.278
83.85,5292.738255,0.297,3.211
83.95,5296.116331,0.052,3.266
84.05,5299.494407,0.331,3.333
84.15,5302.872483,0.149,3.156
84.24,5305.912752,0.221,3.213
84.35,5309.628635,0.327,3.12
84.45,5313.006711,0.147,3.481
84.55,5316.384787,-0.075,3.115
84.63,5319.087248,0.088,2.95
84.75,5323.14094,0.068,3.082
84.85,5326.519016,0.149,3.328
84.95,5329.897092,0.277,3.157
85.05,5333.275168,0.123,2.997
85.13,5335.977629,0.149,3.235
85.23,5339.355705,-0.212,3.152
85.35,5343.409396,0.049,3.24
85.45,5346.787472,0.056,3.131
85.55,5350.165548,0.118,3.292
85.65,5353.543624,0.116,3.154
85.74,5356.583893,0.152,3.363
85.85,5360.299776,-0.021,3.127
85.95,5363.677852,0.073,3.089
86.05,5367.055928,0.108,3.185
86.13,5369.758389,0.341,3.205
86.25,5373.812081,0.217,2.893
86.35,5377.190157,0.341,3.349
86.45,5380.568233,0.048,3.08
86.55,5383.946309,0.056,3.121
86.65,5387.324385,0.008,3.222
86.75,5390.702461,-0.011,3.136
86.85,5394.080537,0.205,3.081
86.93,5396.782998,0.288,3.307
87.03,5400.161074,0.183,3.151
87.13,5403.53915,0.114,3.102
87.23,5406.917226,0.228,3.39
87.35,5410.970917,-0.061,3.124
87.43,5413.673378,0.125,3.097
87.51,5416.375839,-0.016,3.169
87.63,5420.42953,-0.049,3.162
87.73,5423.807606,-0.145,3.135
87.85,5427.861298,-0.106,3.365
87.93,5430.563758,-0.067,3.122
88.03,5433.941834,-0.238,3.106
88.11,5436.644295,-0.002,3.248
88.23,5440.697987,0.013,3.062
88.35,5444.751678,-0.109,3.241
88.43,5447.454139,-0.141,2.944
88.53,5450.832215,0.26,3.154
88.63,5454.210291,0.149,3.223
88.73,5457.588367,0.082,3.32
88.85,5461.642058,0.351,3.589
88.93,5464.344519,-0.127,2.856
89.01,5467.04698,0.001,3.149
89.13,5471.100671,0.406,3.107
89.23,5474.478747,0.278,3.202
89.35,5478.532438,0.289,3.168
89.43,5481.234899,0.336,3.258
89.53,5484.612975,0.241,3.019
89.61,5487.315436,0.169,3.248
89.73,5491.369128,0.268,3.322
89.85,5495.422819,0.056,3.112
