Depth [m],Age [ka BP],C. mundulus d13C [per mil PDB],C. mundulus d18O [per mil PDB] (equilibrium)
122.94,6465.548387,-0.094,3.293
123.07,6470.082278,0.018,3.237
123.19,6473.651899,0.038,3.114
123.27,6476.031646,-0.274,3.365
123.35,6478.411392,0.161,3.1
123.47,6481.981013,-0.104,3.09
123.57,6484.955696,0.044,3.339
123.69,6488.525316,-0.123,3.31
123.75,6490.310127,0.006,3.348
123.87,6493.879747,0.152,3.318
123.97,6496.85443,0.001,3.269
124.06,6499.531646,-0.14,3.128
124.19,6503.398734,-0.048,3.287
124.27,6505.778481,-0.031,3.39
124.37,6508.753165,-0.214,3.14
124.45,6511.132911,-0.013,3.32
124.57,6514.702532,-0.085,3.657
124.67,6517.677215,0.066,3.373
124.77,6520.651899,-0.213,3.359
124.85,6523.031646,-0.032,3.166
124.99,6527.196203,-0.01,3.131
125.07,6529.575949,-0.003,3.539
125.17,6532.550633,0.029,3.353
125.25,6534.93038,-0.045,3.41
125.37,6538.5,-0.045,3.105
125.47,6541.474684,-0.312,3.221
125.57,6544.449367,-0.41,3.103
125.67,6547.424051,-0.325,3.159
125.79,6550.993671,-0.52,3.188
125.87,6553.373418,-0.368,3.227
125.95,6555.753165,-0.449,3.092
126.06,6559.025316,-0.936,3.705
126.17,6562.758621,-0.454,3.383
126.29,6571.862069,0.025,3.325
126.37,6577.931034,-0.148,2.909
126.46,6584.292063,-0.344,3.102
126.54,6586.628571,-0.155,3.076
126.67,6590.425397,-0.223,3.301
126.79,6593.930159,-0.094,3.404
126.87,6596.266667,-0.071,3.277
126.98,6599.479365,0.021,3.081
127.08,6602.4,-0.115,3.264
127.17,6605.028571,-0.113,2.855
127.29,6608.533333,-0.168,3.26
127.37,6610.869841,-0.147,3.417
127.45,6613.206349,-0.121,3.533
127.56,6616.419048,-0.227,3.172
127.66,6619.339683,-0.174,3.266
127.79,6623.136508,-0.161,3.283
127.87,6625.473016,-0.096,3.36
127.97,6628.393651,-0.239,3.286
128.04,6630.438095,-0.135,3.175
128.17,6634.234921,-0.209,0.93
128.29,6637.739683,-0.321,3.275
128.37,6640.07619,-0.341,3.356
128.47,6642.996825,-0.419,3.253
128.57,6645.91746,-0.255,3.269
128.65,6648.253968,-0.544,3.371
128.79,6652.342857,-0.173,3.371
128.87,6654.679365,-0.199,3.129
128.95,6657.015873,-0.169,3.383
129.07,6660.520635,-0.275,3.551
129.17,6663.44127,-0.251,3.287
129.29,6666.946032,-0.323,3.247
129.37,6669.28254,-0.306,3.174
129.47,6672.203175,-0.295,3.06
129.55,6674.539683,-0.239,3.235
129.67,6677.483051,-0.199,3.335
129.79,6680.025424,-0.308,3.052
129.87,6681.720339,-0.459,3.138
129.97,6683.838983,-0.51,3.33
130.07,6685.957627,-0.508,3.253
130.17,6688.076271,-0.372,3.539
130.29,6690.618644,-0.383,3.248
130.37,6692.313559,-0.327,3.16
130.45,6694.008475,-0.382,3.027
130.57,6696.550847,-0.207,3.142
130.67,6698.669492,-0.136,3.121
130.79,6701.211864,-0.554,3.272
130.87,6702.90678,-0.376,3.657
130.97,6705.025424,-0.217,3.301
131.05,6706.720339,-0.146,3.251
131.17,6709.262712,-0.149,3.121
131.27,6711.381356,-0.236,3.014
131.37,6713.5,-0.132,3.711
131.47,6715.618644,-0.203,2.997
131.57,6717.737288,-0.065,3.169
131.67,6719.855932,-0.178,3.195
131.77,6721.974576,-0.475,3.181
131.87,6724.09322,-0.335,3.209
131.95,6725.788136,-0.354,3.111
132.06,6728.118644,-0.351,3.117
132.17,6730.449153,-0.255,3.081
132.25,6732.144068,-0.281,3.125
132.37,6734.686441,-0.241,3.491
132.47,6736.805085,-0.116,3.213
132.78,6743.372881,-0.198,3.01
132.86,6745.067797,-0.845,3.352
132.98,6747.610169,-0.122,3.034
133.06,6749.305085,-0.121,3.055
133.18,6751.723982,-0.034,3.124
133.28,6753.533937,-0.047,3.064
133.38,6755.343891,0.053,3.069
133.48,6757.153846,0.03,3.033
133.56,6758.60181,-0.154,3.198
133.68,6760.773756,-0.14,3.052
133.78,6762.58371,-0.142,3.071
133.88,6764.393665,-0.289,3.286
133.98,6766.20362,-0.254,3.05
134.06,6767.651584,-0.135,3.21
134.18,6769.823529,-0.404,3.037
134.28,6771.633484,-0.303,3.007
134.36,6773.081448,-0.39,3.055
134.48,6775.253394,-0.317,3.202
134.56,6776.701357,-0.454,3.03
134.68,6778.873303,-0.259,3.207
134.78,6780.683258,-0.273,3.267
134.88,6782.493213,-0.108,3.04
134.98,6784.303167,-0.093,3.117
135.18,6787.923077,-0.083,3.211
135.28,6789.733032,-0.097,2.936
135.38,6791.510836,-0.033,2.996
135.48,6793.213622,0.034,3.054
135.56,6794.575851,0.293,3.441
135.68,6796.619195,0.175,3.146
135.78,6798.321981,-0.298,3.079
135.86,6799.684211,-0.026,3.219
135.98,6801.727554,-0.06,3.302
136.08,6803.430341,-0.032,3.329
136.18,6805.133127,-0.063,3.299
136.28,6806.835913,-0.014,3.197
136.38,6808.5387,-0.003,3.304
136.48,6810.241486,-0.048,3.244
136.68,6813.647059,-0.167,3.126
136.78,6815.349845,-0.165,3.149
136.88,6817.052632,-0.055,3.233
136.9,6817.393189,-0.122,3.278
136.92,6817.733746,-0.142,3.279
136.98,6818.755418,0.03,3.237
137.1,6820.798762,-0.077,3.16
137.22,6822.842105,0.605,3.853
137.3,6824.204334,-0.07,3.253
137.4,6825.907121,-0.154,3.094
137.5,6827.609907,0.062,3.234
137.6,6829.312693,0.088,3.33
137.72,6831.356037,0.061,3.418
137.8,6832.718266,-0.074,3.126
137.88,6834.080495,-0.024,3.269
138,6836.123839,-0.2,2.994
138.09,6837.656347,-0.041,3.136
138.22,6839.869969,-0.014,3.345
138.29,6841.06192,0.121,3.173
138.39,6842.764706,-0.171,3.189
138.48,6844.297214,-0.143,3.07
138.6,6846.320675,-0.028,3.418
138.72,6848.244726,-0.238,3.128
138.8,6849.527426,-0.215,3.06
138.9,6851.130802,-0.31,3.071
139,6852.734177,-0.32,3.169
139.1,6854.337553,-0.578,3.104
139.22,6856.261603,-0.548,3.349
139.3,6857.544304,-0.385,3.283
139.38,6858.827004,-0.418,3.192
139.5,6860.751055,-0.198,3.223
139.6,6862.35443,-0.085,3.165
139.72,6864.278481,-0.052,3.135
139.8,6865.561181,-0.219,3.171
139.9,6867.164557,-0.099,3.156
139.98,6868.447257,-0.088,3.008
140.11,6870.531646,0.073,3.197
140.22,6872.295359,0.278,3.423
140.3,6873.578059,-0.014,3.014
140.4,6875.181435,0.138,3.551
140.5,6876.78481,0.189,2.985
140.6,6878.388186,0.123,3.162
140.72,6880.312236,0.038,3.153
140.8,6881.594937,0.051,3.125
140.88,6882.877637,0.041,3.13
140.99,6884.421687,-0.111,3.282
141.1,6885.581325,-0.385,3.109
141.22,6886.846386,-0.307,3.369
141.3,6887.689759,-0.11,3.197
141.4,6888.743976,-0.068,3.263
141.47,6889.481928,-0.118,3.078
141.6,6890.85241,-0.147,3.335
141.72,6892.11747,-0.304,3.195
141.8,6892.960843,-0.189,3.191
141.9,6894.01506,-0.104,3.171
142,6895.069277,-0.064,3.226
142.09,6896.018072,-0.079,3.089
142.22,6897.388554,-0.189,3.123
142.3,6898.231928,-0.172,3.33
142.37,6898.96988,-0.106,3.01
142.49,6900.23494,-0.314,3.055
142.6,6901.394578,-0.206,3.152
142.74,6902.870482,-0.336,3.199
142.8,6903.503012,-0.214,3.078
142.9,6904.557229,-0.063,3.293
142.97,6905.295181,-0.089,3.038
143.09,6906.560241,-0.104,3.218
143.19,6907.614458,-0.109,3.184
143.29,6908.668675,-0.116,3.079
143.39,6909.722892,-0.086,3.397
143.5,6910.88253,-0.088,3.024
143.58,6911.725904,-0.012,3.225
143.69,6912.885542,0.032,3.196
143.79,6913.939759,0.019,3.042
143.85,6914.572289,-0.073,3.213
143.95,6915.626506,0.006,3.312
144.05,6916.680723,-0.085,3.043
144.15,6917.73494,-0.115,2.942
144.27,6919,0.054,3.294
144.37,6920.944444,-0.116,3.192
144.45,6922.5,-0.173,3.346
144.55,6924.444444,-0.101,3.267
144.64,6926.194444,-0.211,3.268
144.77,6928.722222,-0.4,3.233
144.85,6930.277778,-0.318,3.224
144.95,6932.222222,-0.278,3.028
145.03,6933.777778,-0.182,3.302
145.15,6936.111111,-0.061,3.214
145.27,6938.444444,-0.045,3.329
145.35,6940,-0.184,3.046
145.45,6941.944444,-0.22,3.221
145.57,6944.277778,-0.136,3.067
145.65,6945.833333,-0.184,3.397
145.77,6948.166667,-0.174,3.172
145.87,6950.111111,-0.068,3.044
145.95,6951.666667,0.039,3.175
146.05,6953.611111,0.042,3.176
146.14,6955.361111,-0.143,3.008
146.27,6957.888889,-0.145,3.112
146.35,6959.444444,-0.141,3.14
146.45,6961.465116,-0.092,2.763
146.55,6963.790698,-0.001,2.852
146.65,6966.116279,-0.168,2.91
146.77,6968.906977,-0.432,3.151
146.85,6970.767442,-0.174,2.923
146.97,6973.55814,-0.295,3.365
147.05,6975.418605,-0.37,3.166
147.15,6977.744186,-0.375,3.322
147.27,6980.534884,0.1,3.248
147.37,6983.842105,0.08,3.001
147.45,6986.684211,0.272,3.046
147.55,6990.236842,0.273,3.298
147.64,6993.434211,0.215,2.991
147.77,6998.052632,0.092,2.9
147.85,7000.894737,0.014,3.04
147.9,7002.671053,0.046,3.086
148.02,7006.934211,0.023,3.248
148.1,7009.776316,0.072,3.044
148.2,7013.328947,-0.038,3.295
148.3,7016.881579,-0.233,3.176
148.4,7020.434211,-0.053,3.144
148.52,7024.697368,0.049,3.257
148.6,7027.539474,0.163,3.181
148.68,7030.381579,0.251,3.04
148.8,7034.644737,0.138,3.339
148.9,7036.948454,0.224,2.992
149.02,7039.546392,0.07,2.909
149.1,7041.278351,-0.249,3.268
149.2,7043.443299,0.197,3.397
149.28,7045.175258,0.149,3.059
149.4,7047.773196,0.115,3.221
149.52,7050.371134,-0.023,3.193
149.6,7052.103093,-0.166,3.002
149.7,7054.268041,-0.191,3.267
149.8,7056.43299,-0.217,3.14
149.9,7058.597938,-0.075,2.922
150.02,7061.195876,-0.122,3.324
150.1,7062.927835,-0.111,3.705
150.18,7064.659794,-0.248,3.121
150.3,7067.257732,0.131,2.986
150.4,7069.42268,0.047,3.351
150.52,7072.020619,0.048,3.047
150.6,7073.752577,0.084,2.954
150.7,7075.917526,0.111,3.301
150.78,7077.592275,0.103,2.759
150.9,7079.961373,0.21,3.37
151.02,7082.330472,0.171,3.014
151.1,7083.909871,0.324,3.035
151.2,7085.88412,0.13,2.997
151.3,7087.858369,0.293,3.494
151.4,7089.832618,0.171,3.127
151.52,7092.201717,0.205,3.197
151.6,7093.781116,0.048,3.209
151.68,7095.360515,0.205,3.241
151.8,7097.729614,0.127,3.289
151.9,7099.703863,0.171,3.304
152.02,7102.072961,0.262,3.382
152.1,7103.652361,0.282,3.39
152.2,7105.626609,0.326,3.235
152.28,7107.206009,0.42,3.146
152.4,7109.575107,0.28,3.365
152.52,7111.944206,0.358,3.332
152.6,7113.523605,0.322,2.962
152.7,7115.497854,0.359,3.185
152.8,7117.472103,0.105,3.042
152.9,7119.446352,0.322,3.087
153.02,7121.815451,0.046,3.107
153.1,7123.34,0.377,3.084
153.18,7124.7,0.263,3.129
153.3,7126.74,-0.084,3.002
153.4,7128.44,0.384,3.009
153.52,7130.48,0.16,3.048
153.6,7131.84,0.034,3.284
153.7,7133.54,0.115,3.736
153.78,7134.9,-0.006,3.209
153.9,7136.94,0.141,2.78
153.93,7137.45,0.011,3.221
154,7138.64,0.092,3.182
154.09,7140.17,0.229,3.059
154.21,7142.21,0.436,2.976
154.33,7144.25,0.083,3.119
154.43,7145.95,0.416,3.482
154.49,7146.97,0.48,2.875
154.61,7149.01,0.306,2.77
154.71,7150.71,0.442,2.803
154.83,7152.75,0.423,2.931
154.9,7153.94,0.325,2.828
155.01,7155.81,0.387,3.312
155.11,7157.580645,0.507,2.859
155.33,7161.83871,0.359,2.905
155.41,7163.387097,0.375,2.809
155.51,7165.322581,0.336,2.845
155.59,7166.870968,0.352,3.315
155.71,7169.193548,0.299,3.016
155.83,7171.516129,0.117,2.875
155.91,7173.064516,0.107,3.02
155.99,7174.612903,0.051,3.075
156.08,7176.354839,0.046,3.172
156.2,7178.677419,0.136,3.206
156.34,7181.387097,0.185,3.274
156.38,7182.16129,0.192,3.159
156.51,7184.677419,0.43,2.948
156.61,7186.612903,0.306,2.962
156.7,7188.354839,0.54,2.982
156.83,7190.870968,0.356,2.933
156.9,7192.225806,0.317,3.293
157.01,7194.926966,0.367,3.16
157.11,7197.679775,0.482,2.813
157.21,7200.432584,0.446,3.106
157.33,7203.735955,0.392,2.962
157.43,7206.488764,0.276,2.986
157.53,7209.241573,0.292,3.13
157.61,7211.44382,0.417,3.25
157.69,7213.646067,0.387,3.285
157.83,7217.5,0.298,3.301
157.91,7219.702247,0.372,3.033
158.01,7222.455056,0.544,3.332
158.11,7225.207865,0.307,3.39
158.2,7227.685393,0.505,3.211
158.33,7231.264045,0.429,3.196
158.41,7233.466292,0.256,2.986
158.51,7236.219101,0.239,3.102
158.59,7238.421348,0.578,3.346
158.72,7242,0.318,3.359
158.83,7243.958904,0.281,3.053
158.91,7245.383562,0.398,2.919
159.03,7247.520548,0.16,2.839
159.13,7249.30137,0.42,2.99
159.23,7251.082192,0.428,3.032
159.33,7252.863014,0.406,3.21
159.43,7254.643836,0.273,3.335
159.52,7256.246575,0.152,3.042
159.62,7258.027397,0.316,3.098
159.7,7259.452055,0.269,3.224
159.83,7261.767123,0.291,3.25
159.85,7262.123288,0.322,3.198
159.93,7263.547945,0.434,3.41
160.03,7265.328767,0.373,3.283
160.11,7266.753425,0.378,3.1
160.22,7268.712329,0.321,3.196
160.35,7271.027397,0.361,3.053
160.43,7272.452055,0.533,2.911
160.53,7274.232877,0.424,2.834
160.63,7276.013699,0.54,2.908
160.72,7277.616438,0.323,2.831
160.85,7279.931507,0.417,3.018
160.93,7281.458101,0.378,3.048
161,7283.061453,0.35,2.855
161.13,7286.039106,0.339,2.877
161.23,7288.329609,-0.021,3.147
161.35,7291.078212,0.272,3.231
161.42,7292.681564,0.32,3.278
161.53,7295.201117,0.156,3.125
161.61,7297.03352,0.258,3.094
161.73,7299.782123,0.13,3.227
161.85,7302.530726,0.192,3.444
161.93,7304.363128,0.286,3.073
162.03,7306.653631,0.164,3.088
162.13,7308.944134,0.274,3.047
162.23,7311.234637,0.395,3.181
162.35,7313.98324,0.405,3.078
162.43,7315.815642,0.347,3.102
162.51,7317.648045,0.413,2.863
162.63,7320.396648,0.279,2.625
162.73,7322.8,0.26,2.875
162.85,7326,0.273,3.049
162.93,7328.133333,0.412,3.031
163.03,7330.8,0.535,3.412
163.11,7332.933333,0.217,3.119
163.23,7336.133333,0.142,3.026
163.35,7339.333333,0.252,3.142
163.43,7341.466667,0.251,3.072
163.53,7344.133333,0.319,3.05
163.63,7346.8,0.547,3.29
163.73,7349.466667,0.367,2.994
163.85,7352.666667,0.413,3.1
163.93,7354.8,0.423,2.994
164,7356.666667,0.483,2.934
164.13,7360.133333,0.433,2.964
164.23,7362.83432,0.683,3.379
164.35,7366.171598,0.347,3.328
164.43,7368.39645,0.576,2.882
164.53,7371.177515,0.604,2.98
164.6,7373.12426,0.431,3.011
164.73,7376.739645,0.519,3.048
164.83,7379.52071,0.357,3.156
164.93,7382.301775,0.381,3.078
165.03,7385.08284,0.25,3.239
165.13,7387.863905,0.361,3.172
165.2,7389.810651,0.171,2.878
165.32,7393.147929,0.514,2.974
165.43,7396.207101,0.37,2.942
165.52,7398.710059,0.408,2.844
165.64,7402.047337,0.443,2.879
165.73,7404.550296,0.348,2.936
165.82,7407.053254,0.475,3.042
165.92,7409.83871,0.335,3.194
166.02,7412.634409,0.309,2.883
166.12,7415.430108,0.33,3.104
166.23,7418.505376,0.283,3.148
166.31,7420.741935,0.202,3.129
166.45,7424.655914,0.064,3.118
166.54,7427.172043,0.352,3.101
166.62,7429.408602,0.291,3.05
166.7,7431.645161,0.309,2.775
166.83,7435.423077,0.228,2.927
166.95,7440.5,0.494,2.937
167.03,7443.884615,0.326,2.921
167.15,7448.961538,0.518,3.126
167.25,7453.192308,0.456,3.08
167.33,7456.576923,0.267,2.948
167.45,7461.653846,0.11,2.868
167.53,7465.038462,0.162,2.986
167.63,7469.269231,0.006,3.025
167.73,7473.5,0.653,3.142
167.82,7477.307692,0.31,2.786
167.95,7483.404255,0.414,3.039
168.03,7487.319149,0.413,3.031
168.13,7492.212766,0.437,3.208
168.23,7497.106383,0.461,3.08
168.33,7502,0.482,3.161
168.42,7506.404255,0.6,3.02
168.53,7511.787234,0.6,3.071
168.65,7517.659574,0.547,3.226
168.73,7521.574468,0.606,3.138
168.83,7525.728324,0.622,3.06
168.93,7528.156069,0.626,3.071
169.03,7530.583815,0.638,2.985
169.13,7533.011561,0.651,3.045
169.23,7535.439306,0.602,2.919
169.31,7537.381503,0.417,2.876
169.44,7540.537572,0.558,2.716
169.53,7542.722543,0.614,2.847
169.69,7546.606936,0.634,3.104
169.79,7549.034682,0.829,3.124
169.89,7551.462428,0.768,2.892
169.99,7553.890173,0.784,3.142
170.11,7556.803468,0.879,3.104
170.2,7558.988439,0.71,2.975
170.27,7560.687861,0.508,3.027
170.39,7563.601156,0.732,3.127
170.49,7566.028902,0.595,3.152
170.61,7569.468085,0.599,3.455
170.69,7571.93617,0.531,3.098
170.79,7575.021277,0.582,3.055
170.88,7577.797872,0.675,3.17
170.99,7581.191489,0.515,3.002
171.11,7584.893617,0.984,3.256
171.19,7587.361702,0.66,3.01
171.29,7590.446809,0.718,2.9
171.39,7593.531915,0.857,2.753
171.49,7596.65,0.904,2.872
171.61,7600.55,0.497,2.987
171.69,7603.15,0.745,2.886
171.77,7605.75,0.833,2.917
171.89,7609.65,0.761,2.981
171.99,7612.9,0.901,2.955
172.11,7616.8,0.723,3.286
172.2,7619.725,0.623,3.11
172.29,7622.65,0.715,3.266
172.38,7625.575,0.733,3.224
172.49,7629.15,0.734,3.074
172.61,7633.05,0.601,3.273
172.69,7635.65,0.649,3.235
172.79,7638.9,0.768,3.097
172.89,7642.15,0.754,2.958
172.99,7645.4,0.832,2.966
173.11,7649.770492,0.695,3.144
173.21,7654.196721,0.87,3.241
173.27,7656.852459,0.793,3.157
173.39,7662.163934,0.638,3.341
173.49,7666.590164,0.627,3.158
173.61,7671.901639,0.583,3.241
173.69,7675.442623,0.87,3.216
173.79,7679.868852,0.749,3.222
173.88,7683.852459,0.849,3.05
173.99,7688.721311,0.914,3.207
174.11,7694.032787,0.742,3.219
174.19,7697.57377,0.736,3.198
174.29,7702,0.612,3.27
174.4,7705.042553,0.78,3.235
174.49,7707.531915,0.462,3.226
174.61,7710.851064,0.597,3.415
174.7,7713.340426,0.812,3.255
174.83,7716.93617,0.636,2.996
174.91,7719.148936,0.786,3.148
175.01,7721.914894,0.73,3.132
175.11,7724.680851,0.828,3.24
175.19,7726.893617,0.7,3.118
175.29,7729.659574,0.821,3.018
175.39,7732.425532,0.881,3.176
175.49,7735.191489,0.73,3.033
175.59,7737.957447,0.742,3.018
175.69,7740.723404,0.729,3.132
175.79,7743.489362,0.553,3.322
175.89,7746.255319,0.714,3.171
175.99,7749.021277,0.724,2.983
176.09,7751.787234,0.623,3.071
176.19,7754.553191,0.768,3.247
176.33,7758.425532,0.673,3.187
176.41,7760.638298,0.704,3.11
176.49,7762.851064,0.673,3.039
176.6,7765.893617,0.631,2.988
176.68,7769.8,0.703,2.972
176.81,7778.9,0.279,3.053
176.87,7783.1,0.395,3.127
176.98,7790.8,0.761,3.103
177.08,7797.8,0.809,2.964
177.17,7804.1,0.677,2.998
177.3,7810.96,0.41,3.157
177.39,7813.9,0.567,2.926
177.48,7816.84,0.528,3.05
177.57,7819.78,0.655,3.28
177.68,7823.373333,0.588,3.337
177.8,7827.293333,0.526,3.401
177.88,7829.906667,0.739,3.149
177.96,7832.52,0.785,3.194
178.1,7837.093333,0.715,3.209
178.18,7839.706667,0.441,3.199
178.3,7843.626667,0.416,3.226
178.37,7845.913333,0.641,3.185
178.48,7849.506667,0.6,2.993
178.58,7852.773333,0.466,3.001
178.69,7856.366667,0.374,3.233
178.8,7861.428571,0.183,3.326
178.88,7866,0.277,3.229
178.98,7871.714286,0.19,3.136
179.08,7877.428571,0.229,3.022
179.18,7883.055118,0.106,2.865
179.3,7889.385827,-0.309,3.135
179.37,7893.07874,0.036,3.008
179.51,7900.464567,0.194,3.048
179.58,7904.15748,0.444,3.205
179.68,7909.433071,0.317,3.159
179.8,7915.76378,0.201,3.317
179.88,7919.984252,0.364,3.204
180.01,7926.84252,0.24,3.089
180.08,7930.535433,0.184,3.199
180.17,7935.283465,0.271,3.205
180.3,7942.141732,0.435,3.194
180.38,7946.362205,0.54,3.144
180.48,7951.659574,0.525,3.198
180.57,7956.446809,0.121,3.18
180.68,7962.297872,0.417,3.229
180.8,7968.680851,0.192,3.107
181.3,7994,0.359,3.073
181.8,8017.1875,0.93,3.622
182.64,8053.371134,0.51,3.312
182.86,8060.85567,0.484,3.265
183.36,8077.865979,0.627,3.171
183.86,8094.876289,0.785,3.448
184.36,8111.886598,0.684,3.154
184.86,8128.896907,0.815,3.184
185.36,8145.907216,0.542,3.357
185.86,8162.917526,0.553,2.9
186.32,8182.380952,0.646,3.128
186.36,8184.190476,0.576,3.373
