depth_m,age_calkaBP,d13Cc.wuell,d18Oc.wuell-cor64
5.57,542.3,0.1,5.14
5.595,544,0.11,4.81
5.62,549.4,0.41,5.06
5.645,554.9,0.6,4.42
5.67,559.5,0.72,4.12
5.695,564,0.52,4.49
5.72,568.6,0.37,4.12
5.745,573.2,0.36,4.13
5.82,586.9,0.23,4.64
5.845,591.4,0.55,4.09
5.87,596,0.1,4.92
5.895,598.7,0.44,3.94
5.92,601.3,0.72,4.45
5.945,604,0.26,4.97
5.97,606.6,0.1,5.15
5.995,609.3,0.46,4.17
6.015,611.4,0.69,4.25
6.045,614.6,0.54,4.48
6.07,617.3,0.72,4.26
6.095,619.9,-0.09,5.3
6.12,622.6,0.42,4.29
6.145,625.2,0.05,5.6
6.17,627.9,-0.16,5.28
6.195,630.5,-0.05,5.32
6.22,633.2,-0.03,5.37
6.245,635.9,-0.24,5.24
6.27,638.5,-0.11,5.28
6.295,641.2,0.01,4.88
6.32,644.8,0.04,5.07
6.345,648.4,-0.15,4.89
6.37,652,-0.09,5.19
6.395,655.6,0.47,4.5
6.42,659.2,-0.12,4.94
6.445,662.8,0.27,4.42
6.465,665.6,0.4,4.69
6.49,669.2,0.4,4.62
6.515,672.8,0.41,4.58
6.54,676.4,0.36,4.28
6.565,680,0.55,4.68
6.59,683.6,0.43,4.49
6.615,687.2,0.21,4.8
6.64,690.8,-0.22,4.95
6.665,694.4,0.2,4.6
6.69,698,0.3,3.51
6.715,701.6,-0.05,4.37
6.74,705.2,0.75,3.79
6.765,708.8,0.55,3.9
6.815,716,0.51,4.9
6.865,726,0.49,4.53
6.89,731,0.38,4.09
6.915,736,-0.73,4.23
6.94,741,0.91,4.08
6.965,746,-0.4,4.99
7.04,757.8,-0.29,4.54
7.065,763.6,1.01,4.2
7.09,769.3,0.38,4.3
7.115,775,0.84,4.38
7.14,780.8,0.29,4.32
7.165,786.5,0.46,4.06
7.215,798,-0.66,5
7.24,811.5,0.26,3.97
7.265,825,0.62,4
7.29,838.5,0.61,3.83
7.315,852,0.47,3.99
7.34,865.5,0.62,3.6
7.365,868.2,-0.06,4.72
7.39,870.5,-0.32,4.83
7.415,872.7,-0.21,4.64
7.44,874.9,-0.25,5.2
7.465,877.4,-0.04,4.82
7.49,879.9,-0.21,5.21
7.515,882.4,0.07,4.62
7.54,884.9,-0.32,5.12
7.565,887.3,-0.34,5.14
7.59,889.8,0.01,5.06
7.615,892.3,0.01,4.98
7.64,894.8,0.4,4.2
7.665,897.3,0.35,4.62
7.69,899.8,0.12,4.81
7.715,902.3,-0.03,4.73
7.74,904.8,0.16,4.85
7.765,907.3,0.51,4.46
7.79,909.7,0.31,4.46
7.815,912.2,-0.1,4.89
7.84,914.7,0.26,4.37
7.865,917.3,-0.3,4.93
7.89,920,-0.01,4.61
7.915,922.6,-0.19,4.69
7.94,925.3,-0.23,4.19
7.965,927.9,0.1,4.5
7.99,930.6,0.18,4.42
8.015,933.2,0.43,4.01
8.04,935.9,0.22,3.68
8.065,938.5,0.68,3.73
8.09,941.2,0.84,3.75
8.115,943.8,0.88,3.82
