Depth ref [m],Age [ka BP],C. mundulus d13C [per mil PDB],C. mundulus d18O [per mil PDB]
211.835,18071.4,0.86,1.42
211.855,18075.5,1.05,1.56
211.875,18079.7,0.81,1.39
211.935,18092.1,1.09,1.91
211.975,18100.3,1.22,1.49
212.015,18108.6,1.08,1.82
212.035,18112.8,1.28,1.71
212.055,18116.9,1.05,1.66
212.075,18120.7,1.17,1.89
212.115,18126.6,1.11,1.79
212.135,18129.6,1.15,1.73
212.155,18132.5,1.14,1.87
212.175,18135.5,1.12,1.69
212.215,18141.3,1.05,1.67
212.235,18144.3,0.87,1.51
212.255,18147.2,0.65,1.47
212.275,18150.2,1.2,1.6
212.295,18153.1,0.97,1.55
212.335,18159,1.23,1.73
212.355,18161.9,0.8,1.47
212.375,18164.9,1.07,1.57
212.395,18167.8,1.12,1.69
212.415,18170.8,1.06,1.57
212.435,18173.7,0.94,1.59
212.455,18176.7,0.92,1.56
212.495,18182.5,1.23,1.74
212.515,18185.5,1,1.66
212.535,18188.4,1.21,1.73
212.555,18191.4,1.12,1.78
212.69,18211.2,0.87,1.91
212.715,18214.9,0.79,1.91
212.74,18218.6,1.02,1.95
212.765,18222.3,0.66,2.19
212.79,18228.6,1.03,1.88
212.815,18235.7,1.22,1.69
212.84,18242.7,1.18,1.84
212.865,18249.8,1.11,2.09
212.89,18256.8,1.22,1.77
212.915,18263.9,1.07,1.82
212.94,18270.9,1.06,1.97
212.965,18278,1.05,1.76
212.99,18285,1.1,1.67
213.015,18289.3,0.86,1.72
213.04,18293.6,1.16,1.94
213.065,18298,1.01,1.69
213.09,18302.3,1.07,1.81
213.115,18306.6,0.83,1.63
213.14,18310.9,0.93,1.56
213.165,18315.2,0.84,1.64
213.19,18319.5,0.95,1.84
213.215,18323.9,0.98,1.75
213.24,18328.2,0.98,1.75
213.265,18332.5,0.92,1.71
213.29,18336.8,0.96,1.63
213.315,18341.1,0.81,1.54
213.34,18345.5,1.1,1.91
213.365,18349.8,0.87,1.96
213.39,18354.1,0.93,1.68
213.415,18358.4,1.03,2.01
213.44,18362.7,0.84,1.83
213.49,18371.4,0.83,2.1
213.515,18375.7,1.1,2.16
213.54,18380,1.04,2.07
213.565,18384.3,1.07,2.02
213.59,18388.6,1.15,2.06
213.64,18397.3,1.02,1.65
213.645,18398.1,0.79,2.04
213.665,18401.6,0.96,1.72
213.67,18402.5,0.67,1.52
213.69,18405.9,1.02,1.65
213.695,18406.8,0.99,1.52
213.72,18411.1,1.01,1.77
213.745,18415.4,0.8,1.59
213.77,18419.7,1.02,1.86
213.795,18424,1.12,1.56
213.82,18428.4,0.88,1.82
213.87,18437,1.22,1.72
213.895,18441.3,1,1.6
213.92,18445.6,0.78,1.6
213.945,18450,1.16,1.77
213.97,18454.3,1.25,1.58
213.995,18458.6,1.18,1.73
214.02,18462.9,0.99,1.51
214.045,18467.2,1.17,1.74
214.07,18471.5,1.2,1.79
214.095,18475.9,1.14,1.76
214.12,18480.2,1.12,1.84
214.145,18484.5,1.15,1.68
214.17,18488.8,1.23,1.95
214.195,18493.1,0.89,1.58
214.22,18498.4,1.12,1.44
214.245,18504,1.03,1.87
214.27,18509.5,0.73,1.59
214.295,18515,1.18,1.74
214.345,18526.1,1.12,1.48
214.37,18531.6,1.09,1.64
214.395,18537.2,0.96,1.79
214.42,18542.7,0.58,1.53
214.445,18548.3,0.92,1.68
214.47,18553.8,1.2,1.78
214.495,18559.3,1.2,2.02
214.52,18564.9,0.88,1.93
214.545,18570.4,1.04,1.76
214.57,18575.9,1.33,2.1
214.595,18581.5,1.15,1.88
214.62,18587,1.22,1.84
214.645,18591.9,1.09,1.88
214.67,18596.9,1.18,1.94
214.695,18601.8,1.09,1.87
214.72,18606.8,1.18,1.7
214.745,18611.7,1.3,1.97
214.77,18616.6,1.16,1.93
214.795,18621.6,1.31,1.94
214.82,18626.5,1.12,1.93
214.845,18631.5,1.18,1.8
214.87,18636.4,1.19,1.9
214.895,18641.3,1.16,2.03
214.92,18646.3,1.12,1.91
214.945,18651.2,1.27,1.87
214.97,18656.2,0.92,1.93
214.995,18661.1,0.99,1.78
215.02,18666,1.02,1.97
215.045,18670.7,1.23,1.77
215.07,18674.4,0.98,1.9
215.095,18678,1.25,1.91
215.12,18681.7,1.17,1.89
215.145,18685.3,1.29,2.01
215.17,18689,1,1.69
215.195,18692.6,1.11,1.77
215.22,18696.3,0.97,1.65
215.245,18699.9,1.25,1.78
215.27,18703.5,1.14,1.78
215.295,18707.2,1.03,1.7
215.32,18710.8,1.1,1.78
215.345,18714.5,1.21,1.88
215.37,18718.1,0.93,1.72
215.395,18721.8,0.73,1.69
215.42,18725.4,1.09,1.74
215.445,18729.1,0.94,1.69
215.47,18732.7,0.91,1.67
215.495,18736.4,0.76,1.57
215.52,18740,1,1.87
