Depth c top [mcd],Age [ka BP],Foram bent d13C [per mil PDB],Foram bent d18O [per mil PDB]
355.53,15808,1.55,1.65
355.63,15812,1.48,1.75
355.73,15816,1.66,1.7
355.83,15820,1.76,1.5
355.93,15824,1.72,1.45
356.03,15828,1.49,1.33
356.13,15832,1.64,1.65
356.23,15836,1.79,1.67
356.33,15840,1.63,1.68
356.43,15844,1.66,1.74
356.53,15848,1.7,1.71
356.63,15852,1.68,1.66
356.73,15856,1.56,1.669
356.83,15860,1.717,1.47
356.93,15864,1.636,1.453
357.03,15868,1.534,1.394
357.13,15872,1.6,1.449
357.23,15876,1.77,1.54
357.31,15880,1.669,1.627
357.43,15884,1.404,1.202
357.51,15888,1.817,1.303
357.63,15893,1.337,0.999
357.75,15899,1.548,1.777
357.83,15903,1.409,1.486
357.93,15908,1.579,1.85
358.03,15913,1.568,1.281
358.14,15919,1.61,1.784
358.2,15922,1.56,1.38
358.32,15928,1.58,1.86
358.42,15933,1.634,1.655
358.55,15940,1.562,1.642
358.62,15944,1.71,1.49
358.72,15949,1.574,1.614
358.82,15954,1.479,1.566
358.92,15959,1.459,1.43
359.02,15964,1.257,1.543
359.12,15970,1.285,1.373
359.2,15974,1.292,1.427
359.32,15980,1.001,1.012
359.42,15985,1.052,0.927
359.52,15990,1.298,1.119
359.62,15996,1.002,0.703
359.83,16006,1.163,0.732
359.92,16011,1.081,0.691
360.02,16017,0.986,0.857
360.13,16023,1.51,1.633
360.22,16028,1.605,1.677
360.32,16034,1.435,1.358
360.42,16039,1.398,1.305
360.52,16045,1.466,1.347
360.6,16049,1.463,1.164
360.69,16054,1.659,1.39
360.78,16059,1.459,1.444
360.87,16065,1.477,1.353
361.02,16073,1.5,1.298
361.12,16079,1.48,1.184
361.22,16084,1.534,1.353
361.32,16090,1.624,1.416
361.42,16095,1.752,1.414
361.51,16100,1.722,1.465
361.62,16107,1.511,1.01
361.72,16112,1.511,1.133
361.82,16118,1.22,1.105
361.92,16124,1.291,1.325
