Depth c top [mcd],Age [ka BP],Foram bent d13C [per mil PDB],Foram bent d18O [per mil PDB]
425.52,19522,0.756,2.08
425.62,19526,0.529,1.842
425.72,19530,0.483,1.768
425.82,19534,0.501,1.673
425.92,19538,0.588,1.776
426.03,19542,0.581,1.516
426.13,19546,0.702,1.664
426.23,19550,0.62,1.423
426.33,19554,0.431,1.216
426.43,19558,0.16,1.156
426.53,19561,0.304,1.306
426.63,19564,0.289,1.414
426.73,19566,0.654,1.829
426.83,19569,0.477,1.708
426.93,19571,0.577,1.789
427.03,19574,0.417,1.699
427.13,19577,0.461,1.534
427.33,19582,0.976,1.848
427.43,19585,0.666,1.641
427.53,19587,0.766,1.613
427.63,19590,0.711,1.619
427.73,19592,0.777,1.665
427.83,19595,0.771,1.853
427.93,19598,0.801,2.032
428.03,19600,0.782,1.733
428.13,19603,0.62,1.98
428.23,19605,0.853,1.945
428.33,19608,0.808,1.938
428.43,19611,0.649,1.911
428.53,19613,0.618,1.885
428.63,19616,0.695,1.775
428.73,19619,0.736,1.812
428.83,19621,0.571,1.758
428.93,19624,0.722,1.746
429.03,19626,0.484,1.42
429.13,19629,0.344,1.356
429.23,19632,0.205,1.228
429.33,19636,0.306,1.337
429.43,19640,0.21,1.385
429.53,19644,0.246,1.289
429.63,19648,0.316,1.359
429.73,19652,0.65,1.83
429.83,19656,0.573,1.791
429.93,19660,0.564,1.588
430.03,19664,0.411,1.565
430.13,19668,0.346,1.358
430.23,19672,0.319,1.305
430.33,19676,0.202,1.47
430.43,19680,0.343,1.224
430.53,19684,0.87,1.706
430.63,19688,0.757,1.829
430.73,19692,0.545,1.697
430.83,19696,0.195,1.62
430.93,19700,0.6,1.37
431.03,19704,0.816,1.92
431.13,19708,0.865,1.997
431.23,19712,0.823,1.663
431.33,19716,0.769,1.824
431.43,19720,0.572,1.515
431.53,19724,0.627,1.597
431.63,19728,0.753,1.579
431.73,19733,0.805,1.713
431.83,19737,0.803,1.687
431.93,19741,0.773,1.546
432.03,19745,0.767,1.601
432.13,19749,0.485,1.341
432.23,19753,0.39,1.385
432.33,19757,0.295,1.184
432.43,19761,0.26,1.095
432.53,19765,0.269,1.091
432.63,19768,0.55,1.538
432.73,19771,0.465,1.781
432.83,19774,0.843,2.345
432.93,19777,0.936,2.267
433.03,19780,0.741,1.842
433.13,19783,0.638,1.83
433.23,19786,0.815,1.845
433.33,19789,0.993,2.085
433.43,19792,0.935,2.083
433.53,19795,0.939,2.05
433.63,19798,0.679,2.041
433.73,19801,0.745,1.945
433.83,19804,0.663,1.907
433.93,19807,0.783,2.026
434.03,19810,0.791,2.167
434.13,19813,0.76,2.072
434.23,19816,0.74,2.052
434.33,19819,0.82,2.244
434.43,19822,0.765,2.139
434.53,19825,0.571,2.183
434.63,19829,0.958,2.283
434.73,19832,0.855,2.118
434.83,19835,0.99,2.227
434.93,19838,0.898,1.995
435.03,19841,0.73,1.63
435.13,19844,0.823,1.927
435.23,19848,0.818,1.942
435.33,19851,0.818,1.827
435.43,19855,0.76,1.754
435.51,19858,0.694,1.736
435.63,19862,0.457,1.53
435.73,19866,0.581,1.677
435.83,19870,0.838,1.768
435.93,19873,0.772,1.976
436.03,19877,0.73,1.974
436.13,19880,0.682,1.959
436.23,19884,0.644,2.066
436.33,19888,0.692,2.033
436.43,19891,0.706,2.096
436.53,19895,0.673,1.892
436.63,19899,0.653,1.911
436.73,19902,0.343,1.757
436.83,19906,0.426,1.791
436.93,19909,0.715,1.942
437.03,19913,0.714,1.821
437.13,19917,0.647,1.756
437.23,19920,0.626,1.562
437.33,19924,0.717,1.741
437.43,19927,0.527,1.555
437.53,19931,0.316,1.482
437.63,19935,0.115,1.481
437.73,19938,0.502,1.815
437.83,19942,0.611,1.82
437.93,19945,0.508,1.532
438.03,19949,0.635,1.673
438.13,19952,0.407,1.687
438.23,19956,0.296,1.512
438.33,19959,0.384,1.521
438.43,19963,0.503,1.786
438.53,19966,0.682,1.862
438.63,19970,0.652,1.664
438.73,19973,0.673,1.611
438.83,19977,0.711,1.838
438.93,19980,0.393,1.583
439.03,19984,0.32,1.799
439.13,19987,0.584,2.112
439.23,19991,0.462,1.85
439.33,19994,0.455,1.864
439.43,19998,0.392,1.61
439.53,20001,0.561,1.63
439.63,20005,0.053,1.362
439.73,20008,0.22,1.42
439.83,20011,0.116,1.513
439.93,20015,0.431,1.753
440.03,20018,0.184,1.533
440.13,20022,0.32,1.407
440.23,20025,0.501,1.477
440.33,20029,0.431,1.359
440.43,20032,0.189,1.162
