age_calkaBP,d13Cc.wuell
1.669,1.15
1.6738,1.07
1.6761,0.93
1.6785,0.55
1.6809,0.92
1.6833,0.86
1.6857,0.84
1.6881,0.99
1.6905,1.06
1.6929,1.07
1.6953,0.95
1.6977,1.04
1.7001,0.9
1.7025,0.98
1.706,0.88
1.7094,0.81
1.7129,0.74
1.7163,1.08
1.7198,1.02
1.7233,0.91
1.7267,0.92
1.7302,0.75
1.7337,0.82
1.7371,0.64
1.7406,0.52
1.744,0.57
1.7475,0.45
1.7496,0.68
1.7516,0.65
1.7537,0.67
1.7558,0.75
1.7578,0.42
1.7599,1.14
1.762,0.89
1.764,0.83
1.7661,0.78
1.7682,0.89
1.7702,1.03
1.7723,0.97
1.7744,1.06
1.7764,0.99
1.7785,0.99
1.7806,0.94
1.7868,0.97
1.7889,0.88
1.7951,0.86
1.7971,0.82
1.7991,0.95
1.8012,0.97
1.8032,0.75
1.8053,0.88
1.8073,0.94
1.8093,0.92
1.8114,0.83
1.8134,0.72
1.8155,0.8
1.8175,1.08
1.8204,0.73
1.8262,0.96
1.8292,0.49
1.8321,0.9
1.835,1.14
1.8379,1.03
1.8408,1.09
1.8437,0.82
1.8466,0.99
1.8496,1.04
1.8525,1.11
1.8554,0.91
1.8583,0.79
1.8612,0.82
1.8641,0.74
1.8673,0.62
1.8705,0.82
1.8738,0.66
1.877,0.54
1.8835,0.77
1.8867,1.09
1.89,0.58
1.8932,1.01
1.8965,1.09
1.8997,1.01
1.9023,0.9
1.9051,0.88
1.9074,1.11
1.9097,0.97
1.912,1.12
1.9143,0.69
1.9166,0.89
1.919,0.93
1.9213,1.21
1.9236,1.17
1.9259,0.99
1.9282,1.12
1.9305,1.01
1.9328,0.87
1.9352,0.9
1.9375,0.99
1.9398,0.97
1.9421,0.96
1.9467,1.02
1.9515,0.99
1.9562,1.2
1.9609,1.22
1.9656,1.11
1.9703,1.1
1.9751,1.16
1.9798,1.02
1.9845,1.07
1.9892,0.96
1.994,1.14
1.9987,1.04
2.0034,0.9
2.0101,0.82
2.0168,0.99
2.0234,0.6
2.0301,1.03
2.0368,0.98
2.0435,0.81
2.0501,0.6
2.0568,0.63
2.0635,0.56
2.0701,0.82
2.0731,0.72
2.0761,0.88
2.079,0.73
2.082,0.75
2.0849,0.79
2.0879,0.89
2.0908,0.8
2.0938,0.88
2.0968,0.66
2.0997,0.75
2.1027,0.55
2.1056,0.7
2.1086,0.47
2.1115,0.67
2.1145,0.82
2.1175,0.44
2.1204,0.75
2.1234,0.49
2.1263,0.46
2.1293,0.58
2.1322,0.57
2.1352,0.84
2.1382,0.47
2.1411,0.6
2.1441,0.6
2.147,0.75
2.15,0.45
2.1529,0.8
2.1559,0.59
2.1589,0.81
2.1618,0.82
2.1648,0.62
2.1677,0.83
2.1707,0.92
2.1736,0.88
2.1766,0.8
2.1796,0.51
2.1825,0.84
2.1855,0.82
2.1884,0.81
2.1914,0.77
2.1943,0.8
2.1973,0.72
2.2002,0.66
2.2024,0.76
2.2046,0.73
2.2068,0.9
2.209,0.85
2.2112,0.68
2.2134,0.77
2.2155,0.68
2.2177,0.65
2.2199,0.65
2.2221,0.68
2.2243,0.67
2.2265,0.68
2.2287,0.67
2.2309,0.29
2.2331,0.52
2.2353,0.65
2.2375,0.59
2.2397,0.74
2.2422,0.6
2.2448,0.85
2.2474,0.56
2.25,0.44
2.2526,0.79
2.2552,0.96
2.2578,0.59
2.2604,0.69
2.263,0.71
2.2682,0.38
2.2708,0.15
2.2734,0.41
2.276,0.57
2.2786,0.32
2.2822,0.42
2.2848,0.33
2.2874,-0.02
2.29,0.47
2.2926,0.95
2.2952,0.81
2.2978,0.57
2.3004,0.87
2.303,0.85
2.3056,0.56
2.3082,0.61
2.3108,0.82
2.3134,0.56
2.316,0.69
2.3186,0.46
2.3211,0.57
2.3237,0.61
2.3263,0.57
2.3289,0.61
2.3315,0.66
2.3341,0.62
2.3367,0.94
2.3419,0.77
2.3445,0.71
2.3471,0.77
2.3497,0.66
2.3523,0.63
2.3549,0.61
2.3575,0.71
2.3605,0.64
2.3634,0.9
2.3664,0.06
2.3723,0.98
2.3752,0.69
2.3782,0.87
2.3812,0.47
2.3841,1.17
2.3871,0.64
2.39,0.87
2.393,0.45
2.3959,0.97
2.3989,0.41
2.4018,-0.14
2.4078,0.92
2.4107,0.48
2.4137,0.64
2.4166,0.58
2.4196,0.62
2.4225,0.92
2.4255,0.84
2.4344,0.59
2.4384,0.53
2.4427,0.87
2.447,0.36
2.4513,0.59
2.4573,0.82
2.4616,0.45
2.466,0.74
2.4703,-0.07
2.4746,0.68
2.4789,0.64
2.4832,0.99
2.4875,0.36
2.4902,0.59
2.4929,0.58
2.4956,0.78
2.4983,0.18
2.501,0.63
2.5037,0.2
2.5063,0.5
2.509,0.31
2.5117,0.77
2.5144,0.46
2.5171,0.53
2.5225,0.27
2.5256,0.45
2.5349,0.47
2.538,0.85
2.5411,0.81
2.5442,0.71
2.5473,0.7
2.5503,0.67
2.5534,0.67
2.5565,0.73
2.5627,0.8
2.5658,0.89
2.5689,0.79
2.5719,0.8
2.5811,0.73
2.5842,0.7
2.5872,0.75
2.5903,0.81
2.5933,0.74
2.5964,0.37
2.5994,0.62
2.6025,0.78
2.6059,0.71
2.6092,0.59
2.6126,0.76
2.616,0.75
2.6194,0.63
2.6261,0.86
2.6295,0.72
2.6328,0.71
2.6362,0.6
2.6396,0.67
2.643,0.63
2.6459,0.62
2.6483,0.64
2.6507,1.01
2.6531,0.91
2.6555,0.9
2.6578,0.56
2.6602,0.62
2.6626,0.48
2.665,0.66
2.6674,0.6
2.6698,0.53
2.6721,0.53
2.6745,0.72
2.6769,0.48
2.6793,0.56
2.6817,0.71
2.684,0.67
2.6864,0.62
2.6888,0.79
2.6912,0.72
2.6936,0.52
2.6959,0.79
2.6983,0.8
2.7031,0.82
