Age [Ma],_13C [per mil PDB]
18.703,1.35
18.708,1.35
18.712,1.35
18.715,1.35
18.718,1.35
18.72,1.35
18.723,1.35
18.726,1.35
18.729,1.35
18.732,1.35
18.734,1.35
18.737,1.35
18.743,1.35
18.745,1.35
18.748,1.35
18.751,1.35
18.755,1.35
18.758,1.35
18.762,1.35
18.765,1.35
18.769,1.35
18.772,1.35
18.776,1.35
18.78,1.35
18.783,1.35
18.79,1.35
18.794,1.35
18.797,1.35
18.801,1.35
18.804,1.35
18.808,1.35
18.812,1.35
18.815,1.35
18.819,1.35
18.822,1.35
18.826,1.35
18.829,1.35
18.833,1.35
18.836,1.35
18.84,1.35
18.843,1.35
18.846,1.35
18.85,1.35
18.853,1.35
18.86,1.35
18.864,1.35
18.868,1.35
18.87,1.35
18.881,1.35
18.891,1.35
18.902,1.35
18.912,1.35
18.917,1.35
18.921,1.35
18.925,1.35
18.93,1.35
18.935,1.35
18.938,1.35
18.942,1.35
18.946,1.35
18.949,1.35
18.953,1.35
18.957,1.35
18.961,1.35
18.965,1.35
18.969,1.35
18.973,1.35
18.977,1.35
18.981,1.35
18.986,1.35
18.99,1.35
18.994,1.35
18.999,1.35
19.003,1.35
19.007,1.35
19.012,1.35
19.016,1.35
19.02,1.35
19.024,1.35
19.028,1.35
19.032,1.35
19.037,1.35
19.041,1.35
19.049,1.35
19.058,1.35
19.067,1.35
19.075,1.35
19.084,1.35
19.093,1.35
19.101,1.35
19.11,1.35
19.117,1.35
19.124,1.35
19.131,1.35
19.138,1.35
19.145,1.35
19.152,1.35
19.157,1.35
19.17,1.02
19.184,0.94
19.188,0.77
19.192,1.15
19.197,0.64
19.201,1
19.206,0.86
19.211,1.26
19.215,0.85
19.22,0.65
19.226,0.87
19.231,0.87
19.234,0.81
19.239,0.7
19.244,0.54
19.25,0.88
19.272,0.58
19.277,0.77
19.298,1.02
19.309,1.14
19.312,1.32
19.315,1.12
19.318,1.3
19.321,1.19
19.335,1.04
19.338,0.93
19.342,1.31
19.346,0.83
19.354,0.98
19.358,1.43
19.362,1.28
19.365,1.27
19.368,1
19.371,0.93
19.373,1.04
19.376,0.76
19.379,0.86
19.382,0.95
19.385,0.71
19.388,0.48
19.392,0.84
19.396,0.81
19.4,0.57
19.404,0.74
19.408,0.63
19.412,0.86
19.416,0.91
19.421,0.85
19.425,0.81
19.428,0.68
19.434,0.76
19.451,1.01
19.457,1.11
19.463,0.52
19.47,0.91
19.476,0.8
19.481,0.74
19.486,1.06
19.503,0.71
19.516,0.58
19.521,0.51
19.527,0.59
19.533,0.57
19.538,0.48
19.556,0.29
19.568,0.54
19.574,0.7
19.579,0.68
19.585,1.02
19.597,0.62
19.603,0.7
19.609,0.87
19.615,0.78
19.62,0.69
19.626,0.57
19.633,0.21
19.636,0.73
19.641,0.77
19.645,0.77
19.649,0.95
19.653,0.47
19.657,0.52
19.661,0.87
19.665,0.56
19.669,0.77
19.673,0.83
19.676,0.83
19.68,1.01
19.684,1.11
19.688,0.91
19.691,0.97
19.698,1.16
19.702,0.99
19.706,0.83
19.71,0.89
19.713,0.91
19.717,0.8
19.721,0.8
19.724,0.76
19.728,0.87
19.732,0.83
19.736,0.85
19.741,0.76
19.746,0.97
19.751,0.8
19.755,0.84
19.759,0.75
19.764,0.7
19.769,0.84
19.773,0.75
19.778,0.88
19.782,0.82
19.787,0.9
19.792,0.58
19.797,0.09
19.8,0.39
19.807,0.34
19.811,0.5
19.814,0.49
19.818,1.01
19.821,0.91
19.828,0.75
19.832,0.67
19.835,0.51
19.839,0.77
19.846,0.77
19.85,0.91
19.853,0.94
19.86,0.82
19.867,0.9
19.874,0.41
19.883,0.96
19.888,0.69
19.896,0.81
19.903,0.57
19.91,0.55
19.917,0.36
19.92,0.54
19.924,0.62
19.928,0.35
19.931,0.78
19.935,0.37
19.939,0.75
19.942,0.5
19.946,0.55
19.95,0.51
19.953,0.52
19.957,0.39
19.961,0.26
19.964,0.63
19.968,0.52
19.975,0.56
19.979,0.44
19.982,0.51
19.986,0.54
19.99,0.34
19.993,-0.14
19.997,0.39
20.002,0.09
20.003,0.52
20.008,0.31
20.013,0.55
20.017,0.25
20.022,0.4
20.028,0.12
20.033,-0.35
20.038,0.77
20.044,0.92
20.048,0.76
20.053,0.53
20.059,0.86
20.064,0.64
20.068,0.4
20.073,0.46
20.078,-0.11
20.081,0.84
20.084,0.79
20.087,0.63
20.09,0.83
20.093,0.62
20.096,0.52
20.099,0.47
20.101,0.77
20.104,0.69
20.107,0.73
20.11,0.52
20.114,0.82
20.117,0.04
20.126,0.28
20.131,0.43
20.134,0.86
20.139,0.67
20.143,0.52
20.148,0.46
20.152,0.56
20.158,0.73
20.162,0.6
20.165,0.46
20.168,0.46
