AgeD17MT,benthic d13C
5.73489,0.9
5.73683,1.01
5.73722,0.73
5.73916,0.83
5.74111,0.8
5.74305,0.83
5.74499,0.8
5.74694,0.47
5.74888,0.73
5.75082,0.67
5.75277,0.66
5.75471,0.66
5.75665,0.58
5.7586,0.54
5.76054,0.58
5.76249,0.65
5.76443,0.91
5.76637,0.83
5.76832,0.86
5.77026,0.89
5.77415,1.02
5.77609,1.02
5.77803,0.92
5.77998,0.89
5.78192,0.95
5.78386,0.71
5.78581,0.87
5.78775,0.7
5.78969,0.71
5.79164,0.61
5.79358,0.53
5.79553,0.45
5.79747,0.6
5.79941,0.46
5.80136,0.33
5.8033,0.55
5.80447,0.73
5.80719,0.8
5.80913,0.77
5.81107,0.7
5.81302,0.84
5.81496,0.75
5.8169,0.45
5.81885,0.71
5.82079,0.65
5.82273,0.67
5.82468,0.75
5.82662,0.76
5.82856,0.42
5.83051,0.56
5.83245,0.71
5.83634,0.56
5.83828,0.59
5.84023,0.29
5.84411,0.71
5.848,0.89
5.85059,0.92
5.85319,1.03
5.85578,0.96
5.85837,0.97
5.86356,0.89
5.86797,0.71
5.87056,0.69
5.87316,0.76
5.87575,0.73
5.88353,0.76
5.88613,0.99
5.88872,0.56
5.89391,0.32
5.8965,0.58
5.90169,0.39
5.90688,0.75
5.91206,1.05
5.91466,0.76
5.91984,0.78
5.92244,0.78
5.92503,0.7
5.92763,0.86
5.93022,0.81
5.93281,0.8
5.93541,0.84
5.938,0.8
5.94028,0.73
5.94256,0.67
5.94485,0.7
5.94713,0.69
5.94941,0.69
5.95169,0.76
5.95397,0.77
5.95625,0.88
5.95854,0.89
5.96082,0.94
5.9631,0.96
5.96538,0.94
5.96766,0.87
5.96995,1.09
5.97223,1.1
5.97451,1.03
5.97679,0.98
5.97907,1
5.9825,0.95
5.98364,0.99
5.98478,1.02
5.98706,0.62
5.98934,0.71
5.99162,0.76
5.99391,0.56
5.99619,0.66
5.99847,0.71
6.00075,0.65
6.00303,0.65
6.00532,0.46
6.0076,0.72
6.00988,0.78
6.01216,0.67
6.01444,0.99
6.01672,0.87
6.01901,0.59
6.02129,0.77
6.02357,0.65
6.02585,0.88
6.02813,1.06
6.03042,1.06
6.03498,0.89
6.03726,1.03
