age_calkaBP,d13Cc.wuell
0,0.87
0.0017,1.17
0.0038,0.82
0.0059,0.26
0.008,0.56
0.0101,0.26
0.0123,0.85
0.0153,0.46
0.0188,0.33
0.0223,0.22
0.0258,0.33
0.0292,0.23
0.0327,0.32
0.0362,0.04
0.0397,0.48
0.0432,0.42
0.0467,0.26
0.0502,0.47
0.0537,0.55
0.0572,0.15
0.0614,-0.01
0.0642,-0.05
0.0677,0.7
0.0712,0.18
0.0737,0.35
0.0774,0.59
0.0821,0.58
0.0868,0.59
0.0915,0.12
0.0963,0.81
0.101,0.39
0.1035,0.51
0.106,0.56
0.1084,0.49
0.1109,-0.08
0.1134,0.01
0.1154,0.79
0.1173,0.44
0.1193,0.03
0.1212,0.6
0.1232,0.24
0.1251,0.76
0.1271,0.42
0.129,0.08
0.131,0.96
0.1334,-0.05
0.1363,-0.45
0.1392,-0.18
0.142,0
0.1449,-0.2
0.1478,-0.11
0.1507,-0.27
0.1536,-0.26
0.1565,0.13
0.1594,-0.43
0.1623,0.09
0.1651,0.02
0.168,-0.06
0.1703,-0.14
0.1767,-0.21
0.1796,-0.09
0.1825,-0.51
0.1854,-0.22
0.1882,0.87
0.1911,0.61
0.194,0.69
0.1969,0.87
0.1998,0.43
0.2027,0.46
0.2056,0.63
0.2085,0.92
0.2113,0.75
0.2142,0.34
0.2171,0.45
0.22,0.64
0.2243,-0.06
0.2287,0.01
0.233,-0.2
0.2373,-0.28
0.2425,0.18
0.246,0.33
0.2483,-0.1
0.2506,-0.43
0.2529,0.22
0.2552,0.18
0.2575,0.2
0.2598,0.3
0.2621,-0.21
0.2644,0.18
0.2689,0.35
0.2712,0.07
0.2735,0.54
0.2758,0.14
0.2781,0.64
0.2804,0.35
0.2827,0.47
0.285,-0.23
0.288,0.55
0.291,0.66
0.294,0.25
0.297,0.02
0.3,0.14
0.303,0.58
0.306,0.59
0.309,0.07
0.312,0.46
0.315,0.5
0.318,-0.43
0.321,0.39
0.324,0.91
0.33,0.21
0.333,0.41
0.336,0.19
0.338,-0.15
0.3399,-0.24
0.3419,-0.06
0.3439,0.26
0.3459,0.02
0.3479,-0.06
0.3498,-0.01
0.3518,-0.33
0.3538,-0.18
0.3558,-0.44
0.3597,-0.26
0.3617,-0.17
0.3637,0.06
0.3657,0.19
0.3676,0.03
0.3716,0.45
0.3755,0.77
0.3775,0.75
0.3795,0.5
0.3815,0.7
0.3835,0.56
0.3854,0.23
0.3878,0.36
0.3894,1.23
0.3914,-0.25
0.3934,1.14
0.3953,0.61
0.3973,0.38
0.3993,0.92
0.4013,0.34
0.4032,0.25
0.4072,1.13
0.4092,1.03
0.4112,1.05
0.4131,-0.08
0.4151,0.46
0.4171,0.73
0.4191,0.78
0.421,0.6
0.423,0.76
0.425,0.61
0.4261,0.76
0.4274,-0.17
0.4287,0.11
0.4301,-0.23
0.4314,-0.08
0.4327,0.03
0.4341,-0.12
0.4354,-0.2
0.4367,-0.1
0.4381,0.01
0.4394,0.01
