age_calkaBP,d13Cc.wuell
0.4407,-0.09
0.4421,0.1
0.4434,-0.18
0.4447,-0.21
0.4461,-0.43
0.4474,0.12
0.4487,-0.2
0.4501,0.2
0.4514,0.05
0.4534,0.18
0.4559,-0.08
0.4585,0.04
0.461,0.06
0.4635,-0.26
0.466,0.29
0.4686,0.18
0.4711,1
0.4726,0.83
0.4761,0.12
0.4787,1.08
0.4812,1
0.4827,1.08
0.4888,1.23
0.4913,0.81
0.4938,0.69
0.4963,1.14
0.4989,0.87
0.5014,1.01
0.5049,0.67
0.5069,0.64
0.5095,1.17
0.512,1.12
0.5132,0.49
0.515,0.9
0.5167,1.24
0.5184,1.14
0.5201,0.53
0.5218,0.89
0.5235,0.98
0.5252,0.96
0.5269,1.01
0.5286,0.61
0.5303,0.83
0.532,0.56
0.5337,0.74
0.5372,0.44
0.5389,0.2
0.5406,0.23
0.5423,0.1
0.544,0.11
0.5494,0.41
0.5549,0.6
0.5595,0.72
0.564,0.52
0.5686,0.37
0.5732,0.36
0.5869,0.23
0.5914,0.55
0.596,0.1
0.5987,0.44
0.6013,0.72
0.604,0.26
0.6066,0.1
0.6093,0.46
0.6114,0.69
0.6146,0.54
0.6173,0.72
0.6199,-0.09
0.6226,0.42
0.6252,0.05
0.6279,-0.16
0.6305,-0.05
0.6332,-0.03
0.6359,-0.24
0.6385,-0.11
0.6412,0.01
0.6448,0.04
0.6484,-0.15
0.652,-0.09
0.6556,0.47
0.6592,-0.12
0.6628,0.27
0.6656,0.4
0.6692,0.4
0.6728,0.41
0.6764,0.36
0.68,0.55
0.6836,0.43
0.6872,0.21
0.6908,-0.22
0.6944,0.2
0.698,0.3
0.7016,-0.05
0.7052,0.75
0.7088,0.55
0.716,0.51
0.726,0.49
0.731,0.38
0.736,-0.73
0.741,0.91
0.746,-0.4
0.7578,-0.29
0.7636,1.01
0.7693,0.38
0.775,0.84
0.7808,0.29
0.7865,0.46
0.798,-0.66
0.8115,0.26
0.825,0.62
0.8385,0.61
0.852,0.47
0.8655,0.62
0.8682,-0.06
0.8705,-0.32
0.8727,-0.21
0.8749,-0.25
0.8774,-0.04
0.8799,-0.21
0.8824,0.07
0.8849,-0.32
0.8873,-0.34
0.8898,0.01
0.8923,0.01
0.8948,0.4
0.8973,0.35
0.8998,0.12
0.9023,-0.03
0.9048,0.16
0.9073,0.51
0.9097,0.31
0.9122,-0.1
0.9147,0.26
0.9173,-0.3
0.92,-0.01
0.9226,-0.19
0.9253,-0.23
0.9279,0.1
0.9306,0.18
0.9332,0.43
0.9359,0.22
0.9385,0.68
0.9412,0.84
0.9438,0.88
0.9465,0.32
0.9491,0.45
0.9518,0.35
0.9544,0.38
0.9568,0.64
0.9591,0.43
0.9614,0.65
0.9637,0.44
0.9661,0.42
0.9684,0.51
0.9707,0.45
0.9731,0.32
0.9754,0.68
0.9777,0.27
0.98,0.24
0.9824,0.28
0.9847,0.69
0.987,0.61
0.9893,0.78
0.9917,0.64
0.994,0.43
0.9963,0.47
0.9986,0.37
1.001,0.29
1.0033,0.72
1.0056,0.3
1.008,0.86
1.0103,-0.01
1.0126,0.51
1.0149,0.8
1.0173,0.93
1.0196,0.83
1.0219,0.92
1.0242,0.72
1.0266,0.62
1.0289,0.53
1.032,0.66
1.0344,0.23
1.0369,0.38
1.0393,0.3
1.0418,0.16
1.0442,0.15
1.0467,0.01
1.0491,0.01
1.0515,0.25
1.054,0.56
1.0564,0.85
1.0589,0.36
1.0613,0.51
1.0637,0.67
1.0662,0.99
1.0686,0.37
1.0705,0.89
1.0723,0.8
1.0742,0.99
1.076,1.01
1.0779,1
1.0797,0.83
1.0816,1.04
1.0834,0.67
1.0853,0.7
1.0871,0.97
1.089,0.6
1.0908,0.89
1.0927,0.78
1.0945,0.68
1.0964,0.1
1.0983,0.36
1.1001,0.3
1.102,0.47
1.1057,0.72
1.1075,0.85
1.1094,0.68
1.1112,0.68
1.1131,0.32
1.1149,0.74
1.1168,0.44
1.1186,0.12
1.1204,0.94
1.1222,0.42
1.124,0.42
1.1263,0.85
1.1287,0.57
1.131,0.75
1.1334,0.69
1.1357,0.92
1.1381,0.8
1.1404,1.03
1.1428,1.03
1.1451,1.05
1.1474,0.9
1.1498,1.06
1.1521,1.12
1.1545,0.98
1.1568,0.85
1.1592,1.04
1.1615,1.03
1.1639,1.17
1.1662,0.84
1.1686,0.98
1.1709,1.06
1.1732,1
1.1756,0.74
1.1779,0.91
1.1803,0.89
1.1826,0.77
1.185,0.27
1.1873,0.65
1.1897,0.21
1.192,0.41
1.1938,0.43
1.1957,0.45
1.1975,0.07
1.1994,0.34
1.2012,0.15
1.2031,0.3
1.2049,0.22
1.2105,0.1
1.213,0.32
1.2155,0.45
1.2181,0.59
1.2206,0.88
1.2231,0.63
1.2257,0.54
1.2282,0.88
1.2307,0.58
1.2333,0.76
1.2358,0.46
1.2384,0.25
1.2409,0.93
1.2434,0.59
1.246,0.09
1.2485,-0.07
1.251,-0.13
1.2536,0.11
1.2561,0.28
1.2586,0.14
1.2612,0.17
1.2637,0.24
1.2662,0.6
1.2687,0.3
1.2713,0.81
1.2738,0.78
1.2763,0.5
1.2788,0.95
1.2814,0.9
1.2839,0.74
1.2864,0.74
1.2889,0.61
1.2915,0.41
1.294,0.38
1.2965,0.39
1.2991,0.62
1.3016,0.57
1.3039,0.19
1.3062,0.79
1.3084,0.74
1.3107,0.79
1.313,0.82
1.3153,0.81
1.3176,0.8
1.3199,0.56
1.3222,0.57
1.3245,0.77
1.3267,0.6
1.329,0.68
1.3313,0.37
1.3336,0.53
1.3359,0.09
1.3382,0.35
1.3405,0.47
1.3427,1
1.345,1
1.3473,0.97
1.3496,0.8
1.3524,0.82
1.3542,0.66
1.3565,0.69
1.3588,1.03
1.361,0.87
1.3633,0.49
1.3656,0.61
1.3679,1.26
1.3696,0.7
1.3713,0.51
1.3729,0.63
1.3746,0.78
1.3763,0.65
1.3779,0.41
1.3796,0.23
1.3813,0.7
1.383,0.75
1.3846,0.76
1.3863,0.95
1.388,0.64
1.39,0.98
1.3913,1
1.393,0.78
1.3947,0.82
1.3963,1.07
1.3989,0.84
1.4014,0.98
1.4039,0.8
1.4065,0.41
1.409,0.45
1.4115,0.61
1.4141,0.69
1.4166,0.54
1.4192,0.73
1.4217,0.6
1.4281,-0.19
1.4302,0.84
1.4345,0.96
1.4388,0.87
1.4409,0.57
1.443,0.79
1.4452,0.89
1.4495,0.54
1.4516,0.35
1.4537,0.23
1.4559,0.47
1.458,0.25
1.4599,0.15
1.4617,0.97
1.4642,0.78
1.4667,1.02
1.4692,1.05
1.4717,0.67
1.4741,1
1.4766,0.99
1.4791,0.8
1.4816,1.06
1.4841,1.2
1.4866,0.99
1.4891,0.97
1.4915,1.02
1.494,0.86
1.4965,0.54
1.499,0.63
1.5015,0.58
1.5035,0.81
1.5056,0.4
1.5076,0.27
1.5096,1.17
1.5117,0.93
1.5137,1.13
1.5157,1.02
1.5198,0.76
1.5219,0.89
1.5259,0.46
1.528,0.73
1.53,0.48
1.5319,0.55
1.5337,0.33
1.5356,0.48
1.5374,0.29
1.5393,0.15
1.5412,0.66
1.543,0.65
1.5449,0.76
1.5467,0.44
1.5486,0.73
1.5504,0.55
1.5523,1.1
1.5542,0.9
1.556,0.53
1.5579,0.71
1.5597,1.05
1.5614,0.23
1.5629,1.13
1.5644,0.88
1.5659,0.72
1.5689,0.31
1.5704,0.63
1.5719,0.66
1.5737,0.68
1.5758,0.62
1.5778,0.73
1.5799,0.69
1.5819,0.82
1.584,0.85
1.5861,0.66
1.5881,0.83
1.5902,0.07
1.5922,0.91
1.5943,1.1
1.5963,1.21
1.5984,1.08
1.6004,1.27
1.6025,0.68
1.6044,1.19
1.6062,0.9
1.6081,1.13
1.6099,0.97
1.6118,0.95
1.6136,1.12
1.6155,1.06
1.6173,1.02
1.6192,1
1.621,0.99
1.6229,1.05
1.6247,0.82
1.6266,0.95
1.6284,0.84
1.6303,1.15
1.6321,1.1
1.634,1.06
1.6362,0.83
1.6377,0.99
1.6395,1.23
1.6414,0.97
1.6432,0.58
1.645,0.89
1.6459,0.7
1.6468,0.63
1.6477,0.48
1.6486,0.92
1.6504,0.47
1.6513,0.79
1.6522,0.28
1.6547,0.66
1.6572,0.67
1.6597,0.98
1.6622,0.76
1.6647,0.98
1.6672,1.01
1.6697,0.79
1.6722,0.29
1.6747,0.99
1.6772,0.6
1.6797,0.71
1.6822,0.87
1.6847,0.81
1.6873,0.44
1.6898,0.73
1.6923,0.85
1.6948,0.59
1.6973,0.63
1.6998,0.68
1.7058,-0.14
1.7094,0.15
1.7171,0.99
1.7213,0.74
1.7255,0.81
1.7302,0.54
1.7344,0.51
1.7387,0.65
1.7429,0.42
1.7471,0.65
1.7497,0.2
1.7511,0.05
1.7525,0.1
1.7539,0.37
1.7553,0.4
1.7567,0.38
1.7582,0.36
1.7595,0.65
1.7609,0.4
1.7623,0.57
1.7638,0.77
1.7652,0.83
1.7666,0.98
1.768,1.08
1.7686,0.93
1.7705,0.74
1.7719,0.59
1.7733,0.92
1.7747,0.78
1.7761,1.03
1.7775,0.86
1.7789,0.85
1.7803,0.87
1.7817,1
1.7831,0.48
1.7845,1.08
1.7859,1.06
1.7873,0.91
1.7887,0.44
1.7901,0.89
1.7915,0.8
1.7929,0.43
1.7948,0.56
1.7956,0.84
1.7981,0.25
1.7994,0.45
1.8007,0.7
1.8019,0.89
1.8032,0.55
1.8044,0.55
1.8057,1
1.807,0.42
1.8082,0.7
1.8095,0.85
1.8107,0.57
1.812,0.93
1.8133,0.81
1.8145,0.65
1.8158,0.55
1.8171,1.04
1.8187,0.74
1.8205,0.35
1.8223,0.88
1.8241,0.7
1.8259,0.89
1.8277,0.7
1.8295,1.05
1.8313,0.55
1.8331,0.58
1.8349,0.97
1.8367,0.52
1.8385,1
1.8403,0.9
1.8421,1.19
1.8439,1.1
1.8457,1.22
1.8475,1
1.8493,1.17
1.8511,1.02
1.8547,0.94
1.8565,1.01
1.8583,0.39
1.8605,0.33
1.8616,0.69
1.8628,0.47
1.8639,0.27
1.865,0.16
1.8662,0.25
1.8675,0.57
1.8687,0.29
1.87,0.41
1.8712,0.03
1.8725,0.62
1.8737,0.77
1.8749,0.78
1.8762,0.79
1.8774,0.55
1.8787,0.22
1.8799,0.49
1.8812,0.49
1.8824,0.73
1.8837,0.44
1.8849,0.83
1.8861,0.9
1.8874,0.81
1.8886,0.98
1.8899,0.92
1.8911,0.37
1.8924,0.67
1.8936,0.84
1.8948,0.77
1.8961,0.52
1.8973,0.98
1.8986,0.43
1.8998,0.74
1.9011,0.49
1.9023,0.49
1.9036,0.69
1.9049,0.77
1.9062,0.75
1.9075,0.86
1.9088,0.63
1.9101,0.84
1.9114,1
1.9128,1.13
1.9141,0.59
1.9154,1.1
1.9167,0.53
1.918,0.86
1.9193,0.94
1.9206,0.84
1.9219,0.65
1.9232,0.9
1.9245,0.71
1.9258,1.02
1.9272,0.75
1.9297,1.09
1.9311,0.77
1.9324,0.8
1.9337,1.13
1.935,0.43
1.9363,0.82
1.9376,0.83
1.9389,0.54
1.9402,0.89
1.9415,0.48
1.9428,0.49
1.9441,0.27
1.9454,0.14
1.9467,0.2
1.9491,-0.09
1.9515,0.55
1.9538,0.32
1.9562,0.4
1.9585,0.16
1.9609,0.27
1.9633,0.3
1.9656,0.23
1.968,0.41
1.9703,0.49
1.9727,0.48
1.9751,0.43
1.9798,0.49
1.9822,0.62
1.9845,0.38
1.9869,0.57
1.9892,0.43
1.9916,0.24
1.994,0.73
1.9963,0.07
1.9987,-0.22
2.001,0.06
2.0034,-0.02
2.0052,-0.06
2.0069,0.34
2.0087,-0.15
2.0104,0.44
2.0122,0.84
2.0139,0.23
2.0157,0.52
2.0175,0.6
2.0192,0.44
2.021,0.47
2.0227,0.66
2.0245,0.6
2.0262,0.33
2.028,0.49
2.0298,0.4
2.0315,0.44
2.0333,0.08
2.035,0.86
2.0368,1.18
2.0371,0.07
2.0385,1.07
2.0403,1.04
2.042,1.23
2.0438,1.05
2.0456,1.15
2.0473,0.91
2.0491,0.96
2.0508,0.79
2.0526,0.93
2.0543,1.02
2.0561,0.89
2.0579,0.89
2.0596,0.84
2.0614,0.56
2.0631,0.2
2.0649,0.74
2.0666,0.67
2.0687,0.55
2.0701,0.52
2.072,0.76
2.0738,0.7
2.0757,0.57
2.0775,0.64
2.0794,0.48
2.0812,0.41
2.0831,0.45
2.0853,0.75
2.0868,0.48
2.0886,0.63
2.0905,0.16
2.0923,0.55
2.0942,0.58
2.096,0.5
2.0979,0.69
2.0997,0.67
2.1016,0.62
2.1034,0.8
2.1053,0.89
2.1071,0.57
2.109,0.8
2.1108,0.82
2.1127,0.6
2.1145,0.81
2.1164,0.36
2.1182,0.82
2.12,0.74
2.1219,0.82
2.1237,0.89
2.1256,0.97
2.1274,1
2.1293,0.74
2.1311,1.11
2.133,0.99
2.1348,0.84
2.1367,0.4
2.1385,0.48
2.1422,0.61
2.1441,0.2
2.1459,0.1
2.1469,0.46
2.1478,0.2
2.1487,0.26
2.1497,0.24
2.1506,0.27
2.1515,0.11
2.1525,0.33
2.1534,0.08
2.1543,0.12
2.1553,0.17
2.1562,0.04
2.1571,0.18
2.1581,0.32
2.159,0.13
2.1599,0.11
2.1609,0.46
2.1618,0.13
2.1631,0.35
2.1644,-0.13
2.1656,0.5
2.1669,0.71
2.1682,0.31
2.1695,0.59
2.1707,0.09
2.172,-0.02
2.1733,0.6
2.1745,0.42
2.1758,0.48
2.1771,0.59
2.1784,0.33
2.1796,0.66
2.1822,0.42
2.1835,0.29
2.1847,0.85
2.186,-0.08
2.1873,0.52
2.1885,0.05
2.1898,0.13
2.1911,0.21
2.1924,0.72
2.1936,0.4
2.1949,0.23
2.1962,0.24
2.1975,0.36
2.1987,0.2
2.2,0.18
2.2011,0.89
2.2023,0.43
2.2035,0.59
2.2047,0.66
2.2058,0.62
2.207,0.78
2.2082,0.59
2.2094,0.84
2.2106,0.68
2.2129,0.71
2.2141,0.67
2.2153,0.39
2.2164,0.41
2.2176,0.42
2.2188,0.56
2.22,0.57
2.2212,0.57
2.2223,0.53
2.2235,0.44
2.2247,0.67
2.2259,0.59
2.227,0.37
2.2282,0.72
2.2294,0.37
2.2306,0.64
2.2318,0.52
2.2329,0.68
2.2341,0.5
2.2353,0.38
2.2365,0.81
2.2376,0.81
2.2388,0.83
2.24,0.66
2.2414,0.78
2.2428,0.5
2.2442,0.47
2.2456,0.67
2.247,0.71
2.2484,0.44
2.2498,0.79
2.2512,0.81
2.2525,0.54
2.2539,0.63
2.2553,0.27
2.2567,0.24
2.2581,0.82
2.2595,0.99
2.2609,0.9
2.2623,0.84
2.2637,0.59
2.2651,0.73
2.2665,0.91
2.2679,0.8
2.2693,0.83
2.2707,0.63
2.2735,0.51
2.2748,0.68
2.2762,0.28
2.2776,0.9
2.279,0.93
2.2804,0.15
2.2818,0.28
2.2846,-0.16
2.286,0.35
2.2874,0.17
2.2886,-0.33
2.2898,0.41
2.291,0.68
2.2934,0.74
2.2946,0.74
2.2958,0.52
2.297,0.67
2.2982,0.85
2.2994,0.76
2.3006,0.65
2.3018,0.56
2.303,0.78
2.3042,0.84
2.3054,0.48
2.3066,0.75
2.3078,0.54
2.309,0.44
2.3102,0.33
2.3114,0.49
2.3126,0.35
2.314,0.52
2.3162,0.46
2.3174,0.6
2.3186,0.8
2.3198,0.7
2.3209,0.54
2.3221,0.56
2.3233,0.53
2.3257,-0.03
2.3269,0.3
2.3281,0.52
2.3293,-0.09
2.3317,0.68
2.3329,0.79
2.3341,0.76
2.3357,0.76
2.3373,0.61
2.3389,-0.23
2.3405,0.62
2.3436,0.68
2.3452,0.28
2.3468,0.85
2.3484,0.67
2.35,0.58
2.3515,0.48
2.3531,0.56
2.3547,0.59
2.3563,0.5
2.3579,0.45
2.3597,0.35
2.3615,0.7
2.3633,0.6
2.3651,1.07
2.3669,0.74
2.3687,1.01
2.3705,0.77
2.3723,0.85
2.3741,0.95
2.3759,1.03
2.3777,0.92
2.3795,1.2
2.3813,0.68
2.3831,0.5
2.3849,1.07
2.3867,0.99
2.3885,1.07
2.3903,0.49
2.3921,0.72
2.3939,0.59
2.3957,0.21
2.3975,0.67
2.3993,0.6
2.4011,0.75
2.4029,0.99
2.4047,0.97
2.4065,0.7
2.4083,0.44
2.4119,0.66
2.4137,0.42
2.4155,0.55
2.4173,0.44
2.4191,-0.21
2.421,0.2
2.4228,0.64
2.4246,0.15
2.4264,0.44
2.4282,0.03
2.43,0.14
2.4314,0.23
2.4332,0.34
2.435,0.04
2.4376,0.13
2.4403,-0.08
2.4429,0.31
2.4455,0.64
2.4481,0.85
2.4534,0.19
2.456,0.15
2.4586,0.79
2.4613,0.23
2.4639,0.09
2.4691,0.65
2.4718,0.47
2.4744,0.53
2.477,0.59
2.4796,0.55
2.4823,0.25
2.4849,-0.35
2.4875,0.16
2.4893,0.43
2.491,0.48
2.4928,0.48
2.4945,0.61
2.4963,0.03
2.4984,-0.17
2.4998,0.34
2.5015,0.54
2.5033,0.06
2.505,0.22
2.5068,0.53
2.5085,-0.15
2.5103,0.5
2.512,-0.02
2.5138,0.23
2.5155,0
2.5173,-0.02
2.519,-0.07
2.5208,0.01
2.5225,-0.02
2.524,-0.39
2.5255,0.14
2.5286,0.07
2.5301,0.21
2.5316,-0.09
2.5331,0.55
2.5346,0.76
2.5362,-0.11
2.5377,0.79
2.5392,0.85
2.5407,0.38
2.5438,0.82
2.5453,0.52
2.5468,0.87
2.5498,0.38
2.5513,0.05
2.5544,0.85
2.5559,0.88
2.5589,0.69
2.5604,0.47
2.562,0.49
2.5635,0.35
2.565,0.61
2.5665,0.41
2.568,0.53
2.5695,0.33
2.571,0.65
2.5725,0.6
2.574,0.56
2.5755,0.8
2.577,0.72
2.5785,0.38
2.58,0.57
2.5815,0.37
2.583,0.63
2.5845,0.15
2.586,0.3
2.5875,0.74
2.589,0.75
2.5905,0.8
2.592,0.79
2.5935,0.22
2.595,0.21
2.5965,0.24
2.598,0.08
2.5995,0.46
2.601,0.26
2.6025,0.26
2.6038,0.42
2.6052,0.35
2.6065,0.36
2.6078,0.3
2.6091,0.05
2.6105,0.51
2.6118,0.47
2.6131,0.56
2.6145,0.6
2.6158,0.57
2.6171,0.77
2.6184,0.31
2.6198,0.25
2.6211,0.39
2.6224,0.49
2.6238,0.68
2.6251,0.68
2.6264,0.48
2.6277,0.77
2.6291,0.66
2.6304,0.66
2.6317,0.64
2.6357,0.97
2.637,0.71
2.6384,0.32
2.6397,0.7
2.641,0.61
2.6423,0.62
2.6437,0.76
2.645,0.82
2.6459,0.38
2.6474,0.39
2.6488,0.26
2.6503,-0.12
2.6517,0.34
2.6532,0.31
2.6546,0.5
2.6561,0.72
2.6575,0.91
2.659,0.74
2.6604,0.63
2.6618,0.1
2.6633,0.91
2.6647,0.87
2.6662,0.51
2.6676,0.61
2.6691,0.81
2.6705,0.6
2.672,0.45
2.6734,0.39
2.6749,0.57
2.6763,0.62
2.6778,0.77
2.6792,0.64
2.6806,0.54
2.6821,0.67
2.6835,0.51
2.685,0.3
2.6864,0.06
2.6879,0.33
2.6893,0.28
2.6908,0.4
2.6922,0.18
2.6937,0
2.6951,0.18
2.6965,0.21
2.698,0.55
2.6994,0.6
2.7038,0.55
2.7052,0.15
2.7067,0.33
2.7081,0.32
2.7096,0.39
2.711,0.1
2.7125,0.17
2.7139,0.28
2.7155,0.14
2.7176,0.48
2.7218,0.63
2.726,0.44
2.7282,0.69
2.7303,0.51
2.7324,0.13
2.7345,0.64
2.7366,0.53
2.7387,0.3
2.7408,0.82
2.7429,0.84
2.745,0.62
2.7471,0.91
2.7492,0.73
2.7514,0.57
2.7535,0.37
2.7556,0.48
2.7577,0.29
2.7598,0.57
2.7619,0.06
2.764,0.74
2.7656,0.69
2.7672,0.6
2.7688,0.51
2.7704,0.67
2.7721,0.43
2.7737,0.53
2.7753,0.2
2.7769,0.52
2.7788,0.39
2.7801,0.71
2.7817,0.54
2.7833,0.86
2.7849,0.72
2.7865,0.71
2.7882,0.61
2.7898,0.23
2.7914,0.35
2.793,0.56
2.7946,0.32
2.7962,0.21
2.7978,0.28
2.7994,0.25
2.801,0.27
2.8026,0.24
2.8043,0.51
2.805,0.47
2.8067,0.61
2.8084,0.5
2.8101,0.89
2.8118,0.86
2.8134,0.88
2.8151,0.42
2.8168,0.93
2.8185,0.66
2.8202,0.81
2.8219,0.61
2.8236,0.94
2.8253,0.74
2.8269,0.64
2.8303,0.43
2.832,1.1
2.8337,0.34
2.8371,0.62
2.8405,0.35
2.8421,0.66
2.8438,0.67
2.8455,-0.13
2.8472,-0.09
2.8489,0.88
2.8506,0.66
2.8523,0.61
2.854,0.45
2.8556,0.91
2.8573,0.79
2.859,0.82
2.8607,0.79
2.8624,0.96
2.8641,0.77
2.8658,0.94
2.8675,0.57
2.8692,0.68
2.8708,0.66
2.8725,0.65
2.8742,0.81
2.8759,0.79
2.8776,0.69
2.8791,0.81
2.8806,0.72
2.882,0.76
2.8835,0.21
2.885,0.65
2.8865,0.52
2.8879,0.81
2.8894,0.35
2.8909,0.56
2.8924,0.72
2.8939,0.69
2.8953,0.79
2.8968,0.75
2.8983,0.74
2.8998,0.84
2.9013,0.81
2.9027,0.78
2.9042,0.67
2.9057,0.5
2.9072,0.52
2.9087,0.27
2.9101,0.71
2.9116,0.36
2.9131,0.51
2.9146,0.35
2.9161,0.08
2.9175,-0.2
2.919,0.34
2.9205,0.1
2.922,0.26
2.9234,0.48
2.9249,-0.29
2.9264,0.2
2.9279,0.33
2.9282,0.32
2.9294,-0.06
2.9297,0.77
2.9311,0.48
2.9341,0.44
2.9356,0.14
2.9371,1
2.9383,0.63
2.9395,0.82
2.9407,0.67
2.9453,0.88
2.9476,0.91
2.9499,0.49
2.9522,0.78
2.9545,-0.26
2.9568,0.61
2.9591,0
2.9637,1
2.966,0.48
2.9706,0.44
2.9752,0.82
2.9775,0.74
2.9787,0.52
2.9798,0.69
2.981,0.8
2.9821,0.47
2.9833,0.53
2.9845,0.48
2.9856,1.03
2.9868,-0.17
2.9879,0.24
2.9891,0.5
2.9903,1.05
2.9914,0.28
2.9937,0.49
2.9949,0.81
2.9961,0.4
2.9972,0.64
2.9984,0.55
3.0007,0.75
3.0019,0.42
3.003,0.79
3.0042,0.32
3.0054,0.52
3.0065,0.29
3.0077,1.09
3.0088,0.27
3.01,0
3.0112,0.4
3.0123,0.16
3.017,0.2
3.0181,0.17
3.0192,-0.14
3.0203,0.12
3.0214,0.13
3.0224,0.17
3.0235,0.3
3.0246,0.74
3.0257,-0.07
3.0279,0.67
3.029,0.33
3.0303,0.55
3.0381,0.54
3.0408,0.55
3.0434,0.19
3.046,0.55
3.0486,0.94
3.0512,0.72
3.0564,0.55
3.059,0.87
3.0616,0.71
3.072,0.17
3.0746,0.92
3.0773,0.26
3.0804,0.49
3.0851,0.48
3.0877,0.74
3.0955,0.65
3.0981,0.49
3.1007,0.48
3.1031,0.48
3.1057,0.72
3.1085,0.25
3.1111,0.41
3.1135,0.73
3.1164,0.81
3.1187,0.58
3.1216,0.71
3.1239,0.59
3.1265,0.69
3.1291,0.62
3.132,0.61
3.1341,0.42
3.137,0.57
3.1396,0.67
3.1422,0.59
3.1448,0.47
3.1477,0.36
3.15,0.63
3.1516,0.55
3.1532,0.67
3.1565,0.75
3.1578,0.79
3.1594,0.97
3.1611,0.91
3.1627,0.69
3.1643,1.01
3.1661,1.02
3.1677,0.69
3.1693,0.88
3.1721,0.76
3.1755,0.84
3.1806,0.81
3.1857,0.9
3.1908,1.04
3.1958,1.15
3.2009,0.55
3.2111,1.24
3.2162,0.9
3.2274,0.93
3.2325,1.07
3.2349,1.01
3.2383,1.06
3.245,0.64
3.2484,0.9
3.2518,0.54
3.2586,0.35
3.2619,0.96
3.2687,0.51
3.2721,0.93
3.2788,0.73
3.2822,0.59
3.2844,0.54
3.2931,0.25
3.3019,0.54
3.3047,0.24
3.3075,0.46
3.3104,0.53
3.3158,0.91
3.3189,0.67
3.3217,0.73
3.3245,0.7
3.3274,0.74
3.3349,0.79
3.3386,0.94
3.3424,0.65
3.3499,0.85
3.3537,0.79
3.3574,0.61
3.3612,0.48
3.365,0.57
3.3725,0.51
3.3762,0.69
3.38,0.46
3.389,0.73
3.407,0.58
3.416,0.5
3.425,0.21
3.4302,0.66
3.4355,0.77
3.4407,0.7
3.4459,0.73
3.4512,0.76
3.4611,0.66
3.4741,0.77
3.4807,0.65
3.4874,0.5
3.494,0.53
3.5007,0.57
3.5073,0.54
3.514,0.55
3.5204,0.82
3.5225,0.64
3.5246,0.54
3.5355,0.46
3.5413,0.73
3.5529,0.6
3.5587,0.87
3.5616,0.66
