Age [Ma BP],Foram bent d13C [per mil PDB]
16.87,0.785
16.875,0.468
16.881,0.653
16.887,0.681
16.894,0.579
16.9,0.55
16.905,0.795
16.911,0.87
16.916,0.87
16.923,0.941
16.928,1.003
16.934,0.921
16.939,0.973
16.944,1.044
16.952,0.788
16.958,0.836
16.964,0.843
16.97,0.883
16.975,0.796
16.98,0.954
16.988,0.85
16.995,0.784
17,0.665
17.006,0.803
17.012,0.82
17.018,0.865
17.024,0.958
17.03,0.86
17.036,0.86
17.043,0.945
17.047,0.88
17.054,0.827
17.059,0.854
17.066,0.82
17.072,0.922
17.078,0.872
17.084,0.905
17.09,0.582
17.095,0.589
17.1,0.772
17.105,0.684
17.11,0.549
17.115,0.91
17.12,0.733
17.126,0.771
17.13,0.958
17.135,0.993
17.141,0.926
17.145,0.858
17.15,0.894
17.155,0.86
17.16,0.879
17.165,0.838
17.17,0.735
17.175,0.853
17.178,0.709
17.185,0.674
17.189,0.592
17.194,0.843
17.199,0.821
17.201,0.89
17.206,0.81
17.21,0.65
17.215,0.9
17.22,0.85
17.225,0.87
17.23,0.8
17.234,0.73
17.239,0.75
17.244,0.75
17.249,0.74
17.253,0.85
17.258,0.73
17.263,0.58
17.268,0.77
17.272,0.69
17.277,0.74
17.282,0.71
17.287,0.76
17.291,0.73
17.296,0.43
17.301,0.33
17.306,0.5
17.31,0.89
17.315,0.99
17.32,0.97
17.324,1.05
17.329,1.09
17.334,1.11
17.338,0.99
17.343,0.82
17.348,0.8
17.352,0.83
17.357,0.7
17.362,0.84
17.366,0.6
17.371,0.85
17.376,0.6
17.38,0.59
17.385,0.64
17.39,0.63
17.394,0.79
17.399,0.48
17.404,0.33
17.408,0.52
17.413,0.61
17.417,0.607
17.422,0.697
17.426,0.851
17.43,0.715
17.436,0.574
17.441,0.734
17.445,0.623
17.45,0.713
17.455,0.42
17.458,0.846
17.461,0.878
17.465,0.692
17.47,0.528
17.473,0.625
17.475,0.678
17.479,0.786
17.483,0.846
17.488,0.681
17.492,0.632
17.495,0.565
17.499,0.595
17.503,0.312
17.507,0.556
17.511,0.708
17.514,0.687
17.518,0.637
17.522,0.708
17.525,0.487
17.529,0.695
17.533,0.582
17.537,0.647
17.54,0.609
17.544,0.552
17.548,0.777
17.551,0.749
17.555,0.614
17.559,0.571
17.563,0.438
17.566,0.58
17.57,0.258
17.574,0.426
17.578,0.384
17.581,0.433
17.585,0.374
17.591,0.554
17.596,0.56
17.602,0.423
17.608,0.569
17.608,0.52
17.614,0.56
17.62,0.59
17.626,0.28
17.631,0.35
17.637,0.24
17.643,0.14
17.648,0.33
17.654,0.34
17.66,0
17.668,-0.04
17.676,0.45
17.685,0.39
17.694,0.52
17.702,0.54
17.711,0.68
17.719,0.68
17.728,0.66
17.736,0.65
17.743,0.66
17.751,0.54
17.759,0.54
17.767,0.54
17.775,0.53
17.782,0.21
17.79,0.61
17.798,0.64
17.806,0.36
17.814,0.54
17.822,0.79
17.829,0.48
17.837,0.61
17.845,0.78
17.853,0.83
17.861,0.75
17.868,0.62
17.876,0.47
17.884,0.44
17.891,0.58
17.897,0.66
17.904,0.62
17.911,0.55
17.917,0.68
17.924,0.53
17.931,0.44
17.937,0.51
17.944,0.46
17.95,0.66
17.957,0.44
17.964,0.38
17.97,0.43
17.977,0.51
17.984,0.33
17.991,0.3
17.997,0.4
18.004,0.52
18.011,0.61
18.018,0.61
18.025,0.71
18.031,0.31
18.038,0.438
18.044,0.461
18.051,0.313
18.058,0.301
18.065,0.513
18.072,0.52
18.079,0.062
18.087,0.375
18.094,0.568
18.101,0.68
18.108,0.441
18.115,0.418
18.122,0.689
18.129,0.579
18.136,0.616
18.144,0.574
18.151,0.59
18.157,0.749
18.163,0.579
18.17,0.702
18.176,0.593
18.183,0.486
18.189,0.39
18.195,0.464
18.202,0.454
18.208,0.582
18.215,0.482
18.221,0.453
18.228,0.688
18.234,0.502
18.241,0.318
18.247,0.337
18.253,0.618
18.26,0.686
18.266,0.663
18.273,0.692
18.279,0.825
18.286,0.657
18.292,0.607
