NewAgeModel (Ma),_13C [per mil PDB]
13.563,
13.564,1.42
13.565,1.26
13.567,1.26
13.568,1.3
13.57,1.32
13.571,1.17
13.572,1.21
13.574,1.3
13.575,1.58
13.576,1.14
13.578,1.17
13.579,1.15
13.58,1.27
13.582,1.14
13.583,1.23
13.584,1.17
13.586,1.23
13.587,1.17
13.589,1.21
13.59,1.07
13.591,1.03
13.593,1.03
13.594,0.96
13.596,1.04
13.598,1.29
13.6,1.23
13.602,1.18
13.604,1.26
13.605,1.26
13.607,1.22
13.609,1.14
13.611,0.93
13.613,1.07
13.615,1.3
13.617,1.15
13.619,1.32
13.621,1.33
13.623,1.42
13.625,1.35
13.627,1.27
13.629,1.25
13.631,1.36
13.633,1.11
13.635,1.1
13.636,1.2
13.638,1.25
13.639,1.5
13.641,1.42
13.642,1.43
13.644,1.65
13.645,1.47
13.647,1.49
13.648,1.48
13.65,1.56
13.651,1.48
13.653,1.48
13.654,1.55
13.655,1.64
13.657,1.61
13.658,1.41
13.66,1.46
13.661,1.59
13.663,1.64
13.664,1.52
13.666,1.68
13.667,1.6
13.669,1.65
13.67,1.65
13.672,1.51
13.673,1.53
13.674,1.49
13.676,1.54
13.677,1.58
13.679,1.46
13.68,1.56
13.682,1.55
13.683,1.66
13.685,1.48
13.686,1.53
13.688,1.41
13.689,1.75
13.69,1.78
13.692,1.54
13.693,1.53
13.695,1.51
13.696,1.57
13.698,1.42
13.699,1.57
13.701,1.66
13.702,1.64
13.704,1.69
13.705,1.65
13.707,1.65
13.708,1.57
13.709,1.44
13.71,1.55
13.711,1.25
13.712,1.5
13.713,1.41
13.714,1.46
13.715,1.65
13.716,1.67
13.717,1.71
13.718,1.79
13.719,1.5
13.72,1.71
13.721,1.64
13.722,1.57
13.722,1.39
13.723,1.73
13.724,1.73
13.725,1.73
13.725,1.66
13.725,1.66
13.726,1.74
13.727,1.75
13.728,1.78
13.729,1.5
13.73,1.74
13.731,1.62
13.732,1.67
13.733,1.56
13.734,1.69
13.735,1.59
13.736,1.52
13.737,1.6
13.738,1.6
13.739,1.7
13.74,1.58
13.741,1.57
13.742,1.53
13.743,1.51
13.744,1.61
13.745,1.62
13.746,1.58
13.746,1.64
13.747,1.78
13.748,1.58
13.749,1.66
13.749,1.59
13.75,1.62
13.751,1.49
13.752,1.68
13.753,1.56
13.754,1.51
13.755,1.64
13.756,1.65
13.757,1.68
13.759,1.53
13.76,1.64
13.761,1.55
13.762,1.59
13.763,1.44
13.764,1.54
13.765,1.58
13.766,1.57
13.767,1.66
13.768,1.59
13.768,1.42
13.769,1.73
13.77,1.54
13.771,1.58
13.772,1.51
13.773,1.49
13.774,1.51
13.775,1.55
13.776,1.49
13.777,1.44
13.778,1.6
13.779,1.52
13.78,1.38
13.782,1.42
13.783,1.33
13.784,1.36
13.785,1.45
13.786,1.39
13.787,1.34
13.788,1.26
13.789,1.39
13.79,1.24
13.791,1.22
13.792,1.35
13.793,1.47
13.794,1.43
13.795,1.44
13.796,1.31
13.797,1.27
13.798,1.31
13.799,1.19
13.8,1.21
13.801,1.24
13.802,1.22
13.803,1.34
13.804,1.31
13.805,1.29
13.806,1.17
13.807,1.2
13.808,1.21
13.809,1.05
13.81,0.82
13.811,
13.812,0.83
13.813,0.95
13.814,0.71
13.815,0.73
13.816,0.79
13.817,0.95
13.818,1.04
13.819,1.23
13.82,0.92
13.821,1.4
13.823,1.23
13.824,1.36
13.825,1.04
13.826,1.33
13.827,1.12
13.828,1.02
13.829,1.11
13.83,1
13.831,1.15
13.832,1.09
13.833,1.08
13.834,1.18
13.835,1.11
13.836,1.15
13.837,1.1
13.838,1.08
13.839,1.09
13.84,1.13
13.841,0.97
13.842,1.01
13.843,1.15
13.848,1.06
13.85,1.09
13.852,1.13
13.855,1.07
13.857,1.13
13.86,1.04
13.862,0.96
13.865,1.1
13.867,1.08
13.869,1.03
13.872,0.93
13.874,0.81
13.876,0.8
13.879,0.74
13.881,0.74
13.883,0.92
13.886,0.83
13.888,1.1
13.891,1.05
13.893,1.13
13.896,0.96
13.898,0.95
13.901,0.88
13.903,1.14
13.905,1.1
13.906,0.97
13.908,1.24
13.91,1.2
13.912,1.03
13.914,0.72
13.916,0.73
13.917,0.78
13.919,0.63
13.921,1.06
13.923,0.92
13.925,1.05
13.926,0.89
13.928,0.92
13.93,0.81
13.932,1.21
13.934,1.08
13.936,1.18
13.937,1.04
13.939,1.21
13.941,1.1
13.943,1.32
13.945,1.17
13.947,1.12
13.948,1.15
13.95,1.11
13.952,0.98
13.954,0.91
13.956,0.95
13.957,1.05
13.959,0.97
13.961,0.96
13.963,0.97
13.965,1.05
13.967,1.04
13.968,0.96
13.97,1.06
13.972,0.99
13.974,0.92
13.976,1.04
13.977,1.15
13.979,1.17
13.981,1.21
13.983,1.15
13.985,1.28
13.987,1.34
13.988,1.3
13.99,1.29
13.992,1.21
13.993,1.19
13.995,1.02
13.996,1.16
13.997,1.07
13.998,1.17
14,1.01
14.001,1.11
14.002,1.1
14.003,1.24
14.005,1.02
14.006,0.98
14.007,1.13
14.008,1.13
14.01,1.15
14.011,1.14
14.012,1.16
14.013,1.25
14.015,1.21
14.016,1.09
14.017,1.17
14.018,1.39
14.02,1.35
14.021,1.34
14.022,1.49
14.023,1.47
14.025,1.48
14.026,1.28
14.027,1.13
14.028,1.17
14.03,1.12
14.031,0.94
14.033,1.13
14.035,1.09
14.036,1.3
14.038,1.18
14.038,1.18
14.04,1.25
14.042,1.12
14.043,1.16
14.045,1.14
14.047,1.27
14.049,1.41
14.05,1.26
14.052,1.37
14.054,1.21
14.056,1.5
14.057,1.33
14.059,1.46
14.061,1.42
14.062,1.36
14.064,1.54
14.066,1.51
14.068,1.34
14.069,1.33
14.071,1.34
14.073,1.32
14.075,1.26
14.076,1.22
14.078,1.12
14.08,1.27
14.082,1.25
14.083,1.32
14.085,1.22
14.087,1.3
14.089,1.22
14.09,1.19
14.092,1.33
14.094,1.37
14.096,1.33
14.097,1.34
14.099,1.32
14.101,1.41
14.103,1.38
14.104,1.45
14.106,1.29
14.108,1.31
14.11,1.38
14.112,1.35
14.114,1.25
14.116,1.28
14.118,1.13
14.12,1.16
14.122,1.15
14.123,1.19
14.125,1.2
14.127,1.16
14.129,1.18
14.131,1.16
14.133,1.28
14.135,1.17
14.137,1.21
14.139,1.26
14.141,1.3
14.143,1.27
14.145,1.39
14.147,1.37
14.149,1.3
14.151,1.35
14.152,1.26
14.154,1.35
14.156,1.29
14.158,1.4
14.16,1.28
14.162,1.29
14.164,1.19
14.166,1.2
14.168,1.2
14.17,1.07
14.172,1.07
14.174,0.94
14.174,1.01
14.176,0.99
14.178,0.9
14.18,0.92
14.181,0.8
14.183,1.04
14.185,1.13
14.187,1.14
14.189,1.12
14.191,1.16
14.193,1.16
14.195,1.3
14.197,1.26
14.199,1.23
14.201,1.21
14.203,1.28
14.205,1.16
14.207,1.23
14.209,1.16
14.209,1.14
14.21,1.28
14.212,1.27
14.214,1.19
14.216,1.22
14.218,1.17
14.22,1.38
14.222,1.29
14.224,1.14
14.226,1.3
14.228,1.26
14.23,1.14
14.232,1.17
14.232,1.18
14.234,1.1
14.236,1.14
14.238,1.07
14.24,1.01
14.242,1.15
14.244,1.2
14.246,1.12
14.248,1.17
14.25,1.23
14.252,1.44
14.254,1.36
14.256,1.43
14.258,1.35
14.26,1.61
14.261,1.37
14.263,1.54
14.265,1.47
14.267,1.35
14.269,1.37
14.271,1.16
14.273,1.3
14.275,1.11
14.276,1.18
14.278,1.07
14.279,0.95
14.281,0.96
14.282,1.13
14.283,1.16
14.285,1.36
14.286,1.19
14.286,1.27
14.287,1.19
14.289,1.25
14.29,1.29
14.292,1.28
14.293,1.37
14.294,1.27
14.296,1.29
14.297,1.29
14.298,1.2
14.3,1.27
14.301,1.13
14.303,1.21
14.304,1.32
14.306,1.47
14.308,1.38
14.31,1.5
14.312,1.53
14.314,1.36
14.315,1.45
14.317,1.28
14.319,1.12
14.321,1.04
14.323,1
14.325,1.01
14.327,0.96
14.329,1.19
14.331,1.15
14.333,1.2
14.335,1.35
14.336,1.29
14.338,1.39
14.34,1.28
14.342,1.14
14.344,1.23
14.346,1.21
14.348,1.32
14.35,1.44
14.352,1.33
14.354,1.3
14.356,1.17
14.358,1.26
14.359,1.11
14.361,1.06
14.363,0.88
14.363,0.92
14.365,0.84
14.367,1.03
14.369,0.95
14.371,1.24
14.373,1.19
14.375,1.36
14.377,1.47
14.379,1.46
14.38,1.54
14.382,1.3
14.384,1.34
14.386,1.17
14.388,1.12
14.39,1.18
14.392,1.31
14.394,1.31
14.396,1.39
14.398,1.53
14.4,1.5
14.402,1.37
14.403,1.29
14.405,1.38
14.407,1.27
14.409,1.17
14.411,1.26
14.413,1.27
14.415,1.25
14.417,1.22
14.419,1.57
14.421,1.62
14.423,1.59
14.424,1.61
14.426,1.53
14.428,1.51
14.43,1.58
14.432,1.5
14.434,1.3
14.436,1.39
14.437,1.25
14.438,1.33
14.439,1.09
14.441,1.37
14.442,1.26
14.443,1.31
14.444,1.3
14.445,1.51
14.446,1.33
14.447,1.4
14.45,1.53
14.451,1.4
14.452,1.46
14.453,1.25
14.454,1.36
14.455,1.36
14.456,1.54
14.458,1.44
14.459,1.63
14.46,1.38
14.461,1.6
14.463,1.6
14.464,1.38
14.466,1.54
14.467,1.35
14.468,1.49
14.469,1.12
14.47,1.32
14.471,1.1
14.472,1.35
14.473,1.24
14.475,1.35
14.476,1.15
14.477,1.37
14.478,1.19
14.479,1.34
14.48,1.32
14.481,1.52
14.483,1.4
14.484,1.61
14.485,1.45
14.486,1.79
14.487,1.18
14.488,1.38
14.489,1.41
14.491,1.36
14.492,0.97
14.493,1.4
14.494,0.91
14.495,1.47
14.5,1.53
14.501,1.2
14.503,1.37
14.504,1.14
14.505,1.13
14.506,1
14.507,1.09
14.509,1.12
14.51,1.02
14.511,1.15
14.513,1.02
14.514,1.19
14.515,1.15
14.517,1.12
14.518,1.25
14.519,1.23
14.521,1.22
14.522,1.41
14.523,1.06
14.525,1.26
14.526,1.28
14.527,1.11
14.529,1.12
14.53,1.4
14.531,1.1
14.533,1.16
14.534,1.13
14.535,1.22
14.537,1.21
14.538,1.08
14.539,1
14.541,1.23
14.542,1.19
14.543,1.2
14.545,1.69
14.546,1.66
14.547,1.56
14.549,1.7
14.55,1.5
14.551,1.51
14.553,1.73
14.554,1.74
14.555,1.62
14.556,1.63
14.558,1.55
14.559,1.55
14.56,1.46
14.561,1.51
14.563,1.48
14.564,1.45
14.565,1.33
14.566,1.35
14.568,1.35
14.569,1.38
14.57,1.35
14.571,1.43
14.573,1.53
14.574,1.61
14.575,1.53
14.576,1.58
14.578,1.67
14.579,1.68
14.58,1.7
14.581,1.61
14.583,1.71
14.584,1.61
14.585,1.6
14.586,1.67
14.588,1.62
14.589,1.41
14.591,1.44
14.592,1.5
14.594,1.37
14.596,1.38
14.598,1.39
14.599,1.38
14.601,1.46
14.603,1.44
14.605,1.52
14.606,1.51
14.608,1.58
14.61,1.56
14.612,1.6
14.613,1.64
14.615,1.67
14.617,1.48
14.619,1.64
14.62,1.53
14.622,1.66
14.624,1.67
14.626,1.66
14.627,1.54
14.629,1.62
14.631,1.56
14.633,1.71
14.634,1.69
14.636,1.66
14.638,1.63
14.639,1.62
14.641,1.7
14.643,1.52
14.645,1.63
14.646,1.39
14.648,1.44
14.65,1.4
14.652,1.35
14.653,1.31
14.655,1.44
14.657,1.34
14.659,1.27
14.66,1.35
14.662,1.51
14.664,1.4
14.666,1.45
14.667,1.4
14.669,1.38
14.671,1.43
14.673,1.44
14.674,1.38
14.676,1.17
14.678,1.37
14.68,1.37
14.681,1.32
14.683,1.29
14.685,1.2
14.686,1.25
14.688,1.23
14.69,1.18
14.692,1.25
14.693,1.1
14.695,1.22
14.697,1.17
14.699,1.32
14.7,1.35
14.702,1.25
14.704,1.29
14.706,1.09
14.707,1.26
14.709,1.2
14.711,1.24
14.713,1.22
14.714,1.14
14.716,1.17
14.718,0.95
14.72,1.14
14.721,1.24
14.723,1.38
14.725,1.4
14.727,1.45
14.728,1.22
14.73,1.24
14.732,1.05
14.733,1.13
14.735,0.84
14.737,0.86
14.739,1.17
14.74,1.27
14.742,1.4
14.744,1.43
14.746,1.36
14.747,1.32
14.749,1.2
14.751,1.23
14.753,1.53
14.754,1.51
14.756,1.55
14.758,1.6
14.76,1.44
14.761,1.42
14.763,1.34
14.765,1.11
14.767,1.12
14.768,1
