Age (Ma) (automatic) (3),d13Cvpdb
23.734,0.725
23.735,0.376
23.735,0.962
23.737,0.622
23.738,0.625
23.739,1.010
23.742,0.490
23.744,0.389
23.745,0.610
23.745,0.700
23.746,0.450
23.746,0.399
23.747,0.530
23.749,0.827
23.749,0.519
23.753,0.769
23.754,0.883
23.760,0.610
23.762,0.686
23.762,0.650
23.765,0.424
23.769,0.571
23.775,0.594
23.777,0.610
23.782,0.548
23.785,0.637
23.791,0.479
23.795,0.910
23.799,1.023
23.807,0.657
23.810,0.779
23.817,1.106
23.823,0.764
23.825,0.610
23.827,0.700
23.831,0.892
23.838,0.912
23.847,0.656
23.852,0.960
23.854,0.872
23.861,0.891
23.867,0.878
23.875,1.010
23.884,1.113
23.887,0.780
23.889,0.922
23.897,1.029
23.898,0.980
23.901,0.987
23.910,0.715
23.914,0.588
23.920,0.918
23.931,0.996
23.935,0.730
23.942,0.751
23.945,0.705
23.954,0.911
23.965,0.829
23.976,0.620
23.978,0.762
23.982,0.811
23.984,0.527
23.987,0.909
23.988,0.760
23.993,0.884
23.997,0.524
24.000,0.685
24.003,0.530
24.006,0.445
24.008,0.930
24.010,0.760
24.014,0.987
24.023,0.411
24.025,0.357
24.028,0.467
24.031,0.480
24.034,0.866
24.044,0.685
24.059,0.872
24.061,0.540
24.063,0.687
24.066,0.681
24.067,0.680
24.069,0.735
24.072,0.464
24.075,0.503
24.075,0.817
24.077,0.399
24.079,0.640
24.083,0.960
24.090,0.691
24.093,0.436
24.095,0.533
24.101,0.316
24.104,0.457
24.104,0.767
24.107,0.530
24.108,0.539
24.111,0.521
24.115,0.297
24.118,0.231
24.120,0.512
24.127,0.628
24.138,0.470
24.143,0.242
24.150,0.878
24.161,0.726
24.165,0.517
24.171,0.775
24.176,0.579
24.179,0.771
24.182,0.775
24.183,0.540
24.185,0.640
24.188,0.335
24.191,0.573
24.194,0.469
24.199,0.746
24.206,0.520
24.208,0.369
24.209,0.590
24.210,0.331
24.214,0.685
24.217,0.858
24.220,0.828
24.222,0.660
24.223,0.581
24.225,0.719
24.229,0.507
24.232,0.827
24.233,1.000
24.234,0.710
24.235,0.570
24.238,0.798
24.241,0.852
24.244,0.727
24.244,0.830
24.247,0.795
24.255,0.924
24.264,0.855
24.275,0.704
24.275,0.850
24.277,0.768
24.280,0.804
24.283,0.819
24.291,0.940
24.292,0.776
24.295,0.720
24.296,1.026
24.302,0.589
24.308,0.997
24.311,0.760
24.314,0.948
24.324,0.941
24.340,0.878
24.348,0.907
24.352,0.547
24.353,0.567
24.356,0.844
24.357,0.726
24.359,0.890
24.360,0.839
24.363,0.680
24.366,0.899
24.369,1.135
24.372,0.478
24.374,0.590
24.378,0.576
24.380,0.406
24.390,0.779
24.393,0.790
24.394,0.559
24.404,0.850
24.406,0.957
24.412,0.932
24.419,0.796
24.426,0.915
24.432,0.889
24.433,0.760
24.436,0.692
24.437,1.002
24.439,0.966
24.440,0.504
24.440,0.760
24.441,0.633
24.442,0.766
24.444,0.628
24.444,0.864
24.447,0.670
24.447,0.652
24.448,0.770
24.449,0.805
24.451,0.638
24.451,0.601
24.453,0.750
24.456,0.789
24.457,0.939
24.459,0.678
24.460,0.787
24.464,0.567
24.467,0.563
24.475,0.514
24.476,0.575
24.477,0.480
24.478,0.518
24.478,0.634
24.480,0.576
24.480,0.455
24.482,0.649
24.482,0.872
24.484,0.814
24.484,0.671
24.485,0.550
24.488,0.642
24.489,0.410
24.494,0.453
24.496,0.572
24.501,0.583
24.504,0.645
24.508,0.601
24.510,0.560
24.511,0.546
24.515,0.475
24.518,0.822
24.519,0.583
24.521,0.224
24.522,0.821
24.524,0.506
24.525,0.700
24.526,0.760
24.531,0.764
24.531,0.574
24.537,0.825
24.537,0.541
24.539,0.644
24.540,0.728
24.543,0.623
24.544,0.785
24.548,0.595
24.550,0.106
24.554,0.731
24.557,0.874
24.558,0.634
24.563,0.471
24.571,0.700
24.575,0.419
24.577,0.546
24.579,0.602
24.583,0.413
24.590,0.239
24.598,0.640
24.602,0.413
24.610,0.595
24.617,0.775
24.624,0.522
24.632,0.889
24.638,0.678
24.646,0.838
24.650,0.915
24.652,0.735
24.656,0.669
24.660,0.682
24.665,0.723
24.667,0.751
24.669,0.896
24.671,0.796
24.673,0.671
24.675,0.620
24.677,0.581
24.679,0.652
24.680,0.448
24.681,0.651
24.683,0.520
24.688,0.810
24.695,0.657
24.698,0.478
24.699,0.809
24.702,0.649
24.704,0.692
24.705,0.761
24.707,0.609
24.708,0.614
24.710,0.612
24.712,0.580
24.713,0.632
24.716,0.533
24.718,0.748
24.720,0.668
24.722,0.690
24.723,0.688
24.725,0.681
24.730,0.718
24.737,0.669
24.742,0.643
24.747,0.726
24.749,0.553
24.752,0.547
24.753,0.703
24.755,0.657
24.757,0.438
24.758,0.436
24.763,0.631
24.769,0.642
24.780,0.710
24.790,0.480
24.798,0.532
24.801,0.407
24.804,0.458
24.810,0.816
24.812,0.600
24.820,0.788
24.828,0.660
24.830,0.643
24.836,0.711
24.841,0.759
24.844,0.640
24.847,0.423
24.849,0.629
24.852,0.642
24.855,0.547
24.857,0.550
24.857,0.487
24.860,0.602
24.863,0.464
24.871,0.506
24.875,0.597
24.878,0.545
24.881,0.602
24.883,0.537
24.887,0.460
24.890,0.441
24.893,0.992
24.896,0.420
24.896,0.510
24.902,0.636
24.912,0.268
24.923,0.973
24.930,0.820
24.933,0.651
24.935,0.660
24.937,0.762
24.944,0.729
24.950,0.395
24.951,0.376
24.952,0.502
24.953,0.630
24.955,0.333
24.961,0.336
24.963,0.500
24.967,0.337
24.972,0.512
24.979,0.310
24.985,0.380
24.988,0.241
24.990,0.332
24.992,0.494
24.999,0.263
25.004,0.447
25.005,0.335
25.008,0.517
25.013,0.724
25.020,0.444
25.026,0.609
25.033,0.567
25.035,0.460
25.037,0.676
25.043,0.824
