TuningAge(Ka),d13C
3.8013,-0.11
3.8017,-0.326
3.8021,-0.135
3.8024,-0.252
3.8028,-0.213
3.8032,0.044
3.8036,-0.086
3.804,0.04
3.8045,0.001
3.8049,-0.12
3.8058,0.026
3.8063,-0.115
3.8067,-0.201
3.8072,-0.169
3.809,-0.042
3.8108,0.067
3.8125,-0.033
3.8143,-0.162
3.8161,0
3.8179,-0.222
3.8196,-0.259
3.8214,-0.463
3.825,-0.634
3.8268,-0.58
3.8285,-0.49
3.8303,-0.466
3.8321,-0.259
3.8339,-0.107
3.8356,-0.22
3.8374,-0.117
3.8392,-0.15
3.8453,-0.148
3.8513,-0.097
3.8595,-0.37
3.8636,-0.602
3.8677,-0.495
3.8718,-0.562
3.8759,-0.12
3.8924,-0.215
3.9049,-0.093
3.9082,-0.446
3.9116,-0.072
3.9149,-0.127
3.9182,-0.207
3.9215,-0.157
3.9249,-0.325
3.9282,-0.223
3.933,-0.287
3.9378,-0.308
3.9429,-0.573
3.948,-0.67
3.953,-0.615
3.9581,-0.265
3.9673,-0.374
3.9724,-0.435
3.9752,-0.379
3.9759,-0.262
3.9766,-0.234
3.9772,-0.07
3.9779,0.072
3.9881,-0.931
3.9984,-0.702
4.0017,-0.479
4.0051,0.007
4.0084,0.047
4.0118,-0.169
4.0151,-0.258
4.0204,-0.226
4.0256,-0.276
4.0309,-0.359
4.0361,-0.429
4.0414,-0.222
4.0452,-0.174
4.0489,-0.341
4.0527,0.159
4.0565,-0.127
4.0602,-0.056
4.064,-0.095
4.0709,-0.278
4.0792,-0.26
4.0862,-0.357
4.0931,-0.399
4.1,-0.353
4.1014,-0.302
4.1028,-0.193
4.1042,-0.174
4.1056,0.028
4.107,0.086
4.12,-0.018
4.133,0.045
4.1372,-0.309
4.1419,-0.185
4.1461,-0.124
4.156,-0.171
4.166,-0.051
4.1815,-0.167
4.197,-0.29
4.208,-0.199
4.2085,-0.203
4.209,-0.322
4.217,-0.175
4.225,-0.188
4.233,-0.217
4.2378,-0.26
4.2425,-0.348
4.2473,-0.217
4.253,0.02
4.2693,-0.271
4.2803,-0.271
4.289,-0.205
4.2943,-0.128
4.2996,-0.056
4.3049,-0.138
4.3101,-0.172
4.3154,-0.234
4.3204,-0.264
4.3248,-0.176
4.3292,-0.141
4.3336,-0.114
4.338,-0.175
4.3452,-0.149
4.3524,-0.264
4.3595,-0.077
4.3667,-0.162
4.3696,-0.205
4.3773,-0.218
4.3849,-0.221
4.4014,-0.319
4.4103,-0.558
4.4192,-0.312
4.4281,-0.135
4.4339,-0.327
4.4397,-0.299
4.4455,-0.276
4.4508,-0.237
4.456,-0.254
4.4624,-0.142
4.4688,-0.186
4.4752,-0.315
4.481,-0.361
4.486,-0.387
4.491,-0.452
4.496,-0.307
4.501,-0.08
4.506,-0.145
4.512,-0.076
4.5179,-0.318
4.5239,-0.261
4.5287,-0.14
4.5335,-0.235
4.5358,-0.273
4.543,-0.345
4.5475,-0.485
4.5542,-0.171
4.5608,-0.304
4.565,-0.9
4.5685,-0.221
4.5721,-0.248
4.5739,-0.394
4.5756,-0.388
4.5774,-0.093
4.5792,-0.205
4.581,-0.107
4.5827,-0.158
4.5845,-0.185
4.5909,0.005
4.5972,-0.467
4.6036,-0.1
4.6058,-0.257
4.6085,-0.323
4.6113,-0.282
4.614,-0.238
4.6167,-0.112
4.6195,-0.202
4.6222,-0.125
4.625,0.027
4.6304,-0.012
4.6332,0.008
4.6359,-0.025
4.6377,0.131
4.6395,-0.064
4.6413,0.09
4.6431,-0.232
4.6449,-0.038
4.6481,-0.024
4.6513,-0.147
4.6545,-0.277
4.6576,0.001
4.6608,-0.106
4.664,-0.198
4.6672,-0.028
4.6704,0.019
4.6727,-0.003
4.675,-0.035
4.6774,-0.12
4.6797,-0.121
4.682,-0.194
4.6879,-0.24
4.6939,-0.255
4.6998,-0.269
4.7058,-0.062
4.7117,-0.056
4.7145,-0.051
4.7173,-0.1
4.7201,-0.163
4.7229,-0.106
4.7254,-0.084
4.7278,-0.284
4.7303,-0.209
4.7328,-0.229
4.7377,0.113
4.7402,-0.198
4.7427,-0.257
4.7451,-0.01
4.7476,-0.134
4.7501,0.024
4.7525,0.07
4.755,-0.049
4.7561,-0.015
4.7573,-0.248
4.7584,0.018
4.7595,-0.027
4.7626,-0.05
4.7656,-0.131
4.7687,-0.375
4.7718,-0.271
4.7749,-0.181
4.7779,-0.277
4.781,0.059
4.7816,-0.135
4.7847,-0.107
4.7894,-0.139
4.794,-0.157
4.7987,-0.126
4.8015,-0.162
4.8072,-0.268
4.81,-0.289
4.8129,-0.346
4.8185,-0.253
4.8213,-0.201
4.8242,-1.384
4.827,-0.106
4.8321,-0.017
4.8372,-0.101
4.8423,-0.064
4.8472,-0.186
4.8521,-1.166
4.857,-0.792
4.8618,-0.246
4.8667,-0.383
4.8765,-0.707
4.8785,-0.284
4.8801,-0.519
4.882,-0.16
4.884,-0.036
4.8863,-1.007
4.8915,-0.231
4.8942,-0.088
4.8968,-0.473
4.8994,-0.072
4.902,-0.01
4.9081,-0.201
4.9141,-0.167
4.9201,-0.362
4.9262,-0.304
4.9296,-0.319
4.9329,-0.567
4.9397,-0.683
4.9431,-0.285
4.9464,-0.311
4.9498,-0.326
4.9527,-0.274
4.9555,-0.432
4.9584,-0.316
4.9613,-0.154
4.9641,-0.14
4.967,-0.013
4.969,0.059
4.971,-0.366
4.973,-0.311
4.9749,-0.313
4.9769,-0.07
4.9789,-0.115
4.9809,-0.388
4.9829,-0.207
4.9849,-0.25
4.9869,-0.313
4.9888,-0.179
4.9908,0.005
4.9928,-0.234
4.9948,0.037
4.9968,-0.075
5.0008,-0.529
5.0027,-0.154
5.0047,-0.254
5.0067,-0.162
5.0087,-0.292
5.0107,-0.245
5.0127,-0.165
5.0147,-0.146
5.0166,-0.132
5.0206,-0.103
5.0281,-0.225
5.0306,-0.196
5.033,-0.215
5.0353,-0.143
5.0512,0.016
5.0542,-0.415
5.0563,-0.488
5.0593,-0.315
5.0621,-0.177
5.0646,-0.077
5.0669,0.034
5.0699,-0.033
5.0727,0.24
5.0752,0.117
5.0767,0.011
5.0794,0.019
5.082,-0.062
5.0852,0.007
5.0888,-0.211
5.0915,-0.173
5.0941,-0.166
5.0968,-0.116
5.0995,0.036
5.1027,0.098
5.1043,0.21
5.1077,-0.127
5.1111,-0.02
5.1146,0.093
5.118,-0.086
5.1214,-0.026
5.1248,-0.147
5.1282,-0.28
5.1316,-0.374
5.135,-0.335
5.138,-0.37
5.1384,-0.375
5.1418,-0.169
5.1451,-0.138
5.1485,-0.156
5.1518,-0.049
5.1552,-0.054
5.1585,-0.234
5.1619,-0.251
5.1652,-0.238
5.1686,-0.472
5.1715,-0.469
5.1724,-0.617
5.1757,-0.708
5.1775,-0.478
5.1792,-0.281
5.1809,-0.145
5.1826,-0.405
5.1843,-0.236
5.186,-0.404
5.1877,-0.191
5.1894,-0.424
5.1908,-0.309
5.1925,-0.324
5.1942,-0.553
5.1959,-0.809
5.1976,-0.462
5.1993,-0.441
5.201,-0.51
5.202,-0.285
5.2027,-0.306
5.2037,-0.031
5.2044,-0.218
5.2058,-0.046
5.2075,-0.164
5.2093,-0.214
5.211,-0.207
5.2128,-0.709
5.215,-0.55
5.2171,-0.426
5.2186,-0.389
5.22,-0.242
5.222,-0.101
5.224,-0.111
5.2263,-0.152
5.2281,-0.121
5.2302,-0.01
5.2321,-0.259
5.2341,-0.327
5.236,-0.429
5.2377,-0.368
5.2394,-0.139
5.2411,-0.133
5.2428,-0.139
5.2445,-0.137
5.2467,0.069
5.2479,-0.016
5.2496,-0.011
5.2513,-0.128
5.2525,-0.047
5.2542,-0.297
5.2559,-0.367
5.2576,-0.443
5.2593,-0.436
5.2612,-0.333
5.2631,-0.286
5.2639,-0.076
5.265,-0.001
5.2658,-0.058
5.2669,-0.122
5.2677,0.05
5.2688,-0.068
5.2695,-0.06
5.2707,-0.305
5.2714,-0.045
5.2723,-0.24
5.2733,-0.256
5.2743,-0.069
5.2752,-0.206
5.2768,-0.243
5.2771,-0.093
5.279,-0.137
5.279,-0.047
5.2809,-0.107
5.2831,-0.82
5.285,-0.145
5.2869,-0.139
5.2888,-0.101
5.2907,-0.071
5.2925,-0.231
5.2944,-0.22
5.2963,-0.308
5.2982,-0.461
5.3001,-0.625
5.3031,-0.389
5.3062,-0.183
5.3093,-0.062
5.3125,-0.146
5.3156,0.013
5.3188,-0.038
5.3218,-0.071
5.3251,0.004
5.3282,-0.022
5.3297,-0.172
5.3313,-0.068
5.3328,0.01
5.3341,-0.382
5.336,0.132
5.3372,-0.317
5.3391,0.198
5.3403,-0.356
5.3418,0.244
5.3444,0.195
5.347,0.049
5.3496,0.413
5.3522,0.276
5.3548,0.221
5.3569,0.35
5.3595,0.153
5.3621,0.258
5.3647,0.201
5.3673,-0.15
5.3699,0.153
5.3725,0.17
5.3751,-0.079
5.3777,0.108
5.3803,0.034
5.3828,0.041
5.3853,0.061
5.3879,-0.062
5.3904,0.023
5.393,0.027
5.3955,0.129
5.398,0.165
5.4006,0.2
5.4031,0.021
5.4056,0.229
5.4078,-0.083
5.4104,0.192
5.4129,0.056
5.4155,0.042
5.418,-0.201
5.4205,-0.186
5.4231,-0.149
5.4256,-0.18
5.4279,-0.062
5.4303,-0.172
5.433,0.109
5.4353,0.222
5.4377,0.269
5.44,0.303
5.4424,0.136
5.4448,-0.005
5.4471,0.106
5.4569,-0.066
5.4578,-0.028
5.4589,-0.011
5.46,-0.036
5.4613,0.049
5.4625,-0.086
5.4636,0.086
5.4645,-0.227
5.4686,-0.072
5.4733,0.068
5.4779,-0.217
5.4826,-0.261
5.4861,-0.1
5.4891,-0.052
5.4896,-0.125
5.4931,-0.127
5.4966,-0.171
5.5012,-0.93
5.5038,-0.157
5.5064,-0.023
5.5097,0.125
5.5123,0.041
5.5148,0.257
5.5161,0.052
5.5173,0.257
5.5182,0.232
5.5187,-0.013
5.5202,0.225
5.5212,-0.004
5.5232,0.074
5.5237,-0.12
5.5263,0.052
5.5288,0.045
5.5313,0.087
5.5339,-0.071
5.5364,-0.174
5.5389,-0.351
5.5411,-0.375
5.5436,-0.383
5.5462,-0.446
5.549,-0.266
5.5518,-0.062
5.5545,-0.128
5.5573,-0.013
5.5601,0.037
5.5629,0.054
5.5657,-0.002
5.5685,-0.078
5.5713,0.03
5.5741,-0.104
5.5769,-0.032
5.5797,-0.173
5.5825,-0.219
5.5853,-0.039
5.588,-0.261
5.5902,-0.146
5.5925,-0.116
5.5943,-0.142
5.5951,-0.136
5.5974,-0.021
5.5996,0.045
5.6019,0.008
5.6042,-0.419
5.6065,-0.004
5.6087,-0.073
5.611,-0.18
5.6133,0.028
5.6156,0.056
5.6178,0.014
5.6201,-0.006
5.6224,-0.038
5.6247,-0.054
5.6269,-0.035
5.6292,-0.298
5.6315,0.107
5.6346,0.02
5.6384,-0.053
5.6421,-0.048
5.6454,0.02
5.6491,-0.016
5.6529,0.034
5.6566,0.294
5.6604,0.039
5.6641,0.02
5.6679,0.146
5.6716,0.068
5.6746,0.137
5.6775,0.211
5.6807,0.105
5.6835,-0.018
5.6864,-0.041
5.6883,-0.524
5.6911,-0.205
5.694,-0.953
5.6968,0.71
5.6994,-0.373
5.7025,-0.253
5.7053,-0.191
5.7082,-0.318
5.711,-0.375
5.7136,-0.353
5.7158,-0.424
5.7183,-0.229
5.7209,-0.169
5.7235,-0.083
5.726,-0.065
5.7286,0.022
5.7312,0.05
5.7337,-0.041
5.7363,0.031
5.7388,-0.116
5.7418,-0.04
5.7443,-0.232
5.7469,-0.237
5.7494,-0.463
5.752,-0.489
5.7546,-0.51
5.7568,-0.516
5.759,-0.382
5.7612,-0.2
5.7634,-0.198
5.7656,-0.183
5.7678,-0.338
5.77,-0.318
5.7723,-0.235
5.7745,-0.297
5.7767,-0.315
5.7789,-0.314
5.7811,-0.468
5.7833,-0.359
5.7855,-0.523
5.7882,-0.338
5.7904,-0.227
5.7926,-0.16
5.7948,-0.893
5.7974,0.14
5.7983,-0.562
5.8,-0.034
5.8008,-0.122
5.8025,-0.266
5.8034,-0.036
5.8051,-0.351
5.8059,-0.142
5.8077,-0.24
5.8085,-0.315
5.8103,-1.184
5.8111,-0.257
5.8123,-0.361
5.8137,-1.215
5.8149,-0.423
5.8162,-0.829
5.8188,-0.377
5.8214,-0.423
5.824,-0.304
5.8265,-0.353
5.8291,-2.292
5.8313,-1.108
5.8342,-0.652
5.8362,-0.743
5.8381,-0.446
5.8401,-0.192
5.842,-0.173
5.844,-0.225
5.8469,0.075
5.8498,-1.044
5.8517,-0.059
5.8536,0.086
5.8556,-0.131
5.8575,-0.073
5.8595,0.071
5.8614,0.085
5.8633,0.12
5.8653,0.121
5.8672,0.652
5.8694,0.145
5.8712,0.269
5.873,0.321
5.875,0.146
5.8769,0.106
5.8788,0.09
5.8807,-0.029
5.8826,-0.122
5.8844,-0.137
5.9113,0.416
5.9132,-0.26
5.9151,-1.531
5.9173,-0.356
5.9194,-0.353
5.9216,-0.22
5.9237,-0.89
5.9259,-1.004
5.9276,-0.077
5.9298,0.011
5.9319,-1.471
5.9342,-0.473
5.9765,-1.546
5.9786,-1.95
5.9808,-1.086
5.9829,-1.64
5.9851,-0.9
5.9872,-0.927
5.9894,-0.82
5.9915,-0.079
5.9937,-0.073
5.9958,-1.477
5.9983,-1.545
6.0004,-0.195
6.0026,-0.531
6.0048,-0.154
6.0069,-1.564
6.0091,-0.514
6.0112,-0.734
6.0155,-1.436
6.0177,-0.647
6.0198,-1.501
6.022,-0.835
6.0241,-0.743
6.0263,-1.009
6.0284,-0.339
6.0306,-1.682
6.0328,-0.77
6.0349,-1.128
6.0369,-1.365
6.0389,-0.705
6.0412,-0.629
6.0432,-1.156
6.0451,-1.05
6.0471,-1.173
6.049,-1.635
6.0509,-1.361
6.0529,-1.503
6.0548,-1.221
6.0568,-1.525
6.0587,-0.733
6.0603,-0.236
6.0642,-1.535
6.0661,-0.556
6.068,-1.038
6.07,-1.502
6.0719,-1.145
6.0739,-1.704
6.0758,-0.788
6.0778,-0.975
6.0794,-1.542
6.0814,-1.35
6.0834,-0.526
6.0854,-1.155
6.0874,-1.26
6.0894,-0.992
6.0914,-0.958
6.0934,0.061
6.0954,-1.39
6.0974,0.053
6.0996,0.083
6.1036,-1.147
6.1043,-0.859
6.1063,-1.11
6.1083,-1.087
6.1103,-0.455
6.1122,-0.606
6.1142,-0.985
6.1162,-1.971
6.1182,-1.474
6.1207,-1.311
6.1241,-1.364
6.1274,0.042
6.1308,0.057
6.1347,-1.083
6.1384,-0.244
6.1423,-0.102
6.1464,0.055
6.1503,0.207
6.1549,-0.602
6.1586,-0.89
6.1616,-1.139
6.1643,0.059
6.1669,-0.128
6.1698,-0.285
6.1729,-0.478
6.1755,-0.407
6.1781,-0.675
6.1861,-0.476
6.1866,-0.921
6.1889,-0.121
6.1914,-0.224
6.194,-0.81
6.1968,-0.331
6.1992,-0.516
6.2016,-0.876
6.2034,-0.151
6.2054,-0.195
6.2071,-0.582
6.2086,-0.674
6.2094,-0.664
6.2112,-0.886
6.213,-0.824
6.2145,-0.489
6.2165,-0.318
6.2184,-0.655
6.2198,-0.64
6.222,-0.41
6.2236,-0.41
6.2255,-0.71
6.2273,-0.54
6.229,-0.33
6.2308,-0.16
6.2328,-0.09
6.2348,-0.74
6.2366,-0.63
6.2386,-0.81
6.2408,-1.08
6.243,-0.053
6.245,0.103
6.2468,-0.118
6.2477,-0.352
6.2486,-0.35
6.2495,0.287
6.2513,-0.121
6.2527,-1.055
6.2562,-0.53
6.258,-0.16
6.2598,0.178
6.2616,0.309
6.2633,0.444
6.2651,-0.54
6.2669,-0.26
6.2687,-0.454
6.2704,-0.67
6.2722,-0.68
6.274,-0.2
6.2758,-0.78
6.2775,-0.775
6.2797,0.246
6.2811,-1.07
6.2829,-1.34
6.2846,-0.25
6.2863,-0.16
6.2897,-0.22
6.2912,-0.403
6.2947,-0.49
6.2964,-0.2
6.2981,-0.19
6.2998,-0.17
6.3016,-0.191
6.3033,-0.067
6.305,-0.34
6.3067,-0.891
6.309,-0.127
6.3107,-0.841
6.3125,-0.722
6.3142,-0.223
6.3159,-1.156
6.3183,-0.215
6.3207,-1.507
6.3231,-1.161
6.3254,-1.151
6.3278,-1.465
6.3297,-1.003
6.3321,-1.012
6.3345,-0.801
6.3369,-1.376
6.3394,-1.153
6.3417,-1.403
6.344,-0.364
6.3464,-0.605
6.3488,-1.085
6.3512,-0.769
6.3536,-0.64
6.356,-0.301
6.3583,-0.411
6.3607,-0.69
6.3631,-0.953
6.3654,-0.858
6.3677,-0.421
6.3699,-0.888
6.3722,-0.492
6.3745,-0.159
6.3765,-1.432
6.3787,-0.849
6.381,-0.648
6.3871,-1.097
6.3894,-0.934
6.3917,-1.015
6.3939,-0.788
6.3962,-1.048
6.3985,-0.715
6.4008,-0.779
6.4031,-1.604
6.4063,-1.35
6.4097,-1.16
6.4142,-0.7
6.4176,-1.41
6.421,-0.78
6.4244,-1.35
6.4278,-0.16
6.4312,-0.94
6.4345,-1.3
6.4379,-0.49
6.4413,-0.47
6.4447,-1.31
6.4471,-1.37
6.449,-0.93
6.451,-0.59
6.453,-0.4
6.4549,-0.17
6.4569,-0.72
6.4589,-0.78
6.4608,-1.09
6.4628,-0.33
6.4647,-0.9
6.4667,-0.58
6.4684,-0.86
6.4706,-1.01
6.4726,-0.17
6.4746,-0.07
6.4765,-0.14
6.4785,-0.7
6.4805,-0.57
6.4824,-1.24
6.4844,-0.67
6.4861,-1.28
6.4881,-0.91
6.4904,-1.04
6.4928,-0.39
6.4952,-0.8
6.4979,-1.06
6.5003,-0.52
6.5026,-0.34
6.505,-0.18
6.5074,-0.28
6.5103,-0.31
6.5126,-0.88
6.515,-1.53
6.5174,-0.64
6.5198,-1.11
6.5222,-1.52
6.5245,-1.23
6.5269,-1.22
6.5293,-1.68
6.5317,-1.88
6.5335,-1.3
6.5357,-1.05
6.5439,-0.79
6.5775,-0.46
6.5798,-0.45
6.582,-0.47
6.5845,-1.31
6.5865,-0.92
6.5892,-1.27
6.5914,-1.83
6.5937,-1.85
6.5959,-0.81
6.5981,-1.24
6.6004,-1.56
6.6026,-1.2
6.6049,-1.68
6.6071,-1.18
6.6093,-1.13
6.6108,-1.8
6.6131,-0.33
6.6154,-0.59
6.6176,-0.3
6.6199,-0.32
6.6222,-0.28
6.6244,-0.4
6.6267,-0.52
6.6289,-0.24
6.6312,-0.32
6.6338,-0.35
6.636,-0.21
6.6383,-0.12
6.6406,-0.1
6.6428,-0.36
6.6451,-0.32
6.6473,-1.69
6.6496,-2.27
6.6519,-0.27
6.6541,-0.18
6.6564,-0.616
6.6585,-0.66
6.6607,-0.35
6.6629,-0.96
6.665,-0.3
6.6672,-0.37
6.6693,-0.31
6.6715,-0.25
6.6737,-0.51
6.6758,-0.07
6.678,-0.23
6.6801,-0.45
6.6823,-0.29
6.6878,-0.21
6.6899,-0.21
6.6921,-0.29
6.6943,-0.17
6.6964,-0.14
6.6986,-0.08
6.7012,-0.26
6.7033,-0.19
6.7055,-0.42
6.7076,-0.11
6.7097,-1.07
6.7118,-0.51
6.714,-1.61
6.7161,-0.1
6.7183,-0.51
6.7205,-0.41
6.7226,-0.24
6.7235,-0.15
6.7248,-0.45
6.7269,-0.09
6.7291,-0.31
6.7334,-0.25
6.7356,-0.4
6.7377,-0.5
6.7399,-0.55
6.7423,-0.28
6.7446,-0.43
6.7469,-0.49
6.7492,-0.53
6.7516,-0.72
6.7544,-0.34
6.7567,-0.6
6.759,-0.39
6.7614,-0.29
6.7637,-0.25
6.766,-0.47
6.7683,-0.09
6.7707,-0.67
6.773,-0.74
6.7753,-0.4
6.7769,-0.33
6.7789,-0.33
6.7809,-0.05
6.7828,-0.15
6.7848,-0.21
6.7867,-0.15
6.7887,-0.26
6.7906,0.24
6.7926,-0.33
6.7946,-0.27
6.7965,-0.24
6.7985,0.02
6.8004,-0.42
6.8024,-0.52
6.8043,0.21
6.8054,0.02
6.8075,-0.29
6.8094,-0.23
6.8111,-0.26
6.8153,-0.6
6.8169,-1.25
6.8201,-0.45
6.8228,-0.35
6.8272,0.12
6.83,0.11
6.8327,-1.12
6.8354,0.37
6.8382,-0.18
6.8409,-0.36
6.8437,-0.96
6.8464,-0.69
6.8492,-0.24
6.8519,-0.24
6.8541,-0.49
6.8568,-0.27
6.8623,-0.16
6.8648,-0.33
6.8673,-0.13
6.8699,0.08
6.8724,-0.03
6.875,-0.14
6.8775,0.05
6.8801,-0.02
6.8826,-0.07
6.8852,0.01
6.8877,-1.17
6.8903,0.02
6.8928,0.08
6.8954,-0.42
6.8981,-0.58
6.9014,-0.089
6.9046,0.302
6.9108,0.565
6.914,-0.245
6.9173,0.493
6.9206,-0.132
6.9238,-0.478
6.9271,-0.698
6.9304,-0.551
6.9337,-0.139
6.9369,-0.421
6.9403,-0.192
6.9424,-0.33
6.9445,-0.08
6.9467,0.49
6.9488,0.61
6.9498,-0.63
6.9519,-0.76
6.954,-0.21
6.9571,-0.36
6.9592,-0.48
6.9612,-0.42
6.964,-0.5
6.9661,-0.26
6.9686,-0.41
6.9703,-0.75
6.9721,-0.62
6.9742,-0.59
6.9763,-0.93
6.9784,-0.79
6.9806,0.1
6.9808,-0.8
6.9844,0.13
6.9937,-0.47
6.9963,-0.22
6.9989,-0.5
7.0016,-1.69
7.0042,-0.97
7.0068,-0.22
7.0096,-0.46
7.012,-0.27
7.0154,-0.18
7.019,-1.41
7.0207,-1.66
7.0229,-0.17
7.0252,-0.29
7.0276,-0.52
7.0296,-0.28
7.0318,-0.56
7.034,-0.11
7.0363,-1.44
7.0385,-0.18
7.0407,0.16
7.0428,-0.32
7.045,-0.09
7.0472,-0.21
7.0499,-0.03
7.0525,-0.14
7.0548,-0.2
7.057,-0.5
7.0598,-0.45
7.062,0.07
7.0638,-0.23
7.0646,-0.41
7.0666,-0.16
7.0687,-0.41
7.0703,-0.19
7.0718,-0.03
7.0744,-0.86
7.0765,-1.15
7.0785,-0.29
7.0805,-0.33
7.0824,-0.37
7.0843,-0.45
7.0862,-0.19
7.0883,0.09
7.0906,-0.56
7.0929,-0.08
7.0949,-0.14
7.0969,0.14
7.0986,-0.03
7.1006,0.4
7.1035,0.22
7.105,-0.06
7.1075,0.29
7.1101,0.21
7.1124,-0.328
7.116,-0.387
7.1188,-0.063
7.1213,-0.04
7.1244,0.025
7.1266,-0.432
7.1293,0.19
7.1304,0.05
7.1328,0.35
7.1394,-0.1
7.1418,-1.22
7.1438,-1.08
7.1457,0.18
7.1477,0.32
7.1496,0.17
7.1516,-0.991
7.1535,0.09
7.1554,-0.446
7.1574,0.23
7.1593,-0.135
7.1613,0.21
7.1632,0.46
7.1652,0.17
7.1671,0.37
7.169,0.05
7.171,-0.53
7.1729,0.02
7.1749,0.5
7.1768,0.29
7.1791,0.2
7.1811,0.38
7.1831,0.07
7.1876,0.15
7.1921,0.17
7.1966,-0.1
7.2011,0.25
7.2056,-0.01
7.2101,0.39
7.2146,0.41
7.2176,0.38
7.2221,-0.91
7.2243,0.02
7.2263,0.42
7.2284,-0.36
7.2304,0.38
7.2325,0.36
7.2345,0.42
7.2366,-0.11
7.2386,0.09
7.2408,0.19
7.2427,-0.23
7.2448,0.36
7.2468,0.29
7.2489,0.11
7.2502,0.3
7.2509,0.13
7.2524,0.13
7.2544,0.33
7.2568,0.48
7.2589,0.45
7.2611,-0.35
7.263,-0.13
7.2648,0.14
7.2668,0.26
7.2685,0.35
7.2695,0.11
7.2713,0.26
7.2732,0.22
7.2747,0.46
7.2768,0.4
7.2786,-0.17
7.2805,0.17
7.2821,0.1
7.2867,0.12
7.2876,0.32
7.2885,0.29
7.2894,-0.13
7.2903,-0.1
7.2912,0.27
7.2921,-0.08
7.2933,0.36
7.2939,0.04
7.2957,0.22
7.2975,0.14
7.2993,-0.05
7.3011,-0.12
7.3031,0.3
7.3057,0.23
7.3084,0.27
7.3111,0.33
7.3137,0.33
7.3164,-0.33
7.319,0.06
7.3217,0.23
7.3244,0.05
7.327,0.2
7.3297,0.25
7.3329,0
7.3355,0.27
7.3382,0.07
7.3409,0.32
7.3435,0.58
7.3459,-0.25
7.3483,-0.08
7.3507,0.45
7.3531,0.04
7.3555,0.48
7.3574,0.24
7.3622,0.17
7.4378,-0.81
7.4389,-0.33
7.44,-0.94
7.4411,-0.08
7.4424,-0.64
7.4431,-0.12
7.4439,-0.66
7.4451,0.46
7.4466,-0.45
7.4472,0.76
7.4492,0.32
7.4512,0.67
7.4533,0.52
7.4553,0.53
7.4573,0.53
7.4594,0.39
7.4614,0.63
7.464,-0.09
7.468,0.58
7.4719,0.08
7.4758,0.43
7.4797,0.27
7.4836,0.14
7.4876,0.32
7.4915,0
7.4943,0.33
7.4962,0.26
7.4993,-0.37
7.5001,0.25
7.503,0.19
7.5034,0.14
7.5051,0.3
7.5057,0.32
7.5079,-0.19
7.5082,0
7.51,0.41
7.5118,-0.02
7.5121,0.2
7.5144,0.12
7.5166,0.26
7.5189,0.14
7.521,0.04
7.5232,-0.01
7.5255,0.23
7.5274,0.32
7.5292,-0.02
7.5318,0.31
7.5342,0.34
7.5367,0.09
7.539,0.41
7.5412,0.12
7.5435,0.29
7.5455,0.22
7.5474,0.36
7.5489,0.3
7.5507,0.23
7.5525,0.021
7.5542,0.4
7.5559,-0.32
7.5582,0.28
7.5602,-0.15
7.5614,0.27
7.5634,0.42
7.5651,0.4
7.5671,0.34
7.5691,0.4
7.5703,0.39
7.5722,-0.02
7.5734,0.02
7.575,0.41
7.5771,0.519
7.578,0.381
7.5798,0.494
7.5815,0.41
7.584,0.651
7.5847,0.28
7.5858,0.44
7.5864,0.15
7.5875,0.15
7.5881,0.3
7.5892,0.72
7.5899,0.31
7.5916,-0.03
7.5933,0.27
7.595,0.1
7.5952,0.72
7.5967,0.04
7.5971,0.588
7.5984,-0.28
7.5988,0.707
7.6001,-0.07
7.6019,0.41
7.6036,0.23
7.6053,0.21
7.607,0.27
7.6087,0.45
7.6104,0.44
7.6121,0.33
7.6138,0.33
7.6156,0.645
7.6173,-0.02
7.6192,0.15
7.6209,0.57
7.6221,0.794
7.6226,0.52
7.6239,0.53
7.6244,0.35
7.6254,-0.27
7.6272,-0.31
7.6278,0.34
7.629,0.386
7.6295,0.672
7.6305,0.18
7.6312,0.31
7.6325,0.303
7.6344,0.25
7.6365,-0.31
7.6375,0.05
7.6393,0.454
7.641,0.57
7.643,-0.25
7.6445,0.38
7.6459,0.25
7.6476,0.703
7.6496,-0.03
7.6515,0.49
7.6542,0.35
7.6563,0.726
7.6581,0.42
7.6598,0.27
7.6621,0.557
7.6639,0.44
7.6656,0.4
7.6679,0.718
7.6702,-1.76
7.6719,-0.568
7.6736,0.626
7.6753,0.563
7.6771,0.62
7.6787,0.858
7.6804,-0.17
7.6827,0.3
7.6839,0.28
7.6856,0.719
7.6873,0.732
7.6884,0.529
7.6906,0.07
7.6929,0.35
7.6952,0.04
7.6973,0.75
7.6997,0.2
7.7018,0.58
7.7067,0.7
7.7092,0.586
7.7117,0.601
7.7142,0.04
7.7162,-0.07
7.7187,0.69
7.7212,0.877
7.7237,0.633
7.7262,0.61
7.7287,0.69
7.7312,0.573
7.7337,0.926
7.7362,0.877
7.7387,0.62
7.7408,0.529
7.7433,0.68
7.7458,-0.09
7.7478,0.43
7.7498,0.65
7.7518,0.72
7.7541,0.61
7.7561,0.68
7.7581,0.71
7.7602,0.67
7.7622,0.39
7.7642,0.8
7.7662,0.63
7.7678,0.73
7.7702,0.07
7.7722,0.69
7.7743,0.78
7.7763,0.84
7.7783,-0.34
7.7803,0.9
7.7823,0.96
7.7843,0.3
7.7864,0.6
7.7884,0.54
