Age [ka BP] (AgeD17MT (this study)),Foram bent δ13C [‰ PDB] (vs. VPDB),Foram bent δ18O [‰ PDB] (vs. VPDB),Foram bent δ13C [‰ PDB] (benthic d13C corrected to equ...),Foram bent δ18O [‰ PDB] (benthic d18O corrected to equ...),Reference,Species
5346.38,0.89,1.9,0.89,2.54,"Hodell et al., 2001",C.wuellerstorfi
5348.92,0.87,1.92,0.87,2.56,"Hodell et al., 2001",C.wuellerstorfi
5351.46,0.99,1.89,0.99,2.53,"Hodell et al., 2001",C.wuellerstorfi
5354,0.96,1.86,0.96,2.5,"Hodell et al., 2001",C.wuellerstorfi
5356.53,0.94,1.84,0.94,2.48,"Hodell et al., 2001",C.wuellerstorfi
5359.07,0.93,1.85,0.93,2.49,"Hodell et al., 2001",C.wuellerstorfi
5361.61,0.92,1.87,0.92,2.51,"Hodell et al., 2001",C.wuellerstorfi
5364.15,1.03,2.03,1.03,2.67,"Hodell et al., 2001",C.wuellerstorfi
5366.69,1.01,2.02,1.01,2.66,"Hodell et al., 2001",C.wuellerstorfi
5371.76,0.84,2.22,0.84,2.86,"Hodell et al., 2001",C.wuellerstorfi
5374.3,0.95,2.1,0.95,2.74,"Hodell et al., 2001",C.wuellerstorfi
5376.84,0.79,2.12,0.79,2.76,"Hodell et al., 2001",C.wuellerstorfi
5379.38,0.77,2.03,0.77,2.67,"Hodell et al., 2001",C.wuellerstorfi
5381.92,0.9,2.08,0.9,2.72,"Hodell et al., 2001",C.wuellerstorfi
5384.45,0.92,2.05,0.92,2.69,"Hodell et al., 2001",C.wuellerstorfi
5386.99,0.74,2.02,0.74,2.66,"Hodell et al., 2001",C.wuellerstorfi
5389.53,0.69,1.93,0.69,2.57,"Hodell et al., 2001",C.wuellerstorfi
5392.07,0.87,1.85,0.87,2.49,"Hodell et al., 2001",C.wuellerstorfi
5394.61,0.79,1.99,0.79,2.63,"Hodell et al., 2001",C.wuellerstorfi
5397.15,0.78,1.9,0.78,2.54,"Hodell et al., 2001",C.wuellerstorfi
5399.68,0.92,2.02,0.92,2.66,"Hodell et al., 2001",C.wuellerstorfi
5402.22,0.81,1.91,0.81,2.55,"Hodell et al., 2001",C.wuellerstorfi
5404.76,0.73,1.85,0.73,2.49,"Hodell et al., 2001",C.wuellerstorfi
5407.3,0.7,1.78,0.7,2.42,"Hodell et al., 2001",C.wuellerstorfi
5409.84,0.6,1.95,0.6,2.59,"Hodell et al., 2001",C.wuellerstorfi
5412.37,0.76,1.81,0.76,2.45,"Hodell et al., 2001",C.wuellerstorfi
5414.91,0.8,1.88,0.8,2.52,"Hodell et al., 2001",C.wuellerstorfi
5417.45,0.7,2,0.7,2.64,"Hodell et al., 2001",C.wuellerstorfi
5419.99,0.68,2.19,0.68,2.83,"Hodell et al., 2001",C.wuellerstorfi
5422.53,0.57,2.03,0.57,2.67,"Hodell et al., 2001",C.wuellerstorfi
5425.07,0.88,2.01,0.88,2.65,"Hodell et al., 2001",C.wuellerstorfi
5427.6,0.57,1.94,0.57,2.58,"Hodell et al., 2001",C.wuellerstorfi
5434.46,0.45,2.09,0.45,2.73,"Hodell et al., 2001",C.wuellerstorfi
5436.99,0.48,2.17,0.48,2.81,"Hodell et al., 2001",C.wuellerstorfi
5442.07,0.46,2.07,0.46,2.71,"Hodell et al., 2001",C.wuellerstorfi
5444.61,0.52,2.1,0.52,2.74,"Hodell et al., 2001",C.wuellerstorfi
5449.69,0.74,1.77,0.74,2.41,"Hodell et al., 2001",C.wuellerstorfi
5457.3,0.67,2.16,0.67,2.8,"Hodell et al., 2001",C.wuellerstorfi
5459.84,0.77,2.2,0.77,2.84,"Hodell et al., 2001",C.wuellerstorfi
5462.38,0.62,2.15,0.62,2.79,"Hodell et al., 2001",C.wuellerstorfi
5464.91,0.7,1.99,0.7,2.63,"Hodell et al., 2001",C.wuellerstorfi
5467.45,0.82,2.13,0.82,2.77,"Hodell et al., 2001",C.wuellerstorfi
5469.99,0.64,2.1,0.64,2.74,"Hodell et al., 2001",C.wuellerstorfi
5472.53,0.43,1.99,0.43,2.63,"Hodell et al., 2001",C.wuellerstorfi
5480.14,1.02,1.99,1.02,2.63,"Hodell et al., 2001",C.wuellerstorfi
5485.22,1.04,2.11,1.04,2.75,"Hodell et al., 2001",C.wuellerstorfi
5487.76,0.98,2.08,0.98,2.72,"Hodell et al., 2001",C.wuellerstorfi
5490.3,1.02,2.13,1.02,2.77,"Hodell et al., 2001",C.wuellerstorfi
5492.83,0.74,2.03,0.74,2.67,"Hodell et al., 2001",C.wuellerstorfi
5495.37,0.69,2.11,0.69,2.75,"Hodell et al., 2001",C.wuellerstorfi
5497.91,0.76,1.92,0.76,2.56,"Hodell et al., 2001",C.wuellerstorfi
5500.45,0.8,1.93,0.8,2.57,"Hodell et al., 2001",C.wuellerstorfi
5502.99,0.75,1.9,0.75,2.54,"Hodell et al., 2001",C.wuellerstorfi
5505.53,0.64,1.86,0.64,2.5,"Hodell et al., 2001",C.wuellerstorfi
5508.06,0.92,2.01,0.92,2.65,"Hodell et al., 2001",C.wuellerstorfi
5510.6,0.73,1.84,0.73,2.48,"Hodell et al., 2001",C.wuellerstorfi
5513.14,0.74,1.94,0.74,2.58,"Hodell et al., 2001",C.wuellerstorfi
5515.68,0.76,2.24,0.76,2.88,"Hodell et al., 2001",C.wuellerstorfi
5518.22,0.84,2.3,0.84,2.94,"Hodell et al., 2001",C.wuellerstorfi
5520.75,0.6,2.11,0.6,2.75,"Hodell et al., 2001",C.wuellerstorfi
5521.01,0.73,2.08,0.73,2.72,"Hodell et al., 2001",C.wuellerstorfi
5526.08,0.86,2.03,0.86,2.67,"Hodell et al., 2001",C.wuellerstorfi
5528.62,0.82,2.19,0.82,2.83,"Hodell et al., 2001",C.wuellerstorfi
5531.16,0.72,1.83,0.72,2.47,"Hodell et al., 2001",C.wuellerstorfi
5533.7,0.85,1.88,0.85,2.52,"Hodell et al., 2001",C.wuellerstorfi
5536.24,0.78,1.79,0.78,2.43,"Hodell et al., 2001",C.wuellerstorfi
5538.77,0.85,1.94,0.85,2.58,"Hodell et al., 2001",C.wuellerstorfi
5546.39,0.53,1.83,0.53,2.47,"Hodell et al., 2001",C.wuellerstorfi
5548.93,0.87,2.14,0.87,2.78,"Hodell et al., 2001",C.wuellerstorfi
5551.47,1.03,2.08,1.03,2.72,"Hodell et al., 2001",C.wuellerstorfi
5554,0.56,2.33,0.56,2.97,"Hodell et al., 2001",C.wuellerstorfi
5556.54,0.74,2.41,0.74,3.05,"Hodell et al., 2001",C.wuellerstorfi
5559.08,0.67,2.69,0.67,3.33,"Hodell et al., 2001",C.wuellerstorfi
5561.62,0.64,2.56,0.64,3.2,"Hodell et al., 2001",C.wuellerstorfi
5564.16,0.86,2.28,0.86,2.92,"Hodell et al., 2001",C.wuellerstorfi
5566.69,0.94,2.16,0.94,2.8,"Hodell et al., 2001",C.wuellerstorfi
5569.23,0.94,2.11,0.94,2.75,"Hodell et al., 2001",C.wuellerstorfi
5571.77,0.94,2.19,0.94,2.83,"Hodell et al., 2001",C.wuellerstorfi
5574.31,0.94,2.27,0.94,2.91,"Hodell et al., 2001",C.wuellerstorfi
5576.85,0.84,2.26,0.84,2.9,"Hodell et al., 2001",C.wuellerstorfi
5579.39,0.8,2.28,0.8,2.92,"Hodell et al., 2001",C.wuellerstorfi
5581.92,0.7,2.26,0.7,2.9,"Hodell et al., 2001",C.wuellerstorfi
5584.46,0.61,2.24,0.61,2.88,"Hodell et al., 2001",C.wuellerstorfi
5587,0.84,2.43,0.84,3.07,"Hodell et al., 2001",C.wuellerstorfi
5588.8,0.68,2.25,0.68,2.89,"Hodell et al., 2001",C.wuellerstorfi
5590.61,0.9,2.39,0.9,3.03,"Hodell et al., 2001",C.wuellerstorfi
5592.41,0.91,2.28,0.91,2.92,"Hodell et al., 2001",C.wuellerstorfi
5594.22,0.89,2.15,0.89,2.79,"Hodell et al., 2001",C.wuellerstorfi
5596.02,1.03,2.2,1.03,2.84,"Hodell et al., 2001",C.wuellerstorfi
5597.83,1,2.17,1,2.81,"Hodell et al., 2001",C.wuellerstorfi
5599.63,0.93,2.09,0.93,2.73,"Hodell et al., 2001",C.wuellerstorfi
5601.44,0.93,2.09,0.93,2.73,"Hodell et al., 2001",C.wuellerstorfi
5603.24,1.01,2.1,1.01,2.74,"Hodell et al., 2001",C.wuellerstorfi
5605.04,0.99,2.06,0.99,2.7,"Hodell et al., 2001",C.wuellerstorfi
5606.85,0.87,2.08,0.87,2.72,"Hodell et al., 2001",C.wuellerstorfi
5608.65,0.74,2.03,0.74,2.67,"Hodell et al., 2001",C.wuellerstorfi
5610.46,0.8,2.04,0.8,2.68,"Hodell et al., 2001",C.wuellerstorfi
5612.26,0.73,1.87,0.73,2.51,"Hodell et al., 2001",C.wuellerstorfi
5614.07,0.79,2,0.79,2.64,"Hodell et al., 2001",C.wuellerstorfi
5615.87,0.75,2.11,0.75,2.75,"Hodell et al., 2001",C.wuellerstorfi
5617.68,0.71,2.12,0.71,2.76,"Hodell et al., 2001",C.wuellerstorfi
5619.48,0.75,2.24,0.75,2.88,"Hodell et al., 2001",C.wuellerstorfi
5621.29,0.56,2.12,0.56,2.76,"Hodell et al., 2001",C.wuellerstorfi
5623.09,0.8,2.22,0.8,2.86,"Hodell et al., 2001",C.wuellerstorfi
5624.89,0.97,2.21,0.97,2.85,"Hodell et al., 2001",C.wuellerstorfi
5626.7,0.95,2.25,0.95,2.89,"Hodell et al., 2001",C.wuellerstorfi
5628.5,0.95,2.16,0.95,2.8,"Hodell et al., 2001",C.wuellerstorfi
5630.31,0.83,2.14,0.83,2.78,"Hodell et al., 2001",C.wuellerstorfi
5632.11,0.8,2.12,0.8,2.76,"Hodell et al., 2001",C.wuellerstorfi
5633.92,0.77,2.14,0.77,2.78,"Hodell et al., 2001",C.wuellerstorfi
5635.72,0.95,2.17,0.95,2.81,"Hodell et al., 2001",C.wuellerstorfi
5637.53,0.94,2.23,0.94,2.87,"Hodell et al., 2001",C.wuellerstorfi
5639.33,0.76,2.31,0.76,2.95,"Hodell et al., 2001",C.wuellerstorfi
5641.14,0.84,2.32,0.84,2.96,"Hodell et al., 2001",C.wuellerstorfi
5642.94,0.77,2.28,0.77,2.92,"Hodell et al., 2001",C.wuellerstorfi
5644.74,0.78,2.24,0.78,2.88,"Hodell et al., 2001",C.wuellerstorfi
5646.55,0.95,2.14,0.95,2.78,"Hodell et al., 2001",C.wuellerstorfi
5648.35,1.02,2.15,1.02,2.79,"Hodell et al., 2001",C.wuellerstorfi
5650.16,0.92,2.11,0.92,2.75,"Hodell et al., 2001",C.wuellerstorfi
5651.96,1.07,2.01,1.07,2.65,"Hodell et al., 2001",C.wuellerstorfi
5653.77,1.02,2.09,1.02,2.73,"Hodell et al., 2001",C.wuellerstorfi
5655.57,1.1,2.11,1.1,2.75,"Hodell et al., 2001",C.wuellerstorfi
5657.01,1.1,2.18,1.1,2.82,"Hodell et al., 2001",C.wuellerstorfi
5658.82,0.98,2.16,0.98,2.8,"Hodell et al., 2001",C.wuellerstorfi
5660.62,0.94,2.17,0.94,2.81,"Hodell et al., 2001",C.wuellerstorfi
5664.23,1.02,1.89,1.02,2.53,"Hodell et al., 2001",C.wuellerstorfi
5666.04,0.85,2.09,0.85,2.73,"Hodell et al., 2001",C.wuellerstorfi
5667.84,0.94,2.02,0.94,2.66,"Hodell et al., 2001",C.wuellerstorfi
5669.65,0.96,2.08,0.96,2.72,"Hodell et al., 2001",C.wuellerstorfi
5671.45,0.9,2.04,0.9,2.68,"Hodell et al., 2001",C.wuellerstorfi
5673.26,0.89,2.16,0.89,2.8,"Hodell et al., 2001",C.wuellerstorfi
5675.06,0.77,2.07,0.77,2.71,"Hodell et al., 2001",C.wuellerstorfi
