Age model opt [ka],Cibicidoides spp. d13C [per mil PDB]
19.427,1.018
19.43,1.077
19.431,0.978
19.436,0.927
19.44,0.943
19.442,0.84
19.445,0.918
19.448,0.948
19.451,0.963
19.454,0.946
19.457,0.899
19.46,0.992
19.463,0.998
19.466,1.002
19.47,0.916
19.473,0.892
19.476,0.943
19.479,0.806
19.482,0.919
19.485,0.667
19.488,0.64
19.489,0.64
19.491,0.682
19.494,0.662
19.497,0.67
19.499,0.772
19.502,0.661
19.505,0.275
19.508,0.698
19.51,0.585
19.516,0.491
19.518,0.47
19.521,0.451
19.524,0.033
19.532,0.51
19.534,-0.126
19.537,0.801
19.541,0.742
19.544,0.885
19.548,0.96
19.551,0.982
19.555,0.949
19.559,0.979
19.562,0.692
19.566,1.05
19.569,0.842
19.576,0.545
19.58,0.737
19.583,0.789
19.585,0.71
19.587,0.788
19.594,0.805
19.598,0.313
19.601,0.648
19.613,0.405
19.616,0.566
19.624,0.674
19.637,0.392
19.642,0.623
19.645,0.8
19.648,0.889
19.654,0.782
19.657,0.736
19.66,0.744
19.667,0.948
19.67,0.926
19.673,0.981
19.677,0.906
19.68,0.972
19.683,0.843
19.687,0.856
19.691,0.907
19.696,0.803
19.7,0.843
19.702,0.83
19.705,0.843
19.709,0.851
19.713,0.585
19.718,0.688
19.722,0.42
19.805,0.63
19.809,0.695
19.813,0.63
19.815,0.79
19.817,0.754
19.821,0.859
19.825,0.889
19.828,0.887
19.832,0.869
19.835,0.874
19.839,0.741
19.846,0.749
19.852,0.613
19.864,0.555
19.87,0.752
19.876,0.717
19.879,0.755
19.882,0.836
19.885,0.72
19.888,0.748
19.891,0.729
19.894,0.678
19.897,0.474
19.902,0.7
19.904,0.764
19.907,0.94
19.909,0.911
19.91,0.81
19.911,0.794
19.914,0.844
19.916,0.89
19.919,0.463
19.934,0.616
19.937,0.753
19.94,0.715
19.943,0.792
19.946,0.756
19.951,0.727
19.955,0.681
19.957,0.53
19.96,0.531
19.964,0.677
19.969,0.618
19.982,0.401
19.986,0.687
19.995,1.012
19.999,0.911
20.002,1.026
20.006,0.788
20.009,0.828
20.013,0.659
20.018,0.43
20.02,0.475
20.024,0.636
20.028,0.636
20.031,0.569
20.035,0.625
20.039,0.276
20.042,0.435
20.045,0.542
20.047,0.352
20.053,0.262
20.068,0.209
20.2,0.74
20.204,0.651
20.207,0.599
20.21,0.937
20.212,0.64
20.213,0.795
20.216,0.758
20.219,0.761
20.223,0.674
20.226,0.676
20.229,0.807
20.235,0.933
20.237,0.902
20.24,0.979
20.242,0.91
20.245,0.904
20.247,0.927
20.25,0.723
20.253,0.76
20.254,0.675
20.257,0.615
20.259,0.981
20.269,0.94
20.273,0.859
20.28,0.939
20.283,0.868
20.286,0.847
20.29,0.558
20.293,0.634
20.297,0.619
20.3,0.614
20.302,0.59
20.303,0.447
20.306,0.703
20.31,0.524
20.313,0.856
20.316,0.81
20.319,0.782
20.322,0.72
20.325,0.525
20.337,0.448
20.34,0.343
20.345,0.463
20.346,0.82
20.348,0.686
20.35,0.677
20.352,0.741
20.355,0.779
20.357,0.829
20.36,0.788
20.362,0.717
20.364,0.782
20.366,0.708
20.368,0.741
20.37,0.754
20.372,0.72
20.378,0.59
20.381,0.705
20.383,0.76
20.384,0.73
20.388,0.715
20.391,0.726
20.398,0.619
20.402,0.595
20.405,0.602
20.409,0.529
20.416,0.556
20.419,0.605
20.423,0.553
20.427,0.551
20.432,0.78
20.437,0.625
20.439,0.77
20.442,0.74
20.446,0.512
20.449,0.53
20.452,0.376
20.455,0.518
20.458,0.425
20.461,0.217
20.464,0.235
20.467,0.763
20.47,0.505
20.473,0.593
20.476,0.855
20.479,0.804
20.482,0.87
20.495,0.68
20.498,0.77
20.501,0.82
20.504,0.623
20.505,0.87
20.507,0.86
20.51,0.821
20.514,0.96
20.518,0.739
20.521,0.731
20.525,0.814
20.529,0.662
20.532,0.78
20.534,0.859
20.537,0.748
20.54,0.758
20.542,0.665
20.545,0.858
20.547,0.85
20.55,0.886
20.551,1.25
20.553,0.769
20.555,1.01
20.558,0.999
20.56,0.914
20.566,0.964
20.571,0.879
20.576,0.739
20.581,0.919
20.585,0.864
20.589,0.867
20.592,0.924
20.595,0.912
20.599,1.07
20.602,0.655
20.606,0.95
20.607,1.11
20.609,0.297
20.612,0.116
20.616,0.881
20.619,0.78
20.623,0.661
20.626,0.77
20.629,0.73
20.631,0.825
20.634,0.997
20.637,0.771
20.639,0.886
20.642,0.95
20.645,0.883
20.648,0.983
20.65,0.712
20.653,0.78
20.656,0.71
20.658,0.85
20.662,0.781
20.666,0.6
20.67,0.834
20.674,0.884
20.681,0.884
20.685,0.807
20.693,0.83
20.697,0.845
20.7,0.671
20.703,0.666
20.706,0.932
20.712,0.579
20.715,0.858
20.718,0.921
20.72,0.943
20.723,0.67
20.729,0.66
20.732,0.56
20.735,0.65
20.738,0.631
20.741,0.584
20.744,0.544
20.75,0.551
20.753,0.759
20.757,0.813
20.76,0.845
20.763,0.84
20.766,0.927
20.769,0.879
20.769,0.654
20.773,0.701
20.776,0.531
20.779,0.516
20.782,0.562
20.785,0.445
20.789,0.448
20.808,0.762
20.811,0.839
20.817,0.825
20.821,0.663
20.824,0.596
20.827,0.561
20.83,0.658
20.839,0.756
20.843,0.699
20.848,0.758
20.852,0.591
20.857,0.656
20.865,0.69
20.869,0.705
20.872,0.687
20.876,0.779
20.88,0.855
20.883,0.96
20.887,0.772
20.89,0.255
20.897,0.749
20.917,0.733
20.921,0.343
20.924,0.965
20.928,0.456
20.939,0.628
20.949,1.016
20.958,0.197
20.967,0.869
20.97,0.842
20.972,0.817
20.975,0.76
20.978,0.745
20.981,0.787
20.984,0.903
20.987,0.418
20.995,1.061
20.998,1.013
21.001,0.427
21.004,0.871
21.007,0.649
21.009,0.409
21.012,1.004
21.015,0.6
21.018,0.817
21.021,0.944
21.024,0.93
21.03,0.141
21.033,0.897
21.037,0.925
21.04,0.087
21.043,0.866
21.047,1.09
21.05,1.077
21.054,0.925
21.057,0.879
21.061,-0.228
21.064,0.13
21.071,0.928
21.074,0.939
21.077,1.224
21.086,1.133
21.089,1.101
21.092,0.93
21.094,0.967
21.097,0.964
21.1,0.952
21.118,0.773
21.128,1.059
21.144,0.371
21.148,0.406
21.15,0.502
21.153,0.914
21.156,0.936
21.158,0.942
21.161,1.003
21.164,0.965
21.166,0.96
21.169,0.925
21.172,0.975
21.174,0.73
21.177,0.763
21.18,0.699
21.182,0.645
21.185,0.402
21.188,0.619
21.191,0.89
21.194,0.88
21.198,0.876
21.201,0.97
21.205,0.809
21.208,0.927
21.211,0.848
21.215,0.741
21.218,0.754
21.221,0.808
21.225,0.682
21.228,0.761
21.232,0.819
21.236,0.722
21.24,0.835
21.244,0.779
21.248,0.604
21.252,0.758
21.256,0.713
21.259,0.45
21.263,0.665
21.267,0.687
21.27,0.853
21.273,1.042
21.277,1.031
21.28,0.896
21.287,0.737
21.29,0.738
21.294,0.635
21.297,0.65
21.3,0.799
21.304,0.67
21.307,0.872
21.31,0.697
21.314,1.001
21.317,1.127
21.321,1.12
21.324,0.578
21.327,1.243
21.331,1.219
21.334,0.887
21.337,0.926
21.341,0.822
21.344,0.658
21.347,0.753
21.351,0.919
21.354,0.857
21.357,1.029
21.361,0.954
21.363,0.956
21.367,0.95
21.37,1.053
21.374,1.12
21.377,0.968
21.38,0.874
21.383,0.968
21.387,0.95
21.39,0.967
21.393,1.114
21.396,1.157
21.4,1.088
21.403,1.039
21.406,0.94
21.409,0.911
21.413,1.024
21.416,0.933
21.419,0.982
21.423,0.941
21.426,1.066
21.429,0.651
21.432,0.614
21.436,1.148
21.439,1.092
21.439,0.475
21.442,0.62
21.445,0.791
21.449,1.143
21.452,0.893
21.455,0.969
21.458,1.115
21.462,0.387
21.465,0.682
21.468,0.487
21.472,0.605
21.476,0.848
21.48,1.109
21.483,1
21.488,0.901
21.492,0.821
21.496,0.719
21.5,0.726
21.504,0.778
21.507,0.822
21.509,0.835
21.512,0.731
21.514,0.837
21.517,0.848
21.519,0.944
21.522,0.595
21.524,0.983
21.527,0.88
21.529,0.947
21.532,0.78
21.534,0.56
21.537,0.539
21.539,0.525
21.541,0.444
21.544,0.65
21.547,0.748
21.55,0.766
21.553,0.847
21.555,0.913
21.557,0.801
21.561,0.91
21.564,0.818
21.567,0.754
21.569,0.809
21.572,0.707
21.575,0.821
21.578,0.605
21.581,0.504
21.583,0.61
21.586,0.644
21.59,0.509
21.593,0.697
21.595,0.738
21.599,0.572
21.602,0.475
21.605,0.713
21.609,0.667
21.612,0.777
21.614,0.727
21.618,0.439
21.621,0.344
21.625,0.615
21.628,0.638
21.631,0.758
21.634,0.855
21.638,0.547
21.641,0.374
21.644,0.457
21.648,0.815
21.651,0.771
21.654,0.894
21.658,0.868
21.661,0.873
21.664,0.716
21.668,0.921
21.671,1.007
21.674,0.95
21.677,1.06
21.681,1.14
21.684,0.97
21.687,0.873
21.69,0.818
21.694,0.822
21.697,0.836
21.699,0.797
21.705,0.603
21.708,0.569
21.712,0.831
21.716,0.609
21.721,0.82
21.725,0.68
21.729,0.987
21.733,0.956
21.737,0.853
21.741,0.815
21.744,0.907
21.748,0.852
21.748,1.1
21.752,1.11
21.756,1.05
21.776,0.869
21.78,1.194
21.783,1.05
21.787,1.269
21.791,1.282
21.794,1.244
21.797,1.369
21.802,1.285
21.805,1.208
21.809,1.185
21.812,1.099
21.816,1.176
21.82,1.231
21.823,1.197
21.827,1.234
21.831,1.099
21.834,1.162
21.838,1.296
21.842,1.399
21.845,1.294
21.849,1.321
21.851,1.252
21.856,1.258
21.859,1.352
21.863,1.27
21.866,1.148
21.869,1.418
21.873,1.429
21.876,1.423
21.879,1.472
21.883,1.372
21.886,1.277
21.889,1.082
21.893,1.164
21.896,1.248
21.899,1.212
21.901,1.239
21.904,1.188
21.907,1.271
21.909,1.435
21.912,1.41
21.914,1.31
21.919,1.296
21.922,1.243
21.925,1.272
21.928,1.264
21.93,1.239
21.933,1.321
21.936,1.192
21.939,1.223
21.942,1.154
21.946,1.262
21.949,1.209
21.953,1.354
21.957,1.323
21.96,1.296
21.964,1.227
21.968,1.132
21.971,1.086
21.975,0.913
21.978,0.842
21.982,0.878
21.986,0.797
21.99,0.968
21.994,1.045
21.997,0.893
22.002,1.007
22.006,1.167
22.01,1.032
22.013,0.961
22.017,0.952
22.02,0.882
22.023,0.91
22.027,0.953
22.03,0.969
22.033,1.069
22.036,1.064
22.039,1.157
22.042,1.08
22.045,1.221
22.047,1.311
22.051,1.192
22.053,1.093
22.056,1.094
22.059,1.224
22.062,0.975
22.065,1.048
22.068,1.125
22.07,1.231
22.093,1.06
22.096,0.813
22.099,0.919
22.102,1.001
22.106,1.02
22.11,1.05
22.113,0.991
22.118,1.003
22.122,1.28
22.126,1.06
22.13,1.1
22.134,1.16
22.137,1.18
22.141,0.926
22.145,1.07
22.148,1.28
22.152,1.24
22.154,1.38
22.159,1.3
22.162,1.45
22.166,1.43
22.168,1.24
22.173,1.36
22.176,1.34
22.18,1.33
22.183,1.28
22.187,1.208
22.19,1.23
22.194,1.26
22.197,1.37
22.201,1.38
22.204,1.33
22.208,1.27
22.211,1.48
22.215,1.37
22.218,1.38
22.221,1.36
22.225,1.15
22.228,1.21
22.231,1.26
22.234,1.2
22.237,1.28
22.241,1.36
22.248,1.44
22.251,1.39
22.255,1.406
22.258,1.241
22.261,1.353
22.265,1.253
22.268,1.16
22.272,1.145
22.275,1.238
22.278,1.332
22.282,1.259
22.285,1.368
22.288,1.463
22.291,1.455
22.294,1.449
22.298,1.267
22.301,1.211
22.304,1.115
22.307,1.106
22.31,1.286
22.313,1.227
22.316,1.453
22.318,1.352
22.322,1.422
22.328,1.359
22.331,1.338
22.334,1.08
22.337,1.227
22.34,1.05
22.343,1.015
22.346,1.034
22.35,1.19
22.354,1.095
22.358,1.347
22.362,1.278
22.366,1.305
22.37,1.06
22.374,1.038
22.378,0.903
22.382,0.995
22.386,1.016
22.39,0.979
22.394,1.143
22.398,1.163
22.402,1.215
22.406,1.248
22.41,1.375
22.414,1.213
22.418,1.426
22.418,1.222
22.422,1.149
22.426,1.014
22.43,1.039
22.43,1.262
22.433,1.309
22.437,1.423
22.441,1.495
22.445,1.407
22.449,1.33
22.452,1.339
22.456,1.22
22.46,1.255
22.464,1.091
22.468,1.13
22.471,1.094
22.474,1.219
22.477,1.298
22.48,1.146
22.483,1.275
22.485,1.338
22.488,1.257
22.492,1.034
22.494,1.24
22.497,1.142
22.5,1.132
22.503,1.262
22.508,1.06
22.511,1.18
22.515,1.318
22.518,1.461
22.523,1.466
22.528,1.295
22.533,1.397
22.538,1.395
22.543,1.375
22.547,1.397
22.552,1.37
22.556,1.287
22.56,1.23
22.563,1.48
22.567,1.377
22.571,1.525
22.575,1.381
22.577,1.494
22.579,1.329
22.581,1.384
22.583,1.277
22.585,1.096
22.587,1.008
22.589,1.102
22.591,1.094
22.593,0.957
22.597,1.323
22.601,1.246
22.605,1.275
22.611,1.044
22.613,1.286
22.618,1.186
22.621,1.224
22.625,1.068
22.629,1.068
22.633,1.073
22.636,1.28
22.64,1.244
22.645,1.302
22.648,1.266
22.652,1.222
22.656,1.127
22.66,1.119
22.664,1.106
22.668,1.102
22.672,1.135
22.677,1.156
22.681,1.088
22.685,1.094
22.689,1.261
22.693,1.145
22.697,0.865
22.701,0.797
22.705,0.949
22.709,0.835
22.713,1.161
22.717,0.919
22.721,1.348
22.725,1.376
22.729,1.283
22.733,1.204
22.737,1.024
22.741,1.161
22.745,1.14
22.749,1.01
22.788,1.164
22.792,1.131
22.8,1.184
22.804,1.267
22.808,1.309
22.811,1.167
22.815,1.142
22.818,1.159
22.825,0.912
22.829,0.955
22.832,1.133
22.836,1.233
22.84,1.319
22.845,1.294
