Age model opt [ka],Cibicidoides spp. d13C [per mil PDB]
25.053,0.49
25.057,0.63
25.06,0.49
25.063,0.555
25.066,0.586
25.069,0.542
25.072,0.544
25.075,0.54
25.078,0.38
25.081,0.368
25.084,0.292
25.09,0.413
25.094,0.502
25.097,0.568
25.104,0.447
25.107,0.255
25.11,0.44
25.113,0.284
25.117,0.469
25.12,0.502
25.126,0.494
25.134,0.372
25.142,0.43
25.149,0.451
25.154,0.398
25.157,0.477
25.159,0.407
25.162,0.288
25.165,0.413
25.167,0.527
25.173,0.426
25.178,0.565
25.182,0.546
25.187,0.524
25.191,0.484
25.195,0.445
25.199,0.408
25.203,0.249
25.207,0.392
25.211,0.385
25.228,0.414
25.231,0.316
25.235,0.313
25.238,0.343
25.241,0.327
25.244,0.351
25.248,0.375
25.252,0.383
25.256,0.504
25.263,0.656
25.267,0.533
25.274,0.389
25.277,0.412
25.281,0.297
25.284,0.413
25.289,0.203
25.294,0.273
25.298,0.368
25.303,0.423
25.308,0.419
25.32,0.309
25.324,0.286
25.328,0.392
25.332,0.08
25.337,0.445
25.342,0.258
25.348,0.368
25.354,0.384
25.359,0.304
25.363,0.345
25.368,0.408
25.372,0.489
25.376,0.526
25.388,0.472
25.391,0.581
25.395,0.516
25.406,0.307
25.415,0.394
25.425,0.538
25.434,0.517
25.434,0.529
25.444,0.374
25.45,0.572
25.454,0.631
25.457,0.818
25.461,0.605
25.471,0.632
25.474,0.593
25.48,0.844
25.485,0.82
25.496,0.874
25.5,0.604
25.503,0.846
25.506,0.881
25.509,0.907
25.512,0.927
25.515,0.88
25.518,0.882
25.521,0.823
25.527,0.701
25.533,0.789
25.536,0.701
25.539,0.766
25.542,0.794
25.545,0.705
25.548,0.912
25.55,0.842
25.553,0.811
25.556,0.865
25.56,0.813
25.563,0.856
25.567,0.779
25.57,0.771
25.574,0.915
25.577,0.929
25.58,0.876
25.583,0.881
25.586,0.893
25.589,0.877
25.593,0.862
25.597,0.804
25.6,0.737
25.604,0.645
25.607,0.723
25.61,0.848
25.614,0.403
25.618,0.228
25.623,0.714
25.627,0.797
25.632,0.89
25.637,0.915
25.642,0.678
25.646,0.67
25.65,0.552
25.658,0.697
25.663,0.81
25.667,0.842
25.672,0.786
25.676,0.771
25.68,0.754
25.685,0.743
25.689,0.765
25.694,0.644
25.698,0.749
25.703,0.701
25.707,0.732
25.712,0.569
25.716,0.61
25.721,0.627
25.725,0.501
25.729,0.621
25.733,0.661
25.737,0.578
25.741,0.751
25.744,0.829
25.748,0.858
25.752,0.826
25.756,0.639
25.759,0.565
25.763,0.7
25.77,0.631
25.775,1.04
25.779,1.178
25.783,1.076
25.787,0.927
25.79,1.05
25.793,0.602
25.797,0.85
25.8,0.804
25.803,0.74
25.803,0.765
25.807,0.977
25.811,1.048
25.816,1.066
25.821,0.063
25.83,0.539
25.835,0.75
25.839,0.817
25.843,0.629
25.846,0.165
25.849,0.524
25.852,0.98
25.855,0.81
25.858,1.011
25.861,0.218
25.865,-0.163
25.868,0.36
25.871,0.461
25.874,0.463
25.877,0.82
25.88,0.949
25.887,0.858
25.89,-0.016
25.893,0.892
25.896,0.468
25.9,0.568
25.903,0.308
25.906,0.691
25.91,0.422
25.913,0.258
25.916,0.762
25.919,0.768
25.923,0.485
25.926,0.495
25.929,0.072
25.933,0.235
25.936,0.69
25.939,0.045
25.942,-0.236
25.947,0.11
25.952,0.591
25.956,0.545
25.961,-0.036
25.966,-0.335
25.97,0.233
25.974,0.314
25.978,0.834
25.982,0.391
25.986,0.475
25.99,0.403
25.994,0.759
25.998,0.064
26.002,0.35
26.005,0.095
26.009,-0.287
26.013,-0.526
26.017,0.582
26.024,0.97
26.028,0.429
26.031,0.18
26.035,0.189
26.038,0.55
26.042,0.115
26.045,-0.281
26.048,0.556
26.051,0.544
26.053,0.65
26.062,0.549
26.064,0.63
26.067,0.194
26.07,0.307
26.073,-0.198
26.076,0.22
26.078,-0.251
26.081,-0.256
26.088,0.337
26.091,-0.28
26.095,-0.37
26.098,0.12
26.101,0.314
26.105,0.395
26.108,0.444
26.112,0.46
26.115,-0.106
26.119,0.224
26.122,0
26.125,-0.37
26.128,-0.646
26.141,0.643
26.144,0.784
26.147,0.806
26.15,0.504
26.153,-0.164
26.156,0.48
26.159,0.585
26.163,0.19
26.166,0.88
26.172,-0.48
26.177,0.247
26.182,0.47
26.187,-0.249
26.193,
26.198,0.11
26.202,0.34
26.206,0.665
26.21,0.36
26.214,1.012
26.218,0.817
26.222,0.981
26.226,0.73
26.23,0.39
26.234,0.54
26.238,0.619
26.242,0.457
26.253,0.79
26.256,0.84
26.259,0.84
26.263,0.73
26.266,0.81
26.27,0.228
26.273,0.776
26.277,0.441
26.28,0.701
26.284,0.669
26.287,0.627
26.29,-0.284
26.295,0.88
26.299,-0.117
26.303,0.746
26.306,-0.57
26.31,0.529
26.314,-0.39
26.317,-1.047
26.324,-0.807
26.328,0.817
26.335,-0.146
26.349,0.92
26.353,0.781
26.358,-1.047
26.362,0.014
26.366,-0.305
26.37,0.229
26.374,0.847
26.378,0.739
26.382,-0.312
26.386,-0.335
26.39,0.827
26.394,0.56
26.398,-0.59
26.402,0.404
26.406,-0.108
26.41,0.678
26.414,0.333
26.417,0.88
26.421,0.882
26.425,0.694
26.429,0.62
26.437,-0.362
26.441,0.166
26.445,-0.584
26.448,0.348
26.452,0.6
26.456,0.394
26.46,0.76
26.464,0.31
26.468,0.275
26.471,0.16
26.475,
26.479,-0.4
26.482,0.163
26.486,0.57
26.49,0.59
26.494,-0.402
26.498,0.853
26.501,0.855
26.501,0.632
26.505,-0.2
26.513,0.611
26.517,0.398
