rmcd (2),Age (Ma) (manual) (3),d13Cvpdb,d18Ovpdb,
91.58,22.511,1.260,1.260,
91.72,22.524,1.210,1.670,
92.08,22.557,1.570,1.860,
92.22,22.570,1.650,1.490,
92.46,22.592,1.046,1.818,
92.46,22.592,1.548,1.600,
92.56,22.603,1.211,1.792,
92.56,22.603,1.062,1.816,
92.58,22.605,1.310,1.530,
92.61,22.608,1.522,1.486,
92.71,22.619,1.394,1.571,
92.76,22.624,1.179,1.519,
93.21,22.672,1.202,1.582,
93.21,22.672,1.310,1.670,
93.31,22.682,1.312,1.757,
93.46,22.698,1.184,1.787,
93.51,22.703,0.977,1.331,
93.55,22.708,1.497,1.833,
93.56,22.708,1.546,1.773,
93.58,22.711,1.140,1.520,
93.60,22.713,1.337,1.868,
93.65,22.718,1.495,2.012,
93.67,22.720,1.404,1.343,
93.70,22.723,1.405,1.877,
93.72,22.725,1.210,1.890,
93.75,22.728,1.327,1.722,
93.78,22.731,1.350,1.990,
93.80,22.734,1.179,2.154,
93.85,22.739,1.362,1.879,
93.90,22.744,1.119,1.525,
93.95,22.749,1.644,1.878,
93.98,22.752,1.340,1.613,
94.00,22.754,1.414,1.773,
94.05,22.760,1.438,1.747,
94.10,22.765,1.532,1.871,
94.15,22.770,0.910,1.986,
94.18,22.773,1.126,1.751,
94.20,22.775,1.008,1.372,
94.25,22.781,1.048,1.516,
94.30,22.786,0.945,1.467,
94.35,22.791,1.278,1.811,
94.38,22.794,1.110,1.570,
94.40,22.796,1.337,1.417,
94.45,22.801,1.224,1.043,
94.50,22.807,1.273,1.556,
94.55,22.812,0.992,1.711,
94.58,22.815,1.390,1.850,
94.60,22.817,1.383,1.307,
94.61,22.818,1.360,1.910,
94.70,22.828,1.516,1.974,
94.75,22.833,1.632,1.780,
94.76,22.834,1.530,1.830,
94.80,22.838,1.604,1.904,
94.85,22.845,1.187,1.969,
94.90,22.852,1.452,1.804,
94.95,22.858,1.587,1.670,
95.05,22.871,1.320,2.073,
95.10,22.878,1.765,1.958,
95.15,22.885,1.645,1.794,
95.20,22.891,1.551,1.480,
95.25,22.898,1.394,1.784,
95.30,22.905,1.388,1.719,
95.35,22.911,1.445,1.853,
95.38,22.915,1.510,1.790,
95.40,22.918,1.347,1.648,
95.58,22.942,1.410,1.880,
95.65,22.951,1.415,1.847,
95.70,22.958,1.586,1.920,
95.75,22.964,1.475,1.815,
95.75,22.964,1.360,1.650,
95.78,22.968,1.450,1.990,
95.85,22.978,1.494,1.938,
95.90,22.984,1.703,1.862,
95.95,22.991,1.466,2.274,
95.98,22.995,1.400,2.130,
96.00,22.997,1.475,2.147,
96.05,23.004,1.358,1.871,
96.10,23.011,1.320,2.114,
96.15,23.017,0.588,2.327,
96.20,23.024,1.378,2.131,
96.25,23.030,1.297,2.075,
96.30,23.034,1.747,1.172,
96.35,23.038,1.527,2.053,
96.45,23.046,1.489,2.286,
96.48,23.048,1.600,1.960,
96.60,23.058,1.488,1.991,
96.65,23.062,1.570,2.200,
96.67,23.063,1.470,2.180,
96.70,23.066,1.411,1.859,
96.75,23.070,1.562,2.222,
96.80,23.074,1.079,2.036,
96.82,23.075,1.290,2.200,
