rmcd (2),Age (Ma) (manual) (3),d13Cvpdb,d18Ovpdb,
121.62,25.252,0.501,1.463,
121.67,25.256,0.554,1.486,
121.72,25.259,0.421,1.355,
121.77,25.263,0.415,1.343,
121.82,25.266,0.661,1.494,
121.87,25.270,0.617,1.408,
121.92,25.273,0.206,1.202,
121.97,25.277,0.559,1.333,
122.02,25.281,0.389,1.318,
122.07,25.284,0.098,0.873,
122.09,25.286,0.290,1.590,
122.12,25.288,0.500,1.517,
122.17,25.291,0.604,1.508,
122.22,25.295,0.582,1.484,
122.27,25.299,0.518,1.302,
122.32,25.302,0.483,1.326,
122.37,25.306,0.696,1.653,
122.42,25.309,0.285,1.425,
122.47,25.313,0.167,1.270,
122.52,25.317,0.541,1.384,
122.57,25.320,0.640,1.526,
122.62,25.324,0.697,1.465,
122.67,25.327,0.213,1.482,
122.69,25.329,0.600,1.750,
122.72,25.331,0.347,1.525,
122.77,25.334,0.569,1.404,
122.82,25.338,0.300,1.283,
122.87,25.342,0.628,1.483,
122.92,25.345,0.481,1.292,
122.97,25.349,0.298,1.259,
123.02,25.352,0.320,1.303,
123.07,25.356,0.291,1.261,
123.12,25.360,0.349,1.348,
123.17,25.363,0.509,1.544,
123.22,25.367,0.519,1.544,
123.27,25.370,0.382,1.367,
123.32,25.374,0.409,1.257,
123.37,25.378,0.544,1.352,
123.42,25.381,0.595,1.413,
123.47,25.385,0.584,1.471,
123.52,25.388,0.038,1.427,
123.57,25.392,0.802,1.540,
123.62,25.396,0.415,1.441,
123.63,25.397,0.450,1.540,
123.67,25.401,0.525,1.417,
123.72,25.405,0.777,1.518,
123.77,25.409,0.543,1.552,
123.82,25.413,0.544,1.294,
123.87,25.417,0.314,1.296,
123.92,25.421,0.795,1.482,
123.97,25.425,0.738,1.550,
124.02,25.429,0.685,1.565,
124.07,25.433,0.596,1.345,
124.12,25.437,0.529,1.608,
124.17,25.441,0.376,1.274,
124.19,25.443,0.662,1.499,
124.22,25.446,0.783,1.678,
124.27,25.450,0.687,1.908,
124.32,25.454,0.636,1.581,
124.37,25.458,0.919,1.724,
124.42,25.462,0.685,1.695,
124.47,25.466,0.983,1.531,
124.52,25.470,0.675,1.982,
124.57,25.474,0.728,1.535,
124.62,25.478,0.722,1.446,
124.62,25.478,0.803,1.685,
124.67,25.482,0.912,1.770,
124.67,25.482,0.682,1.893,
124.72,25.486,0.792,1.688,
124.72,25.486,0.912,1.714,
124.77,25.490,0.835,1.622,
124.77,25.490,0.692,1.647,
124.79,25.492,0.690,1.680,
124.83,25.495,0.789,1.710,
124.83,25.495,0.790,1.731,
124.89,25.500,0.895,1.844,
124.94,25.504,0.988,1.673,
124.99,25.508,0.380,1.724,
125.04,25.513,0.656,1.632,
125.09,25.517,0.908,1.734,
125.14,25.521,1.014,1.710,
125.19,25.525,0.982,1.540,
125.24,25.529,0.948,1.511,
125.29,25.533,0.914,1.696,
125.29,25.533,0.760,1.630,
125.34,25.537,0.983,1.865,
125.39,25.541,0.815,1.473,
125.44,25.545,0.963,1.786,
125.49,25.549,0.928,1.781,
125.54,25.553,0.578,1.763,
125.59,25.558,0.835,1.440,
125.64,25.562,0.563,1.603,
125.69,25.566,0.555,1.436,
125.74,25.570,0.623,1.487,
125.80,25.575,0.450,1.362,
125.84,25.578,0.659,1.493,
125.89,25.582,0.797,1.730,
125.99,25.590,0.848,1.661,
126.44,25.627,0.850,1.459,
126.49,25.631,0.554,1.552,
126.54,25.635,0.568,1.365,
126.59,25.639,0.495,1.436,
126.64,25.643,0.459,1.359,
126.69,25.647,0.425,1.403,
126.74,25.652,0.471,1.239,
126.79,25.656,0.870,1.840,
126.84,25.660,0.957,1.405,
126.89,25.663,0.188,1.428,
126.94,25.666,0.749,1.944,
126.99,25.669,0.645,1.811,
127.04,25.672,0.534,1.207,
127.09,25.675,0.397,1.581,
127.14,25.678,0.713,1.690,
127.19,25.681,0.324,1.589,
127.24,25.684,0.703,1.578,
127.28,25.687,0.382,1.261,
127.29,25.687,0.340,1.750,
127.34,25.690,0.741,1.783,
127.39,25.693,0.543,1.545,
127.44,25.697,0.524,1.326,
127.49,25.700,0.583,1.309,
127.54,25.703,0.617,1.300,
127.59,25.706,0.703,1.456,
127.64,25.709,0.452,1.527,
127.69,25.712,0.508,1.396,
127.74,25.715,0.417,1.282,
127.79,25.718,0.450,1.610,
127.81,25.719,-0.150,1.460,
127.84,25.721,0.319,1.813,
127.89,25.724,0.522,1.686,
127.94,25.727,0.749,1.622,
127.99,25.730,0.998,1.625,
128.04,25.733,0.697,1.642,
128.09,25.736,0.614,1.524,
128.14,25.739,0.983,1.367,
128.19,25.742,0.586,1.593,
128.24,25.745,0.377,1.459,
128.29,25.748,0.800,1.590,
128.31,25.750,0.694,1.807,
128.34,25.751,1.001,1.636,
128.39,25.755,0.375,1.461,
128.44,25.758,1.163,1.806,
128.49,25.761,0.369,1.348,
128.54,25.764,0.731,1.727,
128.59,25.767,0.489,1.554,
128.64,25.770,0.856,1.664,
128.69,25.773,0.777,1.566,
128.72,25.775,0.886,1.585,
128.72,25.775,0.886,1.585,
128.74,25.776,0.935,1.665,
128.79,25.780,0.549,1.505,
128.84,25.784,0.912,1.646,
128.89,25.788,0.596,1.650,
128.94,25.793,0.367,1.709,
128.99,25.797,0.444,1.641,
129.04,25.801,1.060,1.827,
129.09,25.806,0.817,1.725,
129.14,25.810,0.808,1.554,
129.19,25.814,0.775,1.868,
129.24,25.818,0.836,1.589,
129.29,25.823,0.789,1.684,
129.34,25.827,0.434,1.286,
129.39,25.831,0.545,1.469,
129.44,25.835,0.878,1.669,
129.47,25.838,0.820,1.830,
129.49,25.840,0.908,1.747,
129.54,25.844,0.341,1.700,
129.59,25.848,1.084,1.829,
129.64,25.853,0.878,1.926,
129.69,25.857,1.010,1.686,
129.74,25.861,1.101,1.749,
129.79,25.866,0.985,1.602,
129.84,25.870,0.823,1.671,
129.89,25.875,0.615,1.443,
129.94,25.879,0.734,1.612,
129.97,25.882,0.600,1.820,
129.98,25.883,0.640,1.680,
129.99,25.884,0.736,1.862,
130.04,25.888,0.938,1.889,
130.09,25.893,0.628,1.833,
130.14,25.898,0.898,1.706,
130.19,25.902,0.737,1.686,
130.21,25.904,0.977,1.518,
130.24,25.907,0.791,1.512,
130.29,25.911,0.740,1.791,
130.34,25.916,1.013,1.991,
130.39,25.921,1.070,1.734,
130.44,25.925,0.792,1.830,
130.47,25.928,0.713,2.336,
130.49,25.930,1.077,1.877,
130.54,25.934,1.141,1.712,
130.59,25.938,0.877,1.627,
130.64,25.942,0.669,1.955,
130.69,25.946,0.619,1.552,
130.72,25.948,0.890,1.695,
130.74,25.950,0.859,1.989,
130.79,25.954,0.558,1.665,
130.84,25.957,0.550,1.765,
130.89,25.961,1.019,1.975,
130.94,25.965,0.618,1.851,
130.97,25.967,0.595,2.054,
130.99,25.969,0.998,1.884,
131.04,25.973,1.069,1.770,
131.09,25.976,0.860,1.597,
131.14,25.979,0.426,1.335,
131.19,25.982,0.587,1.339,
131.22,25.984,0.775,1.770,
131.24,25.986,0.762,1.397,
131.29,25.989,0.309,1.523,
131.34,25.992,0.463,1.710,
131.39,25.995,0.307,1.628,
131.44,25.998,0.832,1.398,
131.47,26.000,0.765,1.434,
131.49,26.001,0.738,1.409,
131.54,26.005,0.603,1.566,
131.59,26.008,0.384,1.371,
131.64,26.011,0.507,1.355,
131.69,26.014,0.811,1.609,
131.72,26.016,0.671,1.843,
131.74,26.017,0.763,1.940,
131.79,26.020,0.667,1.273,
131.82,26.022,0.504,1.673,
131.84,26.023,0.721,1.349,
131.91,26.028,0.761,1.606,
131.91,26.028,0.516,1.613,
131.96,26.031,0.525,1.626,
131.96,26.031,0.733,1.741,
131.97,26.032,0.660,1.940,
132.01,26.034,0.705,1.565,
132.01,26.034,0.549,1.670,
132.06,26.037,0.409,1.362,
132.11,26.040,0.241,1.560,
132.11,26.040,0.512,1.784,
132.16,26.044,0.490,1.545,
132.16,26.044,0.673,1.588,
132.21,26.047,0.533,1.722,
132.21,26.047,0.567,1.490,
132.26,26.050,0.614,1.506,
132.26,26.050,0.519,1.691,
132.31,26.053,0.710,1.581,
132.31,26.053,0.455,1.368,
132.36,26.056,0.528,1.529,
132.41,26.059,0.570,1.681,
132.46,26.063,0.473,1.488,
132.51,26.066,0.269,1.297,
132.53,26.067,0.280,1.600,
132.56,26.069,0.468,1.437,
132.61,26.072,0.396,1.565,
132.66,26.075,0.118,1.425,
132.71,26.078,-0.034,1.436,
132.76,26.081,0.555,1.366,
132.81,26.085,0.618,1.343,
132.86,26.088,0.608,1.351,
132.91,26.093,0.672,1.354,
132.96,26.097,0.612,1.314,
133.01,26.102,0.166,1.409,
133.03,26.104,0.400,1.660,
133.06,26.107,0.232,1.483,
133.11,26.112,0.113,1.400,
133.16,26.116,0.286,1.630,
133.21,26.121,0.027,1.652,
133.26,26.126,0.370,1.797,
133.31,26.131,0.913,1.557,
133.41,26.137,0.524,1.572,
133.46,26.141,0.803,1.638,
133.51,26.144,0.934,1.714,
133.53,26.146,0.860,1.910,
133.56,26.148,0.617,1.555,
133.61,26.151,0.735,1.815,
133.66,26.155,0.690,1.730,
133.71,26.158,0.701,1.885,
133.76,26.161,0.462,1.470,
133.81,26.165,0.666,1.825,
133.86,26.168,0.590,1.654,
133.91,26.172,0.628,1.560,
133.96,26.175,0.689,1.516,
134.01,26.178,0.784,1.695,
134.03,26.179,0.700,1.697,
134.06,26.181,0.488,1.454,
134.11,26.184,0.794,1.588,
134.16,26.187,0.518,1.383,
134.21,26.189,0.488,1.594,
134.26,26.192,0.840,1.727,
134.31,26.195,0.481,1.446,
134.36,26.198,0.543,1.877,
134.41,26.201,0.575,1.858,
134.46,26.204,0.502,1.630,
134.51,26.207,0.824,1.465,
134.53,26.208,0.904,2.143,
134.56,26.210,0.722,1.493,
134.61,26.212,0.813,1.681,
134.66,26.215,0.727,1.543,
134.71,26.218,0.972,1.781,
134.76,26.221,0.686,1.776,
134.81,26.224,0.883,1.791,
134.86,26.227,0.988,1.575,
134.91,26.230,0.715,1.159,
134.96,26.233,0.966,1.450,
135.01,26.235,0.877,1.678,
135.03,26.237,0.780,1.700,
135.06,26.238,0.860,1.622,
135.11,26.241,0.777,1.660,
135.16,26.244,0.840,1.667,
135.21,26.247,0.554,1.735,
135.26,26.250,0.650,1.452,
135.31,26.253,0.663,1.833,
135.36,26.255,1.046,1.971,
135.41,26.258,0.485,1.746,
135.46,26.261,0.930,1.617,
135.51,26.264,0.770,1.801,
135.56,26.267,0.656,1.813,
135.61,26.270,0.547,1.730,
135.66,26.273,0.670,1.940,
135.68,26.274,0.616,1.938,
135.71,26.276,0.388,1.635,
135.76,26.279,0.806,1.950,
135.81,26.283,1.021,1.753,
135.91,26.289,0.744,1.949,
135.96,26.293,1.085,1.820,
136.01,26.296,0.619,2.004,
136.06,26.300,1.196,1.535,
136.11,26.303,0.753,1.581,
136.16,26.306,0.752,1.469,
136.16,26.306,0.660,1.930,
136.21,26.310,0.553,2.110,
136.26,26.313,0.435,1.735,
136.31,26.316,0.776,1.664,
136.36,26.320,0.404,1.825,
136.41,26.323,0.749,1.788,
136.46,26.326,0.366,1.605,
136.51,26.330,0.699,1.663,
136.56,26.333,1.119,1.625,
136.61,26.337,0.586,2.019,
136.68,26.341,0.586,1.976,
136.71,26.343,0.545,1.862,
136.76,26.347,0.555,1.919,
136.81,26.350,0.295,1.712,
136.86,26.354,0.473,1.916,
136.91,26.357,0.834,1.853,
136.96,26.360,0.685,1.718,
137.01,26.364,0.719,1.463,
137.06,26.367,0.958,1.765,
137.11,26.372,0.364,1.270,
137.16,26.376,0.695,1.865,
137.16,26.376,0.170,1.990,
137.21,26.381,0.620,1.535,
137.26,26.385,0.777,1.917,
137.31,26.390,0.518,1.730,
137.36,26.394,0.354,1.198,
137.41,26.399,0.467,1.516,
137.46,26.403,0.754,1.338,
137.51,26.408,0.960,1.423,
137.56,26.411,0.717,1.330,
137.61,26.415,0.293,1.593,
137.66,26.418,0.350,2.040,
137.68,26.419,-0.003,1.487,
137.71,26.421,0.436,1.615,
137.76,26.425,0.655,1.579,
137.81,26.428,0.273,1.383,
137.81,26.428,0.452,1.250,
137.86,26.431,0.875,1.915,
137.91,26.434,0.351,1.885,
137.91,26.434,0.499,1.951,
137.96,26.438,0.923,2.208,
138.00,26.440,0.718,1.957,
138.06,26.444,0.560,1.694,
138.09,26.446,0.820,1.952,
138.09,26.446,0.729,2.014,
138.11,26.448,1.143,2.093,
138.16,26.451,0.650,1.780,
138.18,26.452,0.801,1.899,
138.18,26.452,0.630,1.863,
138.26,26.458,0.922,1.942,
138.28,26.459,0.868,2.056,
138.28,26.459,0.550,2.151,
138.31,26.461,0.571,1.629,
138.36,26.464,0.908,1.866,
138.37,26.465,0.481,1.873,
138.37,26.465,0.758,1.751,
138.46,26.471,0.460,2.031,
138.55,26.477,0.609,2.280,
138.61,26.481,0.800,1.670,
138.65,26.483,0.630,2.015,
138.71,26.487,0.378,1.618,
138.74,26.489,0.305,1.795,
138.76,26.490,0.646,1.628,
138.83,26.495,0.801,1.850,
138.83,26.495,0.643,1.976,
138.86,26.497,0.543,1.303,
138.91,26.500,0.213,1.246,
138.92,26.501,0.663,2.115,
138.96,26.504,0.228,1.374,
139.01,26.507,0.479,1.624,
139.01,26.507,0.461,2.061,
139.06,26.510,0.213,1.965,
139.11,26.515,0.540,2.256,
139.11,26.515,0.196,2.205,
139.11,26.515,0.445,1.948,
139.18,26.521,0.971,2.095,
139.20,26.523,0.701,2.239,
139.20,26.523,0.861,2.194,
139.21,26.524,0.722,1.833,
139.29,26.531,0.931,2.327,
139.29,26.531,0.636,2.151,
139.31,26.533,0.941,2.000,
139.36,26.538,0.808,1.844,
139.38,26.540,0.420,2.054,
139.41,26.542,0.787,1.781,
139.46,26.547,0.752,1.564,
139.47,26.548,0.852,1.985,
139.47,26.548,0.834,1.891,
139.51,26.552,0.607,1.578,
139.51,26.552,0.711,1.665,
139.56,26.556,0.775,1.754,
139.57,26.557,0.797,2.013,
139.57,26.557,0.579,2.215,
139.62,26.561,0.742,1.549,
139.67,26.566,0.680,1.721,
139.67,26.566,0.580,1.775,
139.67,26.566,0.891,2.380,
139.67,26.566,0.589,1.916,
139.72,26.571,0.570,1.750,
139.72,26.571,0.832,1.565,
139.72,26.571,0.760,1.848,
139.77,26.576,0.712,1.874,
139.77,26.576,0.623,2.150,
139.77,26.576,0.580,1.673,
139.83,26.581,0.490,1.443,
139.87,26.585,0.916,1.731,
139.88,26.586,0.545,1.517,
139.93,26.590,0.736,1.631,
139.93,26.590,0.615,1.599,
139.97,26.594,0.641,1.996,
139.97,26.594,0.541,2.126,
139.97,26.594,0.622,1.861,
139.98,26.595,0.768,1.545,
139.98,26.595,0.708,1.743,
140.04,26.600,0.538,1.495,
140.04,26.600,0.619,1.772,
140.07,26.603,0.427,1.769,
140.07,26.603,0.770,1.825,
140.09,26.605,1.011,1.576,
140.09,26.605,0.381,1.909,
140.14,26.610,0.979,1.630,
140.20,26.615,0.940,1.715,
140.20,26.615,0.899,1.836,
140.25,26.619,0.896,1.542,
140.27,26.622,0.634,1.552,
140.27,26.622,0.590,1.420,
140.30,26.624,0.802,1.470,
140.35,26.629,0.607,1.499,
140.35,26.629,0.620,1.251,
140.37,26.630,0.694,1.798,
140.55,26.645,1.162,2.079,
140.55,26.645,1.162,2.079,
140.57,26.647,0.874,1.710,
140.57,26.647,0.835,1.935,
140.67,26.655,0.825,1.874,
140.67,26.655,1.064,2.084,
140.77,26.664,0.876,2.004,
140.77,26.664,0.650,2.047,
140.77,26.664,0.649,1.906,
140.87,26.672,0.588,1.797,
140.97,26.681,0.826,2.028,
141.07,26.689,0.714,2.329,
141.17,26.697,0.777,1.958,
141.27,26.705,0.909,1.993,
141.37,26.713,1.080,2.163,
141.37,26.713,0.908,2.053,
141.47,26.721,1.076,2.165,
141.55,26.727,0.815,2.082,
141.57,26.729,0.812,2.130,
141.57,26.729,0.746,2.248,
141.67,26.737,0.906,2.134,
141.77,26.745,0.998,2.041,
141.87,26.753,0.620,2.190,
141.97,26.761,0.576,2.460,
142.05,26.768,1.072,2.034,
142.07,26.769,0.731,2.328,
142.17,26.777,0.878,2.107,
142.27,26.785,1.072,1.992,
142.37,26.793,0.664,2.151,
142.47,26.801,0.655,1.950,
142.47,26.801,0.434,2.090,
142.57,26.809,0.899,2.055,
142.57,26.809,0.997,2.272,
142.67,26.815,0.806,2.099,
142.77,26.821,0.800,1.970,
142.77,26.821,0.718,2.011,
142.87,26.827,0.508,1.845,
142.87,26.827,0.505,2.111,
142.97,26.833,0.794,1.903,
142.97,26.833,0.794,2.011,
143.05,26.838,0.800,1.560,
143.07,26.839,0.880,1.854,
143.17,26.845,0.678,1.597,
143.17,26.845,0.717,1.828,
143.27,26.850,0.703,2.303,
143.37,26.856,0.947,2.150,
143.55,26.869,0.388,1.674,
143.57,26.871,0.668,1.842,
143.67,26.878,0.640,1.877,
143.67,26.878,0.544,1.948,
143.77,26.885,0.795,2.043,
143.77,26.885,0.953,2.198,
143.87,26.893,1.018,2.252,
143.97,26.900,1.020,2.226,
143.97,26.900,0.836,2.362,
144.07,26.907,0.849,2.270,
144.17,26.914,1.002,2.144,
144.27,26.921,0.816,2.139,
144.37,26.927,0.878,1.588,
144.47,26.934,0.743,1.881,
144.55,26.939,0.460,1.880,
144.57,26.941,0.550,1.621,
144.57,26.941,0.613,1.826,
144.67,26.947,0.597,1.720,
144.77,26.954,0.769,1.814,
144.87,26.961,0.893,1.874,
144.97,26.969,0.815,1.809,
145.07,26.976,0.983,1.709,
145.17,26.983,0.983,1.847,
145.27,26.990,0.941,1.697,
145.37,26.998,0.280,1.405,
145.47,27.005,0.959,1.619,
145.55,27.011,0.511,1.945,
145.57,27.012,0.716,1.807,
145.60,27.015,0.350,1.660,
145.67,27.020,0.764,1.944,
145.69,27.021,0.525,1.828,
145.69,27.021,0.799,1.904,
145.77,27.027,0.871,2.070,
145.81,27.030,0.583,2.075,
145.81,27.030,0.643,2.098,
145.87,27.034,0.847,2.117,
145.93,27.039,0.858,1.705,
145.97,27.041,0.678,2.284,
146.05,27.047,0.491,2.050,
146.05,27.047,0.666,2.280,
146.05,27.047,0.666,2.280,
146.05,27.047,0.666,2.280,
146.05,27.047,0.666,2.280,
146.05,27.047,0.666,2.280,
146.07,27.049,0.870,2.032,
146.17,27.056,0.887,2.169,
146.17,27.056,0.810,2.041,
146.20,27.058,0.550,1.980,
146.27,27.063,0.644,1.994,
146.27,27.063,0.732,1.983,
146.37,27.071,0.577,1.861,
146.47,27.078,0.587,1.756,
146.57,27.085,0.629,1.713,
146.67,27.093,0.596,2.012,
146.70,27.095,0.593,2.108,
146.77,27.100,0.772,1.961,
146.87,27.105,0.449,2.071,
146.97,27.110,0.670,2.033,
147.07,27.115,0.821,1.901,
147.20,27.122,0.510,2.000,
147.27,27.126,0.967,2.277,
147.47,27.136,1.095,2.044,
147.57,27.144,0.796,1.967,
147.67,27.152,0.468,1.715,
147.77,27.160,0.580,2.163,
147.87,27.167,0.493,2.006,
147.97,27.175,0.644,1.829,
148.07,27.183,0.930,1.682,
148.17,27.191,0.530,1.630,
148.20,27.193,0.537,1.901,
148.23,27.195,0.421,1.905,
148.27,27.198,0.450,2.087,
148.27,27.198,0.541,2.062,
148.37,27.206,0.523,1.956,
148.42,27.210,0.614,1.910,
148.47,27.214,0.843,1.865,
148.57,27.220,0.658,2.077,
148.67,27.225,0.752,1.765,
148.70,27.227,0.610,1.680,
148.77,27.231,0.258,1.771,
148.97,27.242,0.010,1.686,
149.07,27.249,0.339,1.853,
149.17,27.255,0.456,1.382,
149.20,27.257,0.594,1.463,
149.27,27.262,0.392,1.475,
149.37,27.269,0.574,1.513,
149.47,27.276,0.685,2.044,
149.57,27.282,0.649,1.984,
149.67,27.289,0.579,1.421,
149.70,27.291,0.417,1.306,
149.77,27.296,0.613,1.920,
149.87,27.302,0.566,1.929,
149.87,27.302,0.546,1.789,
149.97,27.309,0.374,2.023,
150.02,27.312,0.380,1.440,
150.07,27.316,0.320,1.987,
150.17,27.323,0.404,2.098,
150.28,27.330,0.434,1.993,
150.39,27.337,0.447,1.779,
150.49,27.344,0.431,1.686,
150.60,27.351,0.348,1.579,
150.81,27.366,0.448,2.044,
150.92,27.373,0.232,1.515,
151.02,27.380,0.334,1.733,
151.10,27.385,0.370,1.350,
151.13,27.387,0.217,1.365,
151.23,27.394,0.260,1.823,
151.34,27.402,0.575,2.160,
151.45,27.412,0.804,1.876,
151.55,27.421,0.978,1.790,
151.60,27.425,0.510,1.730,
151.66,27.430,0.711,1.905,
151.76,27.439,0.530,1.844,
151.80,27.442,0.510,1.830,
151.87,27.448,0.655,1.851,
151.87,27.448,0.505,1.751,
151.98,27.458,0.746,1.831,
152.08,27.462,0.683,1.900,
152.08,27.462,0.548,2.061,
152.10,27.463,0.670,1.700,
152.19,27.468,0.428,1.354,
152.29,27.473,0.588,1.621,
152.33,27.474,0.708,1.595,
152.40,27.478,0.737,1.807,
152.51,27.483,0.598,1.475,
152.60,27.487,0.603,1.521,
152.61,27.488,0.467,1.340,
152.61,27.488,0.602,1.346,
152.72,27.493,0.598,1.728,
152.83,27.498,0.921,2.041,
152.83,27.498,0.640,2.136,
152.93,27.503,0.796,1.919,
152.93,27.503,0.733,1.929,
153.04,27.508,0.867,1.913,
153.04,27.508,0.753,1.691,
153.10,27.511,0.680,1.610,
153.14,27.513,0.778,2.187,
153.14,27.513,0.754,1.900,
153.14,27.513,0.804,1.910,
153.25,27.519,0.443,2.044,
153.36,27.527,0.587,1.766,
153.36,27.527,0.635,1.785,
153.36,27.527,0.543,1.747,
153.39,27.529,0.680,1.470,
153.46,27.534,0.658,1.765,
153.46,27.534,0.705,2.079,
153.57,27.543,0.763,1.991,
153.57,27.543,0.737,1.620,
153.60,27.545,0.630,1.470,
153.66,27.549,0.785,1.868,
153.66,27.549,0.900,1.830,
153.69,27.552,0.671,1.840,
153.69,27.552,0.550,1.551,
153.75,27.556,0.637,1.402,
153.75,27.556,0.761,2.152,
153.78,27.558,0.631,1.921,
153.84,27.563,0.617,2.046,
153.84,27.563,0.628,2.215,
153.87,27.565,0.770,2.010,
153.89,27.566,0.788,2.106,
153.92,27.569,0.600,2.013,
153.93,27.569,0.807,1.737,
153.93,27.569,0.829,1.739,
153.93,27.569,0.837,2.147,
153.98,27.573,0.738,1.649,
154.02,27.576,0.468,1.543,
154.02,27.576,0.440,1.882,
154.08,27.581,0.423,1.728,
154.08,27.581,0.558,2.138,
154.11,27.583,0.401,1.538,
154.11,27.583,0.733,1.937,
154.11,27.583,0.637,1.967,
154.17,27.587,0.557,1.959,
154.20,27.590,0.530,1.816,
154.20,27.590,0.317,1.746,
154.26,27.594,0.392,1.618,
154.31,27.598,0.210,1.770,
154.36,27.601,0.292,1.805,
154.36,27.601,0.405,2.014,
154.45,27.606,0.490,1.730,
154.46,27.606,0.455,2.097,
154.55,27.612,0.658,1.882,
154.66,27.618,0.644,2.069,
154.76,27.624,0.510,1.810,
154.76,27.624,0.657,1.651,
154.89,27.631,0.464,1.583,
154.98,27.636,0.298,1.886,
155.09,27.645,0.558,2.187,
155.09,27.645,0.276,2.233,
155.20,27.654,0.477,1.961,
155.20,27.654,0.505,1.936,
155.32,27.664,0.521,1.728,
155.42,27.673,0.430,1.710,
155.42,27.673,0.609,1.724,
155.54,27.683,0.483,1.748,
155.64,27.691,0.480,1.923,
155.76,27.701,0.421,2.291,
155.86,27.709,0.276,1.993,
155.86,27.709,0.411,2.312,
155.95,27.717,0.439,1.919,
155.97,27.718,0.261,2.300,
156.07,27.726,0.317,1.662,
156.07,27.726,0.581,2.331,
156.17,27.735,0.139,1.393,
156.17,27.735,0.041,1.086,
156.18,27.736,0.457,1.775,
156.27,27.743,0.252,1.256,
156.29,27.745,0.466,1.849,
156.37,27.751,0.449,1.483,
156.40,27.754,0.027,1.594,
156.47,27.760,0.114,1.565,
156.51,27.763,0.292,1.577,
156.57,27.768,0.176,1.535,
156.67,27.776,0.184,1.682,
156.77,27.785,0.396,1.482,
156.77,27.785,0.823,1.717,
156.87,27.793,0.518,1.386,
156.87,27.793,0.656,1.657,
156.92,27.797,0.546,2.035,
156.97,27.801,0.363,1.396,
157.07,27.807,0.574,2.114,
157.07,27.807,0.485,2.186,
157.17,27.814,0.699,1.842,
157.27,27.820,0.556,2.033,
157.27,27.820,0.714,1.821,
157.37,27.826,0.592,2.057,
157.40,27.828,0.640,1.810,
157.47,27.833,0.353,1.581,
157.87,27.858,0.991,1.784,
157.87,27.858,0.680,2.000,
157.92,27.861,0.670,1.830,
157.97,27.864,0.277,2.223,
158.07,27.873,0.586,1.948,
158.17,27.881,0.593,2.180,
158.27,27.890,0.552,1.999,
158.27,27.890,0.454,1.831,
158.37,27.898,0.799,2.119,
158.42,27.902,0.717,2.017,
158.47,27.907,0.890,2.264,
158.47,27.907,0.560,2.008,
158.57,27.915,0.729,2.162,
158.67,27.924,0.793,2.253,
158.77,27.932,0.891,1.850,
158.77,27.932,0.570,1.850,
158.87,27.941,0.763,1.783,
158.97,27.949,0.674,1.868,
159.07,27.958,0.278,1.489,
159.17,27.964,0.258,1.790,
159.27,27.970,0.436,1.598,
159.37,27.976,0.399,1.614,
159.40,27.977,0.294,1.728,
159.42,27.979,0.802,1.814,
159.47,27.982,0.622,1.768,
159.57,27.987,0.481,1.780,
159.67,27.993,0.427,1.820,
159.77,27.999,0.357,1.785,
159.87,28.005,0.165,1.774,
159.92,28.008,0.368,2.194,
159.97,28.011,0.134,1.750,
160.17,28.023,0.825,1.905,
160.27,28.028,0.266,1.605,
160.42,28.037,0.110,1.650,
160.47,28.040,0.053,1.679,
160.47,28.040,0.010,1.578,
160.57,28.046,0.267,2.012,
160.57,28.046,0.008,2.044,
160.67,28.052,0.466,1.852,
160.77,28.057,0.549,1.455,
160.87,28.063,0.148,1.503,
160.91,28.065,0.180,1.470,
160.92,28.066,0.442,1.685,
160.97,28.069,0.405,1.355,
161.17,28.080,0.136,1.475,
161.37,28.092,0.136,1.842,
161.42,28.095,0.270,1.820,
161.47,28.098,0.302,1.772,
161.57,28.103,0.429,1.442,
161.57,28.103,0.259,1.578,
161.67,28.109,0.368,1.324,
161.67,28.109,0.220,1.298,
161.77,28.115,0.338,2.069,
161.87,28.121,0.072,1.731,
161.92,28.124,0.210,1.660,
161.97,28.126,-0.008,1.543,
162.07,28.134,0.143,1.456,
162.17,28.141,0.316,1.462,
162.27,28.148,0.573,2.008,
162.37,28.156,0.565,1.861,
162.37,28.156,0.401,1.627,
162.42,28.159,0.330,1.650,
162.47,28.163,0.367,1.815,
162.57,28.170,0.426,1.495,
162.67,28.178,0.335,1.145,
162.77,28.185,0.154,1.430,
162.77,28.185,0.301,1.463,
162.87,28.192,0.427,2.057,
162.92,28.196,0.340,1.647,
162.97,28.200,0.070,1.792,
163.07,28.207,0.182,1.500,
163.07,28.207,0.338,1.233,
163.09,28.208,0.783,1.667,
163.19,28.215,0.376,1.819,
163.27,28.221,0.378,1.769,
163.27,28.221,0.078,1.758,
163.29,28.222,0.499,1.770,
163.36,28.227,0.331,1.896,
163.39,28.229,0.380,1.430,
163.41,28.231,0.750,1.970,
163.49,28.236,0.424,1.461,
163.54,28.240,0.636,1.982,
163.58,28.243,0.384,1.421,
163.63,28.246,0.451,1.881,
163.67,28.249,0.490,1.963,
163.77,28.256,0.461,2.147,
163.82,28.260,0.650,1.690,
163.86,28.263,0.963,2.045,
163.95,28.269,0.565,2.035,
164.04,28.275,0.544,1.918,
164.14,28.282,0.445,1.838,
164.23,28.289,0.470,2.030,
164.32,28.295,0.375,2.050,
