Ma,U1146 bent d13C [per mil PDB] (Cibicidoides wuellerstorfi + ..,U1146 bent d18O [per mil PDB] (Cibicidoides wuellerstorfi + ..
6.685282104,-0.46,2.65
6.687044645,-0.63,2.57
6.688807187,-0.51,2.67
6.690569729,-0.27,2.5
6.692332271,-0.23,2.45
6.694094813,-0.16,2.51
6.695857354,-0.19,2.43
6.697619896,-0.16,2.33
6.699382438,-0.4,2.34
6.70114498,-0.35,2.29
6.702907522,-0.13,2.55
6.704670064,-0.23,2.48
6.706432605,-0.17,2.52
6.708195147,-0.15,2.45
6.709957689,-0.042,2.56
6.711720231,-0.12,2.43
6.713482773,-0.24,2.35
6.715245315,0.025,2.54
6.717007856,-0.042,2.41
6.718770398,-0.062,2.44
6.72053294,-0.094,2.41
6.722295482,-0.057,2.45
6.724058024,-0.076,2.47
6.725820565,-0.043,2.4
6.727583107,-0.076,2.44
6.729345649,-0.17,2.51
6.731108191,-0.25,2.45
6.732870733,-0.33,2.35
6.734633275,-0.21,2.57
6.736395816,-0.12,2.51
6.738158358,-0.15,2.4
6.7399209,-0.05,2.45
6.741683442,-0.19,2.61
6.743445984,-0.061,2.4
6.745208525,-0.13,2.49
6.746971067,-0.34,2.32
6.748733609,-0.1,2.24
6.750496151,-0.22,2.42
6.752258693,-0.093,2.31
6.754021235,0.045,2.45
6.755783776,-0.046,2.44
6.757546318,-0.2,2.38
6.75930886,-0.051,2.6
6.761071402,-0.26,2.56
6.762833944,-0.17,2.44
6.764596485,-0.57,2.34
6.766359027,-0.34,2.32
6.768121569,-0.26,2.37
6.769884111,-0.68,2.33
6.771646653,-0.35,2.27
6.773409195,-0.51,2.3
6.775171736,-0.59,2.37
6.776934278,-0.44,2.53
6.77869682,-0.52,2.46
6.780459362,-0.21,2.41
6.782221904,-0.078,2.45
6.783984445,-0.09,2.25
6.785746987,-0.1,2.23
6.787509529,-0.11,2.31
6.789272071,0.11,1.97
6.791034613,0.003,2.16
6.792797155,0.11,2.22
6.794559696,0.11,2.4
6.796322238,-0.019,2.31
6.79808478,0.053,2.37
6.799847322,-0.098,2.46
6.801609864,0.083,2.44
6.803372406,0.067,2.44
6.805134947,0.021,2.39
6.806897489,-0.32,2.53
6.808660031,0.16,2.55
6.810422573,0.086,2.62
6.812185115,-0.082,2.37
6.813947656,-0.25,2.46
6.815710198,-0.32,2.29
6.81747274,-0.26,2.38
6.819235282,0.073,2.54
6.820997824,0.16,2.51
6.822760366,0.2,2.32
6.824522907,-0.002,2.4
6.826285449,0.12,2.5
6.828047991,-0.086,2.4
6.831573075,0.13,2.36
6.835098158,0.059,2.43
6.838623242,0.092,2.4
6.840385784,0.12,2.53
6.843910867,-0.11,2.29
6.845673409,-0.31,2.37
6.847435951,-0.32,2.43
6.849198493,-0.27,2.42
6.850961035,-0.25,2.65
6.852723576,-0.46,2.5
6.854486118,-0.37,2.61
6.85624866,-0.41,2.55
6.858011202,-0.28,2.62
6.859773744,-0.14,2.63
6.861536286,0.14,2.7
6.863298827,0.15,2.37
6.865061369,0.17,2.62
6.866823911,0.17,2.53
6.868586453,0.24,2.41
6.870252609,0.17,2.5
6.871898867,0.18,2.61
6.873545125,0.18,2.49
6.875191383,0.11,2.36
6.876837642,-0.042,2.41
6.8784839,-0.002,2.62
6.880130158,-0.087,2.56
6.881776416,-0.14,2.45
6.883422674,-0.15,2.46
6.885068932,-0.2,2.41
6.88671519,-0.041,2.47
6.888361448,-0.16,2.48
6.890007706,-0.14,2.51
6.891653964,-0.28,2.46
6.893300222,-0.15,2.53
6.89494648,-0.016,2.55
6.896592738,-0.044,2.53
6.898238996,-0.042,2.52
6.899885254,0.012,2.34
6.901531512,0.074,2.51
6.90317777,-0.048,2.39
6.904824028,0.071,2.46
6.906470286,-0.058,2.4
6.908116544,-0.087,2.31
6.909762802,0.003,2.39
6.91140906,-0.055,2.58
6.913055318,-0.076,2.52
6.914701576,0.054,2.3
6.916347834,-0.11,2.62
6.917994092,-0.22,2.66
6.91964035,-0.3,2.46
6.921286608,-0.25,2.59
6.922932866,-0.076,2.59
6.924579124,-0.069,2.49
6.926225382,-0.22,2.59
6.92787164,-0.2,2.39
6.929517898,-0.13,2.55
6.932810414,-0.44,2.5
6.934456672,-0.48,2.64
6.93610293,-0.49,2.66
6.937749188,-0.41,2.65
6.939395447,-0.16,2.61
6.941041705,0.03,2.56
6.942687963,0.08,2.65
6.944334221,0.11,2.65
6.945980479,0.09,2.66
6.947626737,0.12,2.57
6.949272995,0.18,2.52
6.950919253,0.19,2.55
6.952565511,0.18,2.47
6.954211769,0.13,2.5
6.955858027,0.14,2.59
6.957504285,0.09,2.48
6.959150543,0.01,2.48
6.960796801,0.02,2.5
6.962443059,0,2.59
6.964089317,0,2.6
6.965735575,-0.04,2.64
6.967381833,-0.01,2.52
6.969028091,-0.05,2.54
6.970674349,-0.08,2.48
6.972320607,-0.24,2.31
6.97397109,-0.05,2.53
6.975623261,-0.18,2.27
6.977275431,-0.09,2.6
6.978927602,-0.11,2.45
6.980579772,-0.03,2.48
6.982231943,-0.02,2.48
6.983884113,0.03,2.34
6.985536284,-0.05,2.57
6.987188454,0.05,2.6
6.988840625,0.04,2.51
6.990492795,0.04,2.51
6.992144966,-0.05,2.42
6.993797136,0.09,2.57
6.995449307,-0.12,2.46
6.997101477,-0.42,2.39
6.998753648,-0.04,2.44
7.000405818,-0.08,2.45
7.002057989,-0.11,2.5
7.003710159,-0.02,2.55
7.00536233,-0.1,2.6
7.010318841,-0.11,2.62
7.011971012,-0.26,2.56
7.013623182,-0.15,2.49
7.015275353,-0.28,2.5
7.016927523,-0.19,2.53
7.018579693,-0.08,2.52
7.020231864,-0.14,2.51
7.021884034,-0.09,2.57
7.023536205,-0.18,2.44
7.025188375,-0.06,2.51
7.026840546,-0.06,2.52
7.028492716,0.01,2.46
7.030144887,-0.01,2.54
7.031797057,-0.1,2.57
7.033449228,-0.11,2.56
7.035101398,-0.09,2.59
7.036753569,0.08,2.53
7.038405739,0.02,2.38
7.04005791,0.1,2.44
7.04171008,0.02,2.39
7.043362251,0,2.26
7.045014421,-0.05,2.3
7.046666592,-0.06,2.32
7.048318762,-0.07,2.34
7.049970933,0.05,2.33
7.051623103,-0.07,2.31
7.053275274,-0.16,2.41
7.054927444,-0.14,2.39
7.056579615,-0.24,2.36
7.058231785,-0.35,2.54
7.059883956,-0.26,2.55
7.061536126,-0.41,2.39
7.063188297,-0.32,2.49
7.064831213,-0.3,2.46
7.06629018,-0.26,2.61
7.067749148,0.02,2.37
7.069208115,0.09,2.46
7.070667082,-0.06,2.47
7.07212605,0.14,2.47
7.073585017,0.21,2.47
7.075043984,-0.02,2.38
7.076502952,0.29,2.34
7.077961919,0.34,2.4
7.079420886,0.23,2.39
7.080879854,0.28,2.51
7.082338821,0.2,2.42
7.083797788,0.28,2.43
7.085256756,0.34,2.3
7.086715723,0.27,2.35
7.08817469,0.24,2.23
7.089633658,0.14,2.31
7.091092625,0.22,2.29
7.092551592,0.2,2.29
7.09401056,0.16,2.27
7.095469527,0.16,2.46
7.096928494,0.06,2.34
7.098387461,0.03,2.4
7.099846429,0.09,2.54
7.101305396,0.05,2.46
7.102764363,-0.06,2.52
7.104223331,-0.19,2.48
7.105682298,-0.34,2.41
7.107141265,-0.43,2.53
7.108892026,-0.24,2.49
7.110350994,-0.16,2.49
7.111809961,-0.2,2.43
7.113268928,-0.12,2.49
7.114727896,0.12,2.44
7.116186863,0.17,2.38
7.11764583,-0.07,2.35
7.119104798,0.09,2.28
7.120563765,0.07,2.2
7.122022732,-0.15,2.14
7.123520125,0.09,2.25
7.125028734,0.2,2.23
7.126537343,0.34,2.3
7.128045952,0.25,2.34
7.129554562,0.21,2.48
7.131063171,0.18,2.44
7.13257178,-0.05,2.46
7.134080389,0.19,2.41
7.135588999,0.16,2.25
7.137097608,0.2,2.38
7.138606217,0.1,2.27
7.140114826,0.05,2.21
7.141623435,-0.05,2.4
7.142830323,0.01,2.42
7.144338932,0.13,2.4
7.145847541,0.11,2.35
7.14735615,0.22,2.33
7.14886476,-0.032,2.37
7.150373369,0.25,2.27
7.151881978,0.15,2.28
7.153390587,0.19,2.19
7.154899196,0.16,2.16
7.156407806,0.2,2.17
7.157916415,0.38,2.36
7.159425024,0.39,2.33
7.160933633,0.41,2.23
7.162442242,0.41,2.28
7.163950852,0.42,2.36
7.165459461,0.37,2.52
7.16696807,0.27,2.45
7.168476679,0.39,2.51
7.169985288,0.39,2.5
7.171493898,0.42,2.64
7.173002507,0.35,2.55
7.174511116,0.3,2.56
7.176019725,0.23,2.48
7.177528335,0.42,2.54
7.179036944,0.42,2.45
7.180545553,0.4,2.5
7.182054162,0.33,2.6
7.183562771,0.2,2.5
7.185071381,0.44,2.6
7.18657999,0.39,2.54
7.188088599,0.46,2.54
7.189597208,0.42,2.55
7.191105817,0.45,2.59
7.192614427,0.47,2.53
7.194123036,0.54,2.49
7.195631645,0.51,2.45
7.197140254,0.53,2.53
7.198648863,0.5,2.48
7.200157473,0.4,2.4
7.201666082,0.33,2.16
7.203174691,0.42,2.31
7.2046833,0.42,2.37
7.20619191,0.35,2.38
7.207700519,0.29,2.27
7.209209128,0.28,2.42
7.210717737,0.15,2.46
7.212226346,0.18,2.56
7.213734956,0.19,2.51
7.215243565,0.08,2.64
7.216752174,0.13,2.57
7.218260783,0.03,2.44
7.219769392,0.15,2.54
7.221278002,0.37,2.46
7.222786611,0.19,2.07
7.22429522,0.52,2.39
7.225803829,0.45,2.32
7.227312438,0.5,2.13
7.228821048,0.52,2.28
7.230329657,0.5,2.17
7.231838266,0.66,2.18
7.233346875,0.62,2.21
7.234855485,0.58,2.35
7.236364094,0.55,2.21
7.237872703,0.59,2.38
7.239381312,0.51,2.18
7.240889921,0.52,2.18
7.242382302,0.49,2.24
7.243869666,0.42,2.24
7.245357031,0.35,2.08
7.246844396,0.21,2.38
7.248331761,0.22,2.26
7.249819126,0.25,2.29
7.251306491,0.23,2.27
7.252793856,0.07,2.44
7.254281221,0.13,2.55
7.255768585,0.13,2.61
7.25725595,-0.05,2.49
7.258743315,0.11,2.56
7.26023068,0.23,2.54
7.261718045,0.35,2.55
7.26320541,0.47,2.37
7.264692775,0.49,2.32
7.26618014,0.49,2.25
7.269154869,0.55,2.14
7.270642234,0.55,2.08
7.272129599,0.46,2.19
7.273616964,0.61,2.23
7.278079059,0.54,2.23
7.279566424,0.56,2.27
7.281053788,0.5,2.59
7.282541153,0.51,2.54
7.284028518,0.52,2.21
7.285515883,0.62,2.29
7.287003248,0.45,2.27
7.288490613,0.57,2.33
7.289977978,0.37,2.26
7.291465343,0.56,2.38
7.292952707,0.56,2.4
7.294440072,0.5,2.37
7.295927437,0.37,2.4
7.297414802,0.52,2.45
7.298902167,0.22,2.43
7.300389532,0.51,2.52
7.301876897,0.52,2.32
7.303364262,0.45,2.42
7.304851627,0.47,2.33
7.306338991,0.44,2.42
7.307826356,0.49,2.22
7.309313721,0.55,2.29
7.310801086,0.39,2.38
7.312288451,0.51,2.27
7.313775816,0.55,2.28
7.315263181,0.49,2.09
7.316750546,0.63,2.29
7.31823791,0.45,2.16
7.319725275,0.51,2.17
7.32121264,0.56,2.2
7.322700005,0.38,2.11
7.324186232,0.52,2.19
7.325671744,0.4,2.09
7.327157256,0.59,2.12
7.328642767,0.38,2.24
7.330128279,0.52,2.08
7.331613791,0.54,2.32
7.333099302,0.57,2.38
7.334584814,0.47,2.28
7.336070326,0.5,2.22
7.337555837,0.27,2.23
7.339041349,0.46,2.29
7.340526861,0.25,2.35
7.342012373,0.54,2.41
7.343497884,0.47,2.31
7.344983396,0.53,2.33
7.346468908,0.55,2.37
7.347954419,0.55,2.55
7.349439931,0.66,2.35
7.350925443,0.69,2.23
7.352410954,0.64,2.33
7.353896466,0.69,2.36
7.355381978,0.54,2.18
7.35686749,0.55,2.12
7.358353001,0.71,2.27
7.359838513,0.7,2.27
7.361324025,0.62,2.26
7.362809536,0.68,2.18
7.364295048,0.58,2.24
7.36578056,0.56,2.28
7.367266071,0.63,2.18
7.368751583,0.64,2.25
7.370237095,0.43,1.98
7.371722607,0.68,2.3
7.373208118,0.68,2.28
7.37469363,0.64,2.36
7.376179142,0.61,2.28
7.377664653,0.55,2.42
7.379150165,0.56,2.39
7.380635677,0.53,2.48
7.382121188,0.58,2.45
7.3836067,0.53,2.44
7.385092212,0.46,2.33
7.386577724,0.46,2.58
7.388063235,0.44,2.27
7.389548747,0.58,2.41
7.391034259,0.63,2.34
7.39251977,0.53,2.4
7.394005282,0.56,2.39
7.395490794,0.62,2.31
7.396976305,0.66,2.19
7.398461817,0.64,2.27
7.399947329,0.63,2.14
7.40143284,0.52,2.17
7.402918352,0.65,2.16
7.404403864,0.63,2.15
7.405889376,0.53,2.23
7.407374887,0.55,2.15
7.408860399,0.67,2.31
7.410345911,0.53,2.35
7.411831422,0.56,2.33
7.413316934,0.56,2.3
7.414802446,0.54,2.45
7.416287957,0.5,2.5
7.417773469,0.65,2.37
7.419258981,0.49,2.36
7.420744493,0.54,2.33
7.422230004,0.6,2.38
7.423715516,0.48,2.41
7.425201028,0.64,2.44
7.426686539,0.49,2.54
7.428172051,0.54,2.48
7.429657563,0.44,2.37
7.431143074,0.51,2.38
7.432628586,0.64,2.27
7.434114098,0.59,2.44
7.43559961,0.55,2.47
7.437085121,0.59,2.24
7.438570633,0.49,2.27
7.440056145,0.5,2.22
7.441541656,0.67,2.22
7.443027168,0.53,2.19
7.44451268,0.56,1.85
7.445998191,0.59,1.95
7.447483703,0.47,2.12
7.448969215,0.5,1.93
7.450454727,0.42,2.25
7.451940238,0.69,2.33
7.45342575,0.64,2.32
7.454911262,0.57,2.45
7.456396773,0.6,2.29
7.457882285,0.54,2.25
7.459367797,0.42,2.45
7.460853308,0.34,2.47
7.463824332,0.43,2.67
7.465345172,0.63,2.45
7.46687343,0.53,2.38
7.468401689,0.57,2.44
7.469929947,0.68,2.53
7.471458206,0.67,2.46
7.472986464,0.69,2.17
7.474514723,0.59,2.36
7.476042981,0.62,2.31
7.47757124,0.74,2.11
7.479099498,0.79,2.08
7.480627757,0.66,2.03
7.482156015,0.74,2.18
7.483684273,0.8,2.27
7.485212532,0.65,2.21
7.48674079,0.8,1.97
7.488269049,0.63,2.28
7.489797307,0.7,2.22
7.492853824,0.63,2.19
7.494382083,0.6,2.14
7.495910341,0.43,2.35
7.4974386,0.47,2.25
7.498966858,0.53,2.27
7.500495117,0.53,2.36
7.502023375,0.49,2.51
7.503551634,0.47,2.44
7.505079892,0.43,2.6
7.50660815,0.53,2.34
7.508136409,0.42,2.36
7.509664667,0.46,2.4
7.511192926,0.32,2.3
7.512721184,0.49,2.05
7.514249443,0.45,2.49
7.515777701,0.6,2.22
7.51730596,0.61,2.45
7.518834218,0.54,2.31
7.520362477,0.56,2.25
7.521890735,0.61,2.16
7.523418994,0.62,2.2
7.524947252,0.72,2.08
7.526475511,0.7,2.29
7.528003769,0.61,2.26
7.529532027,0.68,2.36
7.531060286,0.68,2.28
7.532588544,0.59,2.15
7.534116803,0.64,2.34
7.535645061,0.52,2.32
7.53717332,0.51,2.4
7.538701578,0.52,2.08
7.540229837,0.46,2.2
7.541758095,0.41,2.33
7.543286354,0.53,2.15
7.544814612,0.43,2.28
7.546342871,0.54,2.06
7.547871129,0.48,2.46
7.549399388,0.26,2.52
7.550927646,0.34,2.56
7.552455905,0.39,2.7
7.553984163,0.24,2.38
7.555512421,0.51,2.43
7.55704068,0.43,2.38
7.558568938,0.57,2.4
7.560097197,0.6,2.22
7.561625455,0.55,2.23
7.563153714,0.62,2.16
7.564681972,0.52,2.25
7.566210231,0.56,2.21
7.567738489,0.64,2.24
7.569266748,0.64,2.18
7.570795006,0.83,2.11
7.572323265,0.78,2.38
7.573851523,0.76,2.45
7.575379782,0.7,2.4
7.57690804,0.72,2.49
7.578436298,0.62,2.47
7.579964557,0.56,2.53
7.581492815,0.59,2.55
7.583021074,0.71,2.57
7.584549332,0.62,2.56
7.586077591,0.65,2.37
7.587605849,0.64,2.45
7.589134108,0.69,2.58
7.590662366,0.67,2.46
7.592190625,0.61,2.43
7.593718883,0.83,2.61
7.595247142,0.78,2.57
7.5967754,0.64,2.41
7.598303659,0.67,2.54
7.599831917,0.77,2.42
7.601360175,0.63,2.46
7.602888434,0.69,2.39
7.604416692,0.77,2.31
7.605944951,0.81,2.2
7.607473209,0.62,2.23
7.609001468,0.63,2.29
7.610529726,0.63,2.31
7.612057985,0.68,2.15
7.613586243,0.77,2.33
7.615114502,0.81,2.47
7.61664276,0.68,2.56
7.618171019,0.71,2.35
7.619699277,0.84,2.42
7.621227536,0.75,2.12
7.622755794,0.8,2.25
7.624284053,0.82,2.39
7.627340569,0.92,2.58
7.628868828,0.72,2.35
7.630397086,0.87,2.43
7.631925345,0.8,2.46
7.633453603,0.71,2.3
7.634981862,1,2.26
7.63651012,0.92,2.25
7.638038379,1,2.06
7.639530169,0.55,2.13
7.640971509,0.7,2.21
7.645295528,1.1,2.31
7.646736868,1.1,2.34
7.648178208,0.91,2.32
7.649619548,1,2.33
7.651060888,1,2.22
7.652502227,1,2.18
7.653943567,0.83,2.52
7.655384907,0.94,2.33
7.656826247,0.95,2.37
7.658267587,0.95,2.5
7.659708926,0.8,2.41
7.661150266,0.8,2.36
7.662591606,0.83,2.46
7.664032946,0.9,2.4
7.665474286,0.83,2.3
7.666915625,0.71,2.51
7.668356965,0.83,2.25
7.669798305,0.79,2.25
7.671239645,0.49,2.54
7.672680985,0.74,2.17
7.674122324,0.69,2.52
7.675563664,0.86,2.4
7.677005004,0.88,2.24
7.678446344,0.99,2.28
7.679887684,0.91,2.31
7.681329023,0.84,2.32
7.682770363,0.95,2.27
7.684211703,1,2.27
7.685653043,0.98,2.07
7.687094383,0.87,2.27
7.688535722,0.98,2.26
7.689977062,0.99,2.21
7.691418402,0.92,2.35
7.692859742,1,2.45
7.694301082,0.92,2.38
7.695742422,0.43,2.57
7.697183761,0.69,2.31
7.698625101,0.67,2.59
7.700066441,0.79,2.38
7.701507781,0.71,2.35
7.702949121,0.53,2.47
7.70439046,0.72,2.35
7.7058318,0.5,2.26
7.70727314,0.57,2.49
7.70871448,0.81,2.41
7.71015582,0.97,2.52
7.711597159,0.61,2.39
7.713038499,0.68,2.46
7.714479839,1.1,2.38
7.715921179,1,2.33
7.717362519,1.1,2.42
7.718803858,0.97,2.17
7.720245198,0.93,2.36
7.721686538,0.86,2.37
7.723127878,0.79,2.26
7.724569218,1.1,2.32
7.726010557,1,2.33
7.727451897,1.1,2.52
7.728893237,1.1,2.37
7.730334577,0.81,2.53
7.731775917,0.79,2.54
7.733217256,0.81,2.63
7.734576535,0.88,2.57
7.735901982,0.83,2.53
7.737227429,0.83,2.54
7.738552875,0.84,2.34
7.739878322,0.87,2.55
7.741203769,0.87,2.39
7.742529215,0.99,2.51
7.743854662,0.76,2.24
7.745180108,0.68,2.43
7.746505555,0.86,2.45
7.747831002,0.98,2.38
7.749156448,0.96,2.34
7.750481895,0.99,2.47
7.751807341,0.99,2.12
7.753132788,0.47,2.56
7.754458235,0.93,2.42
7.755783681,1,2.36
7.757109128,1.1,2.47
7.758434575,1,2.56
7.759760021,1,2.43
7.761085468,1,2.44
7.762410914,0.98,2.35
7.763736361,1.1,2.41
7.765061808,0.92,2.35
7.766387254,0.89,2.5
7.767712701,0.87,2.49
7.769038148,0.91,2.41
7.770363594,0.99,2.43
7.773014487,0.92,2.32
7.774339934,0.9,2.33
7.775665381,1.1,2.27
7.776990827,0.74,2.57
7.778316274,0.9,2.34
7.77964172,0.93,2.48
7.780967167,0.89,2.21
7.78361806,0.89,2.41
7.784943507,0.87,2.46
7.786268954,0.85,2.19
7.7875944,0.78,2.07
7.788919847,0.85,2.41
7.790245293,0.79,1.97
7.79157074,0.37,2.11
7.792896187,0.83,2.32
7.794221633,0.8,2.35
7.79554708,0.66,2.45
7.796872526,0.64,2.38
7.798197973,0.35,2.33
7.79952342,0.6,2.21
7.800848866,0.88,2.24
7.802174313,0.79,2.41
7.80349976,0.81,2.41
7.804825206,0.94,2.4
7.806150653,1,2.33
7.807476099,0.97,2.13
7.808801546,1.1,2.38
7.810126993,0.6,2.51
7.811452439,1,2.48
7.812777886,0.99,2.08
7.814103333,0.97,2.17
7.815428779,1.1,2.26
7.816754226,0.9,2.21
7.818079672,0.88,2.35
7.819405119,1,2.32
7.820730566,0.89,2.27
7.822056012,0.83,2.35
7.823381459,0.96,2.67
7.824706905,0.81,2.55
7.826297441,0.82,2.52
7.827622888,0.88,2.39
7.828948335,0.85,2.27
7.830273781,0.67,2.35
7.831599228,0.78,2.47
7.832924674,0.74,2.41
7.834250121,0.75,2.31
7.835575568,0.77,2.36
7.836901014,1,2.39
7.838226461,0.63,2.34
7.839551908,0.96,2.45
7.840877354,1,2.38
7.842202801,0.76,2.5
7.843528247,1,2.29
7.844853694,0.96,2.47
7.846179141,0.93,2.51
7.847504587,0.91,2.47
7.848830034,0.75,2.38
7.850155481,0.81,2.5
7.851480927,0.79,2.4
7.852806374,0.8,2.48
7.85413182,0.68,2.36
7.855192178,0.67,2.34
7.856517624,0.54,2.24
7.857843071,0.2,2.46
7.859168518,0.37,2.53
7.860493964,0.49,2.42
7.861819411,0.49,2.44
7.863144857,0.45,2.39
7.864470304,0.53,2.56
7.865795751,0.49,2.42
7.867121197,0.43,2.35
7.868446644,0.64,2.37
7.870224161,0.57,2.36
7.872484857,0.55,2.08
7.874745552,0.55,2.31
7.877006247,0.52,2.42
7.879266942,0.48,2.27
7.881527638,0.49,2.45
7.883788333,0.25,2.42
7.886049028,0.31,2.49
7.888309724,0.32,2.58
7.890570419,0.26,2.49
7.892831114,0.61,2.45
7.89509181,0.5,2.45
7.897352505,0.6,2.49
7.8996132,0.54,2.41
7.901873895,0.58,2.44
7.904134591,0.46,2.52
7.906395286,0.51,2.48
7.908655981,0.45,2.56
7.910916677,0.49,2.4
7.913177372,0.42,2.42
7.915438067,0.48,2.51
7.917698763,0.41,2.38
7.919959458,0.31,2.47
7.922220153,0.5,2.46
7.924480848,0.48,2.38
7.926741544,0.53,2.5
7.929002239,0.51,2.5
7.931262934,0.61,2.46
7.93352363,0.57,2.38
7.935784325,0.61,2.52
7.93804502,0.57,2.5
7.940305716,0.6,2.31
7.942566411,0.57,2.38
7.944827106,0.4,2.63
7.947087801,0.45,2.51
7.949348497,0.5,2.46
7.951609192,0.53,2.51
7.953869887,0.62,2.5
7.956130583,0.7,2.59
7.958391278,0.74,2.66
7.960651973,0.72,2.54
7.962912669,0.61,2.42
7.969694754,0.68,2.52
7.974216145,0.71,2.53
7.97647684,0.52,2.55
7.978737536,0.64,2.52
7.980998231,0.68,2.45
7.983258926,0.64,2.54
7.985519622,0.61,2.56
7.987780317,0.35,2.44
7.990041012,0.52,2.44
7.992301707,0.44,2.39
7.994562403,0.56,2.28
7.996823098,0.49,2.23
7.998853771,0.67,2.15
8.000194088,0.52,2.21
8.001534406,0.58,2.31
8.002874723,0.59,2.23
8.004215041,0.58,2.33
8.005555358,0.64,2.27
8.008235993,0.46,2.43
8.009576311,0.49,2.51
8.010916628,0.41,2.54
8.012256946,0.38,2.28
8.013597263,0.37,2.4
8.014937581,0.59,2.35
8.016277898,0.72,2.39
8.017618216,0.71,2.44
8.018958533,0.67,2.34
8.020298851,0.73,2.38
8.021639168,0.61,2.26
8.022979486,0.78,2.19
8.024319803,0.75,2.37
8.025660121,0.79,2.51
8.027000438,0.79,2.41
8.028340756,0.8,2.5
8.029681073,0.68,2.34
8.031021391,0.64,2.47
8.032361708,0.85,2.08
8.035042343,0.72,2.36
8.03638266,0.56,2.23
8.037722978,0.66,2.18
8.039063295,0.59,2.49
8.040403613,0.69,2.65
8.04174393,0.7,2.68
8.043084248,0.71,2.57
8.044424565,0.66,2.8
8.045764883,0.77,2.67
8.0471052,0.73,2.58
8.048445518,0.7,2.72
8.049785835,0.79,2.44
8.051126153,0.71,2.8
8.05246647,0.91,2.64
8.053806788,0.88,2.53
8.055147105,0.7,2.59
8.056487423,0.89,2.59
8.05782774,0.85,2.47
8.059168058,0.89,2.58
8.060508375,0.89,2.47
8.061848693,0.84,2.56
8.06318901,0.85,2.48
8.064529328,0.85,2.47
8.065929071,0.93,2.31
8.067425888,0.87,2.55
8.068922705,0.91,2.43
8.070419522,0.91,2.51
8.071916339,0.89,2.43
8.073413157,0.74,2.22
8.074909974,0.85,2.44
8.076406791,0.83,2.56
8.077903608,0.86,2.61
8.079400425,0.84,2.43
8.080897242,0.84,2.55
8.08239406,0.78,2.45
8.083890877,0.64,2.33
8.085387694,0.62,2.46
8.086884511,0.66,2.5
8.088381328,0.72,2.37
8.089878145,0.69,2.49
8.091374963,0.55,2.23
8.09287178,0.57,2.59
8.094368597,0.68,2.53
8.095865414,0.66,2.49
8.097362231,0.61,2.6
8.098859048,0.64,2.55
8.100355865,0.69,2.57
8.101852683,0.62,2.56
8.1033495,0.54,2.54
8.104846317,0.73,2.56
8.106343134,0.77,2.57
8.107839951,0.7,2.55
8.109336768,0.73,2.6
8.110833586,0.75,2.57
8.112330403,0.73,2.5
8.11382722,0.7,2.6
8.115324037,0.77,2.61
8.116820854,0.81,2.6
8.118317671,0.77,2.64
8.119814488,0.84,2.55
8.121311306,0.82,2.59
8.122808123,0.82,2.61
8.12430494,0.81,2.61
8.125801757,0.81,2.59
8.127298574,0.88,2.47
8.128795391,0.82,2.4
8.130292209,0.83,2.48
8.131789026,0.8,2.49
8.133285843,0.82,2.48
8.13478266,0.78,2.51
8.136279477,0.81,2.42
8.137776294,0.77,2.43
8.139273112,0.68,2.52
8.140769929,0.65,2.48
8.142266746,0.69,2.38
8.143763563,0.72,2.51
8.14526038,0.53,2.43
8.146757197,0.69,2.3
8.148254014,0.71,2.49
8.149750832,0.48,2.54
8.151247649,0.49,2.6
8.152744466,0.55,2.51
8.154241283,0.42,2.49
8.1557381,0.56,2.36
8.157234917,0.71,2.35
8.158731735,0.58,2.47
8.160228552,0.69,2.34
8.161725369,0.61,2.41
8.163222186,0.67,2.31
8.164719003,0.67,2.34
8.16621582,0.77,2.44
8.167712637,0.88,2.51
8.169209455,0.8,2.42
8.170706272,0.74,2.3
8.172203089,0.68,2.37
8.173699906,0.64,2.45
8.175196723,0.61,2.45
8.17669354,0.65,2.34
8.178190358,0.65,2.29
8.179687175,0.6,2.32
8.181183992,0.64,2.3
8.182680809,0.55,2.38
8.184177626,0.62,2.42
8.185674443,0.58,2.53
8.187171261,0.41,2.41
8.188668078,0.41,2.46
8.190164895,0.56,2.39
8.191661712,0.44,2.45
8.193158529,0.6,2.38
8.194655346,0.86,2.5
8.196152163,0.76,2.38
8.197648981,0.86,2.42
8.199145798,0.86,2.36
8.200642615,0.99,2.29
8.202139432,0.98,2.51
8.204064671,0.98,2.44
8.206548461,1,2.38
8.209032251,0.89,2.55
8.213999831,0.85,2.28
8.21648362,0.59,2.44
8.21896741,0.88,2.31
8.2214512,0.54,2.54
8.22393499,0.93,2.38
8.226418779,0.91,2.41
8.231386359,0.79,2.35
8.233870149,0.87,2.42
8.236353939,0.74,2.4
8.238837728,0.88,2.49
8.241321518,0.72,2.48
8.243805308,0.87,2.54
8.246289098,0.8,2.46
8.248772887,0.75,2.27
8.251256677,0.7,2.44
8.253740467,0.77,2.04
8.256224257,0.65,2.07
8.258708047,0.74,2.1
8.261191836,0.72,1.97
8.263675626,0.75,2.28
8.266159416,0.59,2.25
8.268643206,0.67,2.35
8.271126995,0.73,2.68
8.273610785,0.69,2.27
8.276094575,0.71,2.28
8.278578365,0.67,2.59
8.281062154,0.65,2.23
8.284042702,0.68,2.21
8.286526492,0.6,2.23
8.289010282,0.63,2.28
8.291494072,0.73,2.43
