Ma,U1146 bent d13C [per mil PDB] (Cibicidoides wuellerstorfi + ..,U1146 bent d18O [per mil PDB] (Cibicidoides wuellerstorfi + ..
5.275384568,0.21,2.38
5.277745026,0.28,2.4
5.280105484,0.17,2.42
5.282465943,0.28,2.14
5.284826401,0.29,2.11
5.287186859,0.4,2.57
5.289547318,0.02,2.45
5.291907776,-0.2,2.63
5.294268234,-0.17,2.61
5.296628693,-0.09,2.6
5.298989151,0.01,2.53
5.301349609,-0.08,2.58
5.303710068,0.15,2.54
5.306070526,0.15,2.57
5.308430985,0.11,2.59
5.310791443,0.21,2.55
5.313151901,0.1,2.6
5.31551236,-0.05,2.65
5.317872818,0.19,2.6
5.320233276,-0.04,2.54
5.322593735,0.11,2.67
5.324954193,0.02,2.53
5.327314651,0.18,2.53
5.32967511,0.1,2.56
5.332035568,0.28,2.39
5.334396026,0.43,2.51
5.336756485,0.33,2.65
5.339116943,0.17,2.34
5.341477401,0.41,2.29
5.34383786,0.39,2.54
5.346198318,0.19,2.48
5.348558777,0.19,2.46
5.350919235,-0.03,2.43
5.353279693,0.02,2.57
5.355640152,0.23,2.4
5.35800061,0.1,2.58
5.360361068,0.04,2.76
5.362721527,0.06,2.42
5.365081985,0.01,2.53
5.367442443,0.05,2.57
5.369802902,-0.03,2.62
5.37216336,0.03,2.58
5.374523818,-0.03,2.65
5.376884277,-0.13,2.81
5.379244735,-0.07,2.93
5.381605193,-0.2,3.04
5.383965652,-0.2,2.69
5.38632611,-0.11,2.71
5.388686568,-0.1,2.72
5.391047027,-0.14,2.7
5.393407485,0.06,2.77
5.395767944,0.11,2.76
5.398128402,0.01,2.6
5.40048886,0.18,2.58
5.402849319,0.09,2.63
5.405209777,0.1,2.61
5.407570235,0.14,2.61
5.409930694,0.1,2.5
5.412291152,0.03,2.6
5.41465161,0.13,2.61
5.417012069,0.24,2.65
5.419372527,0.23,2.45
5.421732985,0.25,2.51
5.424093444,0.25,2.41
5.426453902,0.2,2.59
5.42881436,0.12,2.35
5.431174819,0.13,2.13
5.433535277,0.15,2.3
5.435895736,-0.02,2.42
5.438256194,0.18,2.4
5.440616652,0.3,2.41
5.442977111,0.24,2.44
5.445337569,-0.09,2.48
5.450058486,0.03,2.4
5.452418944,0.14,2.45
5.454779402,-0.07,2.5
5.457139861,-0.08,2.56
5.459500319,-0.27,2.64
5.461860777,-0.38,2.79
