Depth [mbsf],New_AgeModel,_13C [per mil PDB],_18O [per mil PDB],
320.94,8.825533538,1.26,1.85,
321.04,8.828515677,1.3,1.93,
321.14,8.831497816,1.3,1.83,
321.24,8.833485908,1.27,1.98,
321.34,8.836468047,1.09,2.08,
321.44,8.839450186,1.06,1.89,
321.54,8.842432325,1.12,1.95,
321.64,8.845414463,1.14,1.92,
321.74,8.847402556,1.07,1.95,
321.84,8.850384695,1.13,1.91,
321.94,8.853366834,1.06,1.97,
322.04,8.856348972,1.06,1.88,
322.14,8.859331111,1.35,2.16,
322.24,8.861319204,1.23,2.19,
322.34,8.864301342,1,2.02,
322.44,8.867283481,1.11,1.9,
322.54,8.87026562,1.23,2.07,
322.64,8.872253712,1.12,2.04,
322.74,8.875235851,1.15,2.07,
322.84,8.87821799,1.27,1.84,
322.94,8.881200129,1.25,1.92,
323.04,8.884182268,1.26,1.68,
323.14,8.88617036,1.44,2.18,
323.24,8.889152499,1.35,1.82,
323.34,8.892134638,1.28,1.95,
323.44,8.895116776,0.98,1.8,
323.54,8.898098915,1.23,1.82,
323.64,8.900087008,1.2,1.94,
323.74,8.903069147,1.01,1.92,
323.84,8.906051285,0.9,1.93,
323.94,8.909033424,0.94,1.91,
324.04,8.911021517,1.01,2.01,
324.14,8.914003655,1.07,2.18,
324.24,8.916985794,0.85,1.95,
324.34,8.919967933,1.03,2.04,
324.44,8.922950072,1,1.99,
324.54,8.924938164,1.07,2.01,
324.64,8.927920303,1.17,1.86,
324.74,8.930902442,1.24,1.93,
324.84,8.933884581,1.24,1.7,
324.94,8.936866719,1.26,1.88,
325.04,8.938854812,1.23,1.84,
325.14,8.941836951,1.25,1.83,
325.24,8.944819089,1.22,1.72,
325.34,8.947801228,1.19,1.8,
325.44,8.949789321,1.21,1.71,
325.54,8.952771459,1.13,1.8,
325.64,8.955753598,1.06,1.84,
325.74,8.958735737,1.12,2.25,
327.74,9.014402328,0.66,1.89,
327.84,9.01639042,0.99,2.02,
327.94,9.019372559,1,1.93,
328.04,9.022354698,1.2,2.02,
328.14,9.025336836,1.2,1.79,
328.24,9.028318975,1.22,1.86,
328.34,9.030307068,1.09,1.67,
328.54,9.036271345,1.21,1.67,
328.64,9.039253484,1.17,2.15,
328.74,9.041241577,1.24,1.82,
328.84,9.044223715,1.24,2.03,
328.94,9.047205854,1.09,1.64,
329.04,9.050187993,1.21,1.97,
329.14,9.053170132,1.06,1.85,
329.24,9.055158224,1.34,2.62,
329.34,9.058140363,1.32,2.54,
329.44,9.061122502,1.23,2.34,
329.54,9.06410464,1.05,2.5,
329.64,9.067086779,1.01,2.34,
329.74,9.069074872,1.04,2.29,
329.84,9.072057011,0.94,2.33,
329.94,9.075039149,0.92,2.18,
330.04,9.078021288,0.69,2.13,
330.14,9.080009381,0.88,2.18,
330.24,9.082991519,0.8,2.04,
330.34,9.085973658,0.87,2.24,
330.44,9.088955797,0.8,2.12,
330.54,9.091937936,0.85,2.03,
330.64,9.093926028,1.03,2.27,
330.74,9.096908167,1.02,1.95,
330.84,9.099890306,0.98,1.93,
330.94,9.102872445,0.9,1.97,
331.04,9.105854583,1.37,2.28,
331.14,9.107842676,0.95,1.96,
331.24,9.110824815,1.03,1.76,
331.34,9.113806953,1.13,2.06,
331.44,9.116789092,1.02,2.12,
331.54,9.118777185,0.89,2.17,
331.64,9.121759324,0.9,1.98,
331.74,9.124741462,1.02,2.06,
331.84,9.127723601,0.98,1.99,
331.94,9.13070574,1.05,1.91,
332.04,9.132693832,1.08,1.92,
332.14,9.135675971,1.12,1.89,
332.24,9.13865811,1.06,2.09,
332.34,9.141640249,1,2,
332.44,9.144622387,1.03,2.2,
332.54,9.14661048,0.89,2.05,
332.64,9.149592619,1.19,2.23,
332.74,9.152574758,1.04,1.87,
332.84,9.155556896,1.17,2.07,
332.94,9.157544989,1.14,1.94,
333.04,9.160527128,1.11,1.9,
333.14,9.163509266,0.92,1.93,
333.24,9.166491405,1.11,2.08,
333.34,9.169473544,1.09,2.07,
333.44,9.171461636,1,2,
333.54,9.174443775,0.98,2.12,
333.64,9.177425914,1.02,2.23,
333.74,9.180408053,1.1,2.16,
333.84,9.183390192,1.04,2.15,
333.94,9.185378284,1.19,2.04,
334.04,9.188360423,1.29,2.04,
334.14,9.191342562,1.26,1.92,
334.34,9.197306839,1.18,1.89,
334.44,9.199294932,1.26,2.24,
334.54,9.202277071,1.19,1.79,
334.64,9.205259209,1.23,1.9,
334.74,9.208241348,1.2,1.92,
334.84,9.210229441,1.28,1.93,
334.94,9.213211579,1.15,1.99,
335.04,9.216193718,1.09,1.85,
335.14,9.219175857,1.17,1.99,
335.24,9.222157996,1.06,1.87,
335.34,9.224146088,1.19,2.12,
