Depth [mbsf],New_AgeModel,_13C [per mil PDB],_18O [per mil PDB],
399.34,10.99851866,1.21,2,
399.44,11.0015008,1.35,2.01,
399.54,11.00448294,1.39,2.05,
399.64,11.00746508,1.42,2.03,
399.74,11.00945317,1.32,1.89,
399.84,11.01243531,1.4,1.89,
399.94,11.01541745,1.35,2.07,
400.04,11.01839959,1.34,1.71,
400.14,11.02138172,1.27,1.95,
400.24,11.02436386,1.37,1.79,
400.34,11.02635196,1.19,1.92,
400.44,11.02933409,1.25,1.88,
400.54,11.03231623,1.19,1.89,
400.64,11.03529837,1.25,1.92,
400.74,11.03828051,1.15,1.91,
400.84,11.04126265,1.2,1.8,
400.94,11.04325074,1.11,1.92,
401.04,11.04623288,1.35,1.92,
401.14,11.04921502,1.15,1.98,
401.24,11.05219716,1.23,1.99,
401.34,11.0551793,1.15,1.94,
401.44,11.05816144,1.07,1.95,
401.54,11.06114358,1.14,1.93,
401.64,11.06313167,1.19,1.96,
401.74,11.06611381,1.11,1.87,
404.74,11.15060774,1.31,1.94,
404.84,11.15358988,1.49,1.84,
404.94,11.15657202,1.53,1.85,
405.04,11.15955415,1.28,1.58,
405.14,11.16253629,1.62,1.85,
405.24,11.16551843,1.41,1.76,
405.34,11.16750652,1.44,1.9,
405.44,11.17048866,1.58,1.86,
405.54,11.1734708,1.5,1.78,
405.64,11.17645294,1.58,1.81,
405.74,11.17943508,1.6,2,
405.84,11.18241722,1.58,1.86,
405.94,11.18539936,1.46,2.03,
406.04,11.18738745,1.55,1.78,
406.14,11.19036959,1.43,2.04,
406.24,11.19335173,1.51,1.81,
406.34,11.19633387,1.55,1.98,
406.44,11.19931601,1.45,1.9,
406.54,11.20229814,1.41,1.83,
406.64,11.20428624,1.46,1.76,
406.74,11.20726838,1.43,1.98,
406.84,11.21025051,1.38,1.91,
406.94,11.21323265,1.26,1.97,
407.04,11.21621479,1.4,1.81,
407.14,11.21919693,1.38,1.97,
407.24,11.22118502,1.48,1.89,
407.34,11.22416716,1.46,1.92,
407.44,11.2271493,1.56,1.88,
407.54,11.23013144,1.52,1.97,
407.64,11.23311358,1.42,1.83,
407.74,11.23609572,1.49,1.94,
407.84,11.23907786,1.55,1.87,
407.94,11.24106595,1.52,1.96,
408.04,11.24404809,1.52,1.9,
408.14,11.24703023,1.46,2.02,
408.24,11.25001236,1.55,1.86,
408.34,11.2529945,1.61,2.18,
408.44,11.25597664,1.46,1.93,
408.54,11.25796473,1.49,1.94,
408.64,11.26094687,1.59,1.98,
408.74,11.26392901,1.54,1.89,
408.84,11.26691115,1.41,1.89,
408.94,11.26989329,1.52,1.94,
409.04,11.27287543,1.39,1.98,
409.14,11.27486352,1.46,1.99,
409.24,11.27784566,1.43,1.98,
409.34,11.2808278,1.33,2.12,
409.44,11.28380994,1.46,2.05,
409.54,11.28679208,1.24,2.16,
409.64,11.28977421,1.43,1.93,
409.74,11.29275635,1.29,1.97,
409.84,11.29474445,1.55,1.95,
409.94,11.29772658,1.48,1.95,
410.04,11.30070872,1.53,1.77,
410.14,11.30369086,1.55,1.93,
410.24,11.306673,1.5,1.84,
410.34,11.30965514,1.52,1.9,
410.44,11.31164323,1.45,1.98,
410.54,11.31462537,1.52,1.79,
410.64,11.31760751,1.48,1.96,
410.74,11.32058965,1.55,2.1,
410.84,11.32357179,1.41,2.02,
414.54,11.42794664,1.35,1.83,
414.84,11.43589901,1.37,2.02,
414.94,11.43888115,1.58,1.67,
415.04,11.44186329,1.42,1.9,
415.14,11.44484543,1.19,1.52,
415.24,11.44782757,1.5,1.82,
415.34,11.45080971,1.58,1.77,
415.44,11.45379185,1.41,1.9,
415.54,11.45577994,1.4,1.73,
415.64,11.45876208,1.39,1.81,
415.74,11.46174422,1.37,1.69,
415.84,11.46472636,1.16,1.7,
415.94,11.4677085,1.43,1.76,
416.04,11.47069063,1.24,1.76,
416.14,11.47267873,1.09,1.65,
416.24,11.47566087,1.21,1.92,
416.34,11.478643,1.1,1.99,
416.44,11.48162514,1.06,1.84,
416.54,11.48460728,1.37,1.9,
416.84,11.49255965,1.3,1.84,
416.94,11.49554179,1.22,1.58,
417.04,11.49852393,1.46,1.88,
417.14,11.50150607,1.38,2.03,
417.24,11.50448821,1.43,1.92,
417.44,11.50945844,1.36,1.81,
417.54,11.51244058,1.19,2.03,
417.64,11.51542272,1.05,1.86,
417.74,11.51840485,0.97,1.88,
417.84,11.52138699,0.96,1.9,
417.94,11.52436913,1.28,1.87,
418.04,11.52635722,1.14,2.02,
418.14,11.52933936,1.21,1.99,
418.24,11.5323215,1.02,1.44,
418.34,11.53530364,1.16,1.69,
418.44,11.53828578,1.19,1.74,
418.54,11.54126792,1.2,1.7,
418.64,11.54623815,1.22,1.8,
418.74,11.54922029,1.09,1.74,
418.94,11.55220243,1.1,1.88,
419.04,11.55518457,1.01,1.52,
419.14,11.5581667,1.19,1.9,
419.24,11.56114884,1.21,1.87,
419.34,11.56313694,1.15,1.78,
419.44,11.56611907,1.1,1.67,
419.54,11.56910121,1.16,1.98,
419.64,11.57208335,1.16,1.93,
419.74,11.57506549,0.97,2,
419.84,11.57804763,1.32,1.75,
419.94,11.58003572,1.26,2.03,
420.04,11.58301786,1.17,1.59,
420.14,11.586,1.02,1.72,
