Depth cr [rmcd] (mid Depth m adjusted to splic...),Age dated [ka] (D17_MT),Foram bent d13C [per mil PDB] (with respect to equilibrium),Foram bent d18O [per mil PDB] (with respect to equilibrium)
154.19,7678,0.71,3.32
154.26,7682,0.95,3.26
154.29,7683,0.64,3.2
154.36,7686,0.7,3.2
154.39,7687,1,3.17
154.46,7690,0.82,3
154.49,7692,0.9,3.13
154.58,7695,0.88,3.58
154.6,7696,0.63,3.43
154.66,7699,0.77,3.25
154.69,7700,0.79,3.42
154.76,7703,0.67,3.09
154.79,7704,0.71,3.4
154.86,7707,0.65,3.4
154.96,7710,0.7,3.26
154.99,7712,0.69,3.05
155.06,7714,0.71,3.16
155.09,7715,0.75,3.31
155.16,7718,0.76,3.26
155.19,7719,0.72,3.18
155.25,7721,0.55,3.31
155.28,7722,0.51,3.2
155.36,7725,0.62,3.26
155.39,7726,0.59,3.18
155.46,7729,0.82,3.17
155.49,7730,0.71,3.19
155.56,7732,0.76,3.09
155.59,7734,0.74,3.23
155.66,7736,0.61,3.3
155.69,7737,0.44,3.61
155.76,7740,0.76,3.27
155.79,7741,0.31,3.22
155.86,7744,0.54,3.08
155.89,7745,0.7,3.04
155.96,7747,0.54,3.17
155.99,7748,0.3,3.39
156.08,7752,0.72,3.22
156.1,7752,0.82,3.1
156.16,7755,0.97,3.23
156.19,7756,0.59,3.17
156.26,7758,0.66,3.21
156.29,7759,0.86,3.19
156.36,7762,0.77,3.25
156.39,7763,0.71,3.2
156.46,7766,0.77,3.34
156.49,7767,0.77,3.26
156.56,7769,0.6,3.21
156.59,7770,0.64,3.14
156.66,7773,0.49,3.15
156.69,7774,0.47,3.11
156.75,7776,0.53,3.13
156.89,7781,0.45,3.06
156.99,7785,0.56,3.32
157.09,7789,0.58,3.44
157.16,7791,0.65,3.29
157.19,7792,0.49,3.34
157.26,7795,0.43,3.18
157.29,7796,0.55,3.22
157.36,7799,0.56,3.09
157.39,7800,0.39,3.33
157.46,7802,0.58,3.16
157.49,7803,0.71,2.94
157.58,7807,0.66,3.09
157.6,7807,0.85,3.15
157.66,7810,0.84,3.08
157.69,7811,0.66,3.11
157.76,7813,0.75,3.19
157.79,7814,0.64,3.24
157.86,7817,0.55,3.12
157.89,7818,0.41,3.06
157.96,7821,0.57,3.49
157.99,7822,0.73,3.36
158.06,7824,0.39,3.37
158.09,7825,0.54,3.27
158.16,7828,0.46,3.28
158.19,7829,0.54,3.32
158.26,7832,0.57,3.33
158.29,7833,0.58,2.99
158.36,7835,0.89,3.26
158.39,7836,0.56,3.02
158.46,7839,0.58,3.29
158.49,7840,0.73,3.43
158.56,7843,0.64,3.28
158.59,7844,0.58,3.28
158.66,7846,0.6,3.23
158.69,7847,0.54,3.27
158.76,7850,0.57,3.26
158.79,7851,0.44,3.31
158.86,7854,0.21,3.16
158.89,7855,0.38,3.16
158.96,7857,0.34,3.15
158.99,7858,0.24,3.2
159.06,7861,0.46,3.3
159.09,7862,0.1,3.1
159.19,7866,0.3,3.3
159.26,7868,0.4,3.21
159.29,7870,0.38,3.2
159.32,7871,0.31,3.16
159.36,7872,0.21,3.37
159.39,7873,0.36,3.13
159.46,7876,0.2,3.08
159.49,7877,-0.04,3.07
159.57,7880,0.14,3.08
159.6,7881,0.13,3
159.67,7884,0.34,2.91
159.7,7886,0.12,3.22
159.77,7889,0.08,3.38
159.8,7891,-0.3,3.25
159.86,7894,-0.07,3.24
159.89,7895,-0.16,3.19
159.97,7900,0.08,3.18
160,7901,0.21,3.36
160.07,7905,0.41,3.33
160.1,7906,0.29,3.41
160.17,7910,0.34,3.34
160.2,7912,0.23,3.3
160.26,7915,0.14,3.36
160.3,7917,0.29,3.27
160.37,7920,0.39,3.4
160.4,7922,0.29,3.39
160.46,7925,0.38,3.3
160.5,7927,0.49,3.32
160.57,7931,0.34,3.35
160.66,7935,0.18,3.29
160.7,7937,0.28,3.22
160.76,7941,0.45,3.37
160.81,7943,0.38,3.39
160.86,7946,0.32,3.46
160.9,7948,0.28,3.31
160.97,7951,0.4,3.43
161,7953,0.52,3.35
161.06,7956,0.56,3.38
161.1,7958,0.59,3.35
161.17,7962,0.37,3.34
161.2,7963,0.44,3.31
161.26,7966,0.43,3.32
161.3,7969,0.44,3.42
161.37,7972,0.1,3.29
161.4,7974,0.29,3.28
161.46,7977,0.35,3.26
161.5,7979,0.35,3.12
161.57,7983,0.29,3.25
161.6,7984,0.26,3.25
161.66,7987,0.08,3.32
161.7,7989,0.29,3.22
161.77,7993,0.02,3.08
161.8,7994,0.09,3.11
161.86,7997,0.2,3.04
161.9,7999,0.43,3.02
161.97,8003,0.35,3.11
162,8004,0.05,3.12
162.06,8007,0.48,3.33
162.1,8009,0.34,3.22
162.17,8013,0.51,3.1
162.2,8014,0.69,2.97
162.27,8018,0.57,2.96
162.31,8019,0.63,3.07
162.36,8022,0.64,3.23
162.4,8024,0.46,3.16
162.47,8027,0.45,3.04
162.5,8029,0.62,3.15
162.57,8032,0.34,2.87
162.6,8034,0.58,3.1
162.66,8037,0.5,3.29
162.7,8039,0.29,3.31
162.76,8041,0.51,3.33
162.8,8043,0.6,3.31
162.86,8046,0.52,3.29
162.9,8048,0.29,3.25
162.97,8052,0.69,3.32
163,8053,0.42,3.24
163.06,8056,0.7,3.17
163.1,8058,0.5,3.32
163.17,8061,0.8,3.14
163.2,8063,0.69,3.11
163.26,8066,0.65,3.17
163.3,8068,0.66,3.16
163.37,8071,0.58,3.22
163.4,8073,-0.17,3.42
163.46,8076,0.62,3.23
163.5,8078,0.76,3.19
163.57,8081,0.41,3.29
163.6,8082,0.58,3.18
163.71,8088,0.6,3.41
163.78,8091,0.63,3.21
163.82,8093,0.53,3.3
163.87,8096,0.6,3.34
163.9,8097,0.5,3.15
163.97,8101,0.58,3.17
164.01,8103,0.52,3.26
164.09,8106,0.61,3.24
164.12,8108,0.77,3.33
164.18,8111,0.61,3.26
164.22,8113,0.63,3.27
164.28,8116,0.38,3.36
164.32,8118,0.68,3.18
164.38,8121,0.71,3.31
164.42,8123,0.67,3.33
164.49,8126,0.54,3.3
164.53,8128,0.72,3.16
164.6,8131,0.79,3.17
164.65,8134,0.69,3.31
164.72,8137,0.66,3.2
164.77,8140,0.66,3.29
164.84,8143,0.62,3.26
164.87,8145,0.55,3.03
164.95,8148,0.6,3.27
165,8151,0.48,3.27
165.07,8154,0.5,3.16
165.12,8157,0.61,3.29
165.2,8161,0.34,3.17
165.23,8162,0.49,3
165.26,8164,0.56,3.17
165.29,8165,0.61,3.15
165.3,8166,0.44,3.14
165.34,8168,0.66,3.17
165.35,8168,0.7,3.1
165.38,8170,0.38,2.99
165.41,8172,0.42,3.16
165.45,8175,0.59,3.2
165.46,8175,0.5,3.22
165.5,8178,0.63,3.25
165.53,8180,0.52,3.26
165.6,8184,0.56,3.12
165.66,8188,0.43,2.96
165.7,8191,0.5,3.06
165.75,8194,0.34,3.33
165.79,8196,0.48,3.23
165.86,8201,0.9,3.21
165.96,8207,0.9,3.2
166,8210,0.81,3.13
166.07,8214,0.85,3.17
166.1,8216,0.92,3.27
166.16,8220,0.92,3.27
166.2,8223,0.74,3.25
166.27,8227,0.82,3.27
166.3,8229,0.81,3.3
166.36,8233,0.71,3.3
166.4,8235,0.72,3.29
166.47,8240,0.74,3.35
166.5,8242,0.77,3.33
166.56,8245,0.77,3.22
166.6,8248,0.68,3.19
166.67,8253,0.79,3.25
166.7,8254,0.73,3.1
166.76,8258,0.67,3.14
166.79,8260,0.6,3.16
166.87,8265,0.71,3.16
166.9,8267,0.69,3.27
166.96,8271,0.82,3.21
166.99,8273,0.67,3.17
167.03,8275,0.68,3.08
167.07,8278,0.66,3.12
167.1,8280,0.56,2.97
167.16,8284,0.63,3.16
167.2,8286,0.55,2.94
167.27,8291,0.79,3.22
167.3,8293,0.52,3.18
167.36,8297,0.5,3.22
167.4,8299,0.58,3.15
