Depth cr [rmcd] (mid Depth m adjusted to splic...),Age dated [ka] (D17_MT),Foram bent d13C [per mil PDB] (with respect to equilibrium),Foram bent d18O [per mil PDB] (with respect to equilibrium)
120.46,6359,-0.48,3.26
120.5,6360,-0.05,3.27
120.56,6363,-0.47,3.18
120.66,6367,-0.34,3.18
120.7,6369,-0.09,3.4
120.77,6372,0.04,3.39
120.8,6373,-0.17,3.21
120.88,6376,0.13,3.28
120.91,6378,0.1,3.31
120.98,6381,0.15,3.25
121.02,6382,-0.17,3.26
121.09,6385,0.19,3.2
121.12,6386,0.1,3.22
121.2,6390,-0.19,3.27
121.23,6391,-0.2,3.22
121.3,6394,-0.48,3.45
121.33,6395,-0.09,3.12
121.41,6399,-0.1,3.19
121.44,6400,-0.22,3.27
121.51,6403,-0.38,3.18
121.62,6407,-0.06,3.18
121.66,6409,-0.26,3.28
121.74,6412,-0.61,3.44
121.77,6414,-0.11,3.37
121.85,6417,0,3.22
121.89,6419,0.19,3.29
121.97,6422,-0.12,3.07
122,6423,-0.9,3.6
122.08,6427,0.17,3.2
122.11,6428,0.06,3.37
122.12,6428,-0.02,3.31
122.14,6429,-0.06,3.33
122.2,6432,0.14,3.35
122.21,6432,-0.01,3.3
122.23,6433,0.02,3.19
122.24,6433,0.02,3.17
122.31,6436,0.03,3.38
122.31,6436,0.04,3.31
122.34,6438,-0.19,3.2
122.35,6438,0.12,3.08
122.4,6440,-0.14,3.33
122.45,6442,0.08,3.07
122.51,6445,-0.06,3.15
122.54,6446,-0.11,3.29
122.61,6449,-0.03,3.26
122.64,6450,-0.17,3.28
122.71,6453,-0.5,3.19
122.74,6454,0.02,3.28
122.81,6457,-0.03,3.32
122.84,6459,0.13,3.26
122.91,6461,-0.41,3.28
122.94,6463,-0.16,3.19
123.01,6466,0.18,3.26
123.04,6467,-0.18,3.05
123.1,6469,0,3.19
123.13,6471,0.01,3.24
123.21,6474,-0.07,3.25
123.24,6475,0.27,3.43
123.31,6478,-0.02,3.25
