U1337_ISOBENt18_CCSF,U1337_ISOBENt18_AgeL2019,U1337_ISOBENt18_d13Cequi,U1337_ISOBENt18_d18Oequi
18.82,1.32766,-0.242,3.678
18.93,1.33225,-0.511,4.286
19.02,1.33554,-0.594,4.056
19.12,1.33817,-0.735,4.324
19.22,1.34079,-0.505,4.121
19.32,1.34341,-0.562,4.171
19.42,1.34603,-0.537,4.087
19.52,1.34866,-0.45,3.969
19.62,1.35128,-0.519,4.269
19.72,1.35473,-0.349,3.899
19.82,1.36006,-0.008,3.776
19.92,1.36628,-0.306,4.16
20.02,1.37252,-0.289,4.2
20.12,1.38264,-0.322,4.184
20.22,1.39174,-0.188,3.988
20.32,1.39964,-0.51,4.229
20.42,1.40507,-0.926,4.406
20.52,1.40994,-0.199,3.861
20.72,1.42231,-0.309,3.926
20.82,1.42831,0.035,3.038
20.92,1.43432,-0.545,3.707
21.02,1.44087,-0.74,3.589
21.12,1.44842,-1.035,3.688
21.32,1.46415,-0.428,4.14
21.42,1.47254,-0.326,3.662
21.52,1.48093,-0.191,4.404
21.62,1.48747,-1.503,4.212
21.72,1.49387,0.232,4.22
21.92,1.50518,0.312,3.798
22.02,1.51061,-0.341,4.19
22.22,1.52144,-0.458,4.35
22.32,1.52599,-0.588,4.63
22.52,1.53452,-0.499,4.291
22.62,1.53879,-0.82,4.412
22.72,1.54292,-0.808,3.974
22.82,1.54699,-0.154,3.815
23.12,1.5592,-0.608,4.212
23.32,1.56641,-0.189,4.084
23.42,1.56977,-0.419,3.883
23.72,1.58253,-0.619,4.326
23.82,1.58799,-0.717,3.794
24.12,1.60647,-1.127,3.995
24.22,1.61265,-0.841,4.327
24.42,1.6267,-0.219,3.907
24.52,1.63284,-0.381,4.149
24.62,1.63839,-1.717,4.095
24.72,1.64435,-1.158,4.677
24.82,1.65032,-0.736,4.249
24.92,1.65686,-0.409,4.205
25.02,1.66433,-0.849,4.105
25.12,1.6718,-0.584,4.08
25.22,1.67909,-0.412,4.042
25.32,1.68618,-0.632,3.736
25.43,1.69397,-0.801,4.185
25.62,1.70753,-0.315,3.819
25.82,1.72239,-0.525,3.624
25.92,1.72977,-0.347,3.859
26.02,1.73706,-0.384,3.825
26.12,1.74435,-0.545,4.017
26.22,1.75197,-0.199,3.95
26.32,1.75996,-0.405,3.976
26.42,1.76761,-0.142,3.649
26.51,1.77304,-0.222,3.578
26.62,1.77988,-0.472,4.004
26.72,1.7882,-0.669,4.028
26.82,1.79797,-0.445,4.14
26.93,1.80955,-0.629,4.054
27.03,1.81867,-0.46,3.892
27.12,1.8269,-0.24,3.773
27.21,1.83591,-0.309,3.816
27.32,1.84574,-0.029,3.665
27.42,1.85303,-0.367,3.846
27.62,1.86762,-0.599,3.611
28.12,1.89977,-0.423,4.001
28.22,1.90603,-0.499,3.975
28.32,1.9121,-0.436,4.097
28.43,1.91657,-0.202,2.696
28.52,1.92389,-0.142,3.723
28.62,1.93407,-0.232,3.801
28.82,1.95564,-0.712,3.782
29.02,1.97381,-0.269,3.354
29.12,1.9807,-0.073,3.349
29.22,1.98725,-0.447,3.641
29.32,1.99092,-0.107,3.887
29.42,1.99554,-0.096,3.92
29.52,2.00332,0.036,3.514
29.62,2.00813,-0.181,3.513
29.72,2.01294,-0.05,3.717
29.82,2.01776,-0.157,3.7
29.92,2.02257,0.064,3.897
30.02,2.02738,-0.184,3.795
30.12,2.0322,-0.747,4.14
30.22,2.03691,-0.879,4.07
30.42,2.04824,-0.593,3.947
30.52,2.05438,-0.629,4.03
30.62,2.06032,-0.6,4.119
30.72,2.06444,-0.767,3.973
30.92,2.07275,-0.108,3.348
31.02,2.07703,-0.108,3.596
31.12,2.08131,-0.468,4.086
31.22,2.08558,-0.264,3.877
31.32,2.0898,-0.781,4.124
31.42,2.09437,-0.583,4.193
31.52,2.10019,-0.925,4.215
31.62,2.1093,-0.618,3.945
31.72,2.1184,-0.449,3.986
31.82,2.12751,-0.123,3.679
31.92,2.13662,-0.438,3.718
32.02,2.14475,-0.216,3.764
32.12,2.15479,-0.392,3.814
32.22,2.1676,-0.261,3.634
32.32,2.18077,-0.201,3.438
32.42,2.19394,-0.281,3.576
32.52,2.20528,-0.67,4.15
32.62,2.21029,-0.335,4.21
32.72,2.21373,-0.2,3.53
32.82,2.21741,-0.272,3.779
32.92,2.22128,-0.174,3.73
33.02,2.22515,0.001,3.459
33.12,2.22902,-0.581,3.983
