U1337_ISOBENt18_CCSF,U1337_ISOBENt18_AgeL2019,U1337_ISOBENt18_d13Cequi,U1337_ISOBENt18_d18Oequi
92.12,5.17224,-0.776,3.318
92.22,5.17984,-0.135,3.205
92.3,5.18696,0.04,3.083
92.42,5.19764,0.056,3.112
92.52,5.20655,-0.006,3.092
92.62,5.21545,0.012,3.185
92.72,5.22435,-0.057,3.098
92.84,5.23503,-0.082,3.072
92.92,5.24125,-0.213,3.206
93.02,5.24768,-0.127,3.242
93.12,5.2504,-0.272,3.033
93.22,5.25313,-0.153,3.299
93.34,5.2564,-0.162,3.18
93.43,5.25885,0.06,3.187
93.52,5.2613,0.14,3.24
93.62,5.26402,-0.257,3.39
93.72,5.26769,0.199,3.133
93.82,5.27137,0.1,3.216
93.92,5.27504,0.046,2.63
94.02,5.27871,0.142,3.138
94.12,5.28238,0.003,2.872
94.22,5.28606,-0.575,3.041
94.32,5.28973,0.101,3.295
94.42,5.2934,0.381,3.246
94.52,5.29707,0.265,3.225
94.62,5.30074,0.341,3.143
94.72,5.30441,0.338,3.176
94.82,5.31031,0.017,3.029
94.92,5.31841,0.096,3.072
95.02,5.32652,0.162,3.159
95.12,5.33312,0.201,3.113
95.22,5.33973,0.207,2.68
95.32,5.34634,-0.598,3.382
95.42,5.35294,-0.422,3.322
95.62,5.36363,0.183,3.217
95.72,5.36855,0.339,3.115
95.82,5.37347,-0.136,3.293
95.92,5.3784,-0.045,3.165
96.02,5.38332,0.257,3.041
96.12,5.38824,-0.638,3.744
96.22,5.39256,0.197,3.242
96.32,5.39628,0.069,3.274
96.42,5.39999,0.103,3.045
96.52,5.40371,0.089,3.162
96.62,5.40743,0.145,3.043
96.72,5.41114,0.071,3.134
96.82,5.41485,-0.061,2.95
96.92,5.41857,-0.071,3.013
97.02,5.4225,0.038,3.128
97.12,5.42662,-0.021,3.109
97.22,5.43075,0.015,2.94
97.32,5.43488,-0.153,2.977
97.52,5.44105,-0.323,3.124
97.62,5.44309,-0.061,3.238
97.72,5.44512,-0.112,2.944
97.82,5.44716,-0.114,3.033
97.92,5.4492,-0.158,3.103
98.02,5.45149,-0.099,3.269
98.12,5.45479,0.098,3.023
98.22,5.45808,0.108,3.039
98.32,5.46137,0.095,3.029
98.42,5.46466,0.155,3.169
98.52,5.46796,0.016,3.247
98.62,5.47125,0.195,3.095
98.71,5.47422,0.033,3.024
98.82,5.47831,0.256,3.181
98.92,5.48396,0.26,3.235
99.02,5.48961,-0.061,2.927
99.12,5.49526,0.158,2.985
99.22,5.50092,0.123,3.229
99.32,5.50656,-0.053,3.175
99.42,5.51165,-0.091,2.911
99.52,5.51649,-0.249,2.89
99.62,5.52133,-0.375,2.687
99.72,5.52666,0.05,3.11
99.82,5.53218,-0.172,3.08
99.92,5.53771,-0.211,2.683
100.02,5.54257,-0.539,3.547
100.12,5.54723,-0.512,3.569
100.21,5.55136,-0.485,3.47
100.31,5.55534,-0.391,3.314
100.42,5.55972,-0.065,3.156
100.52,5.56371,0.009,2.983
100.62,5.56769,0.106,3.021
100.72,5.57167,-0.271,3.089
100.82,5.57626,-0.115,3.171
100.92,5.58109,-0.194,3.015
101.02,5.58593,-0.279,3.322
101.12,5.59077,-0.419,3.313
101.22,5.59561,-0.347,3.389
101.28,5.59877,-0.226,3.207
101.42,5.60674,0.135,3.281
101.52,5.61243,-0.07,3.134
101.62,5.61801,-0.231,3.281
101.71,5.62302,-0.097,3.188
101.84,5.63026,0.082,3.014
101.92,5.63426,-0.267,2.855
102.02,5.63761,-0.328,3.068
102.12,5.64094,-0.019,3.153
102.22,5.64428,-0.039,3.222
102.32,5.64762,-0.068,3.205
102.42,5.65096,-0.02,3.166
102.52,5.6543,-0.059,3.097
102.62,5.65764,0.025,3.044
102.72,5.66123,0.09,3.129
102.82,5.66493,0.063,3.165
102.92,5.66863,-0.018,3.087
103.02,5.67233,0.247,3.156
103.12,5.67603,0.149,3.254
103.21,5.67936,0.158,3.038
103.31,5.68306,-0.203,3.318
103.52,5.69109,-0.28,3.189
103.62,5.6961,-0.108,3.125
103.72,5.70111,-0.042,3.109
103.82,5.70612,0.045,3.131
103.92,5.71071,0.204,3.302
104.02,5.71362,-0.117,3.055
104.12,5.71652,0.052,3.12
104.22,5.71943,0.126,3.13
104.32,5.72234,0.002,2.987
104.42,5.72594,0.163,3.083
104.52,5.72983,-0.131,3.144
104.62,5.73445,-0.407,3.5
104.72,5.73939,-0.552,3.612
104.82,5.74433,-0.499,3.617
104.92,5.74927,-0.37,3.472
105.02,5.7542,-0.599,3.603
105.12,5.75891,-0.286,3.349
105.22,5.76352,-0.157,3.197
105.42,5.77274,-0.507,3.169
105.52,5.77735,0.027,3.2
105.62,5.78196,0.003,3.195
105.72,5.78636,-0.02,3.167
105.82,5.78988,-0.166,3.244
105.92,5.79341,-0.423,3.2
106.02,5.79693,-0.626,3.636
106.22,5.80113,-0.502,3.1
106.32,5.80297,-0.198,3.2
106.42,5.80482,-0.309,3.242
106.52,5.80666,-0.309,3.142
106.62,5.80851,-0.215,3.14
106.82,5.8122,-0.347,3.099
106.92,5.81404,-0.785,3.007
107.02,5.81589,-0.217,3.139
107.12,5.81773,-0.412,3.09
107.22,5.81957,-0.18,3.2
107.32,5.82142,-0.644,3.314
107.52,5.82702,-0.586,3.283
107.62,5.82999,-0.378,3.304
107.72,5.83296,-0.34,3.09
107.82,5.83593,-0.223,3.132
107.92,5.8389,-0.162,3.005
108.02,5.84186,-0.071,3.046
108.12,5.84483,-0.204,3.14
108.22,5.8478,-0.145,3.071
108.32,5.85106,-0.353,2.9
108.42,5.85547,-0.414,3.142
108.52,5.85987,-0.285,3.012
108.62,5.86428,-0.475,3.11
108.72,5.86869,-0.488,2.972
108.82,5.8731,-0.477,3.145
108.92,5.87751,-0.435,3.046
109.02,5.88191,-0.503,3.191
109.12,5.88652,-0.276,2.984
109.22,5.8919,-0.6,3.229
109.32,5.89727,-0.698,2.859
109.42,5.90265,-0.678,2.892
109.52,5.90803,-0.947,3.241
109.62,5.91341,-0.592,2.903
109.72,5.91847,-0.297,2.938
109.82,5.9228,-0.773,3.132
109.92,5.92712,-0.41,2.883
110.02,5.93145,-0.378,2.982
110.12,5.93577,-0.461,3.161
110.22,5.94057,-0.265,3.155
110.32,5.94676,-0.31,3.008
110.42,5.95296,-0.337,3.089
110.52,5.95829,-0.502,3.194
110.62,5.96341,-0.483,3.235
110.72,5.96853,-0.344,3.206
110.82,5.97364,-0.355,3.036
110.92,5.97876,-0.137,3.031
111.02,5.98288,0.024,3.085
111.12,5.9861,0.032,3.267
111.22,5.98931,-0.045,3.226
111.32,5.99273,-0.073,3.259
111.42,5.99614,-0.464,3.106
111.52,5.99956,-0.59,3.249
111.62,6.00298,-0.39,3.29
111.72,6.00639,-0.787,3.487
111.82,6.00981,-0.193,2.991
111.92,6.01323,-0.144,3.196
112.02,6.01664,-0.274,3.176
112.12,6.02006,-0.401,3.144
112.22,6.02348,-0.359,3.218
112.32,6.02702,-0.496,3.133
112.42,6.03107,-0.416,3.285
112.52,6.03524,-0.213,3.249
112.62,6.03941,-0.112,3.224
112.72,6.04358,-0.258,3.21
112.82,6.04775,0.014,3.068
112.92,6.05193,0.041,3.175
113.02,6.05682,-0.203,3.063
113.12,6.06237,-0.308,3.147
113.22,6.06791,-0.417,3.235
113.32,6.07347,-0.478,3.35
113.42,6.07761,-0.887,3.405
113.52,6.0814,-0.09,3.224
113.62,6.08526,0.215,3.176
113.72,6.08929,-0.208,3.14
113.82,6.09333,0.067,3.137
113.92,6.09734,-0.088,2.924
114.02,6.10111,-0.376,3.036
114.12,6.1048,-0.369,3.197
114.22,6.10848,-0.415,3.142
114.32,6.11216,-0.351,3.043
114.42,6.11585,-0.742,3.267
114.52,6.11952,-0.537,3.251
114.62,6.12321,-0.338,3.322
114.72,6.12746,-0.097,3.17
114.82,6.13228,0.157,3.175
114.92,6.13703,-0.018,3.09
115.02,6.14132,-0.018,3.223
115.12,6.1454,-0.122,3.293
115.22,6.14948,-0.399,3.316
115.32,6.15356,-0.141,3.104
115.42,6.1581,-0.069,3.053
115.52,6.16276,0.047,3.079
115.62,6.16742,0.022,3.136
115.72,6.17208,-0.333,2.885
115.82,6.17673,-0.11,3.162
115.92,6.1814,-0.027,3.029
116.02,6.18608,-0.518,3.194
116.12,6.19077,-0.272,3.007
116.22,6.19545,-0.391,3.133
116.32,6.20014,-0.522,3.228
116.42,6.20475,-0.031,3.248
116.52,6.20919,0.003,2.999
116.62,6.21362,0.05,3.093
116.72,6.21806,-0.141,3.249
116.82,6.22572,-0.223,3.272
116.92,6.23432,-0.237,2.952
117.02,6.23954,-0.462,3.298
117.12,6.24392,-0.451,3.344
117.22,6.2483,0.01,3.298
117.32,6.25268,0.005,3.262
117.42,6.25705,0.201,3.129
117.52,6.26143,0.072,3.315
117.62,6.26581,-0.034,3.323
117.72,6.27019,-0.153,3.148
117.82,6.27511,-0.085,3.166
117.92,6.28016,-0.586,3.274
118.02,6.28522,-0.286,3.385
118.12,6.29026,-0.891,3.215
118.22,6.29386,-0.283,3.175
118.32,6.29729,-0.107,3.091
118.42,6.29971,-0.12,2.458
118.52,6.30171,-0.284,3.011
118.62,6.30372,-0.013,3.28
118.72,6.30573,-0.165,3.216
118.82,6.30774,-0.639,3.055
118.92,6.30974,-0.229,3.146
119.02,6.31175,-0.493,3.241
119.12,6.31376,-0.671,3.241
119.22,6.31659,-0.265,3.144
119.32,6.31962,-0.083,3.236
119.42,6.32266,0,3.304
119.52,6.3257,-0.118,3.224
119.62,6.32873,0.073,3.271
119.72,6.33176,-0.104,3.292
119.82,6.3348,-0.077,3.178
119.92,6.33784,-0.053,3.096
120.02,6.3408,0.171,3.299
120.12,6.3445,0.09,3.041
120.22,6.34877,-0.281,3.223
120.32,6.35303,-0.247,3.218
120.42,6.35731,-0.213,3.378
120.52,6.36158,-0.392,3.305
120.62,6.36515,-0.405,3.106
120.72,6.36767,-1.033,3.427
120.82,6.3702,0.113,3.322
120.92,6.37273,-0.05,3.199
121.02,6.37525,-0.055,3.325
121.12,6.37778,0.189,3.178
121.22,6.38038,-0.096,3.197
121.32,6.38304,-0.323,3.211
121.42,6.3857,-0.525,3.357
121.52,6.38835,-0.365,3.216
121.62,6.39121,-0.195,3.271
121.72,6.39499,-0.718,3.388
121.82,6.39897,0.151,3.313
121.92,6.40365,-0.129,3.107
122.02,6.40878,0.14,3.269
122.07,6.41135,-0.762,3.53
122.12,6.41392,-0.009,3.21
122.17,6.41649,0.113,3.308
122.22,6.41906,-0.224,3.203
122.27,6.42163,-0.224,3.222
122.32,6.4242,-0.055,3.251
122.37,6.42677,-0.002,3.117
122.42,6.42943,-0.145,3.247
122.47,6.43224,0.034,3.209
122.52,6.43525,-0.067,3.256
122.57,6.43827,0,3.455
122.62,6.44128,-0.064,3.202
122.67,6.4443,-0.121,3.328
122.77,6.45032,-0.179,3.214
122.87,6.45635,-0.057,3.401
122.97,6.46267,-0.001,3.162
123.07,6.46866,-0.063,3.184
123.17,6.47363,0.053,3.165
123.27,6.47838,-0.056,3.342
123.37,6.48314,0.028,3.117
123.47,6.48789,0.04,3.314
123.62,6.49503,-0.28,3.236
123.72,6.49978,-0.137,3.258
123.82,6.50454,-0.281,3.146
123.94,6.5098,-0.207,3.329
124.03,6.5134,-0.309,3.189
124.12,6.517,-0.687,3.514
124.22,6.52101,0.069,3.182
124.32,6.52502,-0.217,3.382
124.42,6.52903,-0.117,3.264
124.52,6.53303,-0.38,3.329
124.62,6.53703,0.02,3.251
124.72,6.54091,-0.189,3.201
124.82,6.54472,-0.398,3.262
124.92,6.54851,-0.425,3.286
125.01,6.55193,-0.446,3.173
125.12,6.55611,-0.318,3.207
125.22,6.5613,-0.785,3.178
125.32,6.5711,-0.348,3.266
125.43,6.58364,-0.427,3.056
125.52,6.58838,-0.421,3.243
125.62,6.5931,-0.837,3.335
125.72,6.59749,-0.529,3.173
125.82,6.60189,-0.011,2.918
125.92,6.60628,-0.213,3.176
126.02,6.61067,-0.236,3.104
126.12,6.6149,-0.114,3.348
126.22,6.61756,-0.207,3.374
126.32,6.62023,-0.093,3.169
126.42,6.6229,-0.377,3.267
126.51,6.6253,-0.266,3.293
126.62,6.62823,0.014,3.398
126.72,6.6309,-0.416,3.304
126.82,6.63357,-0.396,3.287
126.92,6.63624,-0.109,3.167
127.02,6.6389,-0.22,3.188
127.12,6.64157,-0.653,3.274
127.22,6.64424,-0.237,3.225
127.32,6.64812,-0.512,3.253
127.42,6.65214,-0.281,3.218
127.52,6.65616,-0.32,3.312
127.62,6.66018,-0.259,3.247
127.72,6.66419,-0.247,3.342
127.82,6.66821,-0.112,3.134
127.92,6.67222,-0.472,3.089
128.02,6.676,-0.419,2.895
128.12,6.67908,-0.441,3.017
128.22,6.68198,-0.66,3.102
128.42,6.68788,-0.601,3.267
128.52,6.69093,-0.257,3.298
128.62,6.69399,-0.625,3.208
128.72,6.69704,-0.276,3.321
128.82,6.70009,-0.373,2.934
129.02,6.7062,-0.346,3.345
129.12,6.70925,-0.13,3.349
129.22,6.7138,-0.057,3.209
129.32,6.719,-0.277,3.209
129.42,6.72419,-0.144,3.164
129.52,6.72938,-0.173,3.237
129.62,6.73457,-0.034,3.294
129.72,6.73977,-0.062,3.17
129.82,6.74482,-0.322,3.237
129.92,6.74863,-0.31,3.174
130.02,6.75223,0.05,3.134
130.12,6.75548,-0.242,3.206
130.22,6.75874,-0.12,3.175
130.32,6.762,-0.269,3.058
130.42,6.76526,-0.208,3.062
130.52,6.76852,-0.38,3.203
130.62,6.77178,-0.406,3.119
130.72,6.77503,-0.267,3.246
130.92,6.78183,-0.288,3.155
131.02,6.78549,-0.248,3.134
131.12,6.78916,-0.087,2.926
131.22,6.79271,-0.045,3.122
131.32,6.79618,-0.114,2.853
131.42,6.79972,0.105,3.218
131.62,6.80681,-0.085,3.313
131.72,6.81035,-0.42,3.322
131.82,6.8139,-0.035,3.189
131.92,6.81735,-0.291,3.122
132.02,6.82043,-0.08,3.344
132.12,6.8235,0.145,3.253
132.22,6.82657,-0.293,3.162
132.32,6.82965,-0.311,3.155
132.42,6.83273,0.113,3.17
132.52,6.8358,0.145,3.356
132.62,6.83888,-0.094,3.201
132.72,6.84196,0.072,3.2
132.82,6.84502,-0.002,3.256
132.92,6.84798,-0.122,3.188
133.02,6.85088,-0.473,3.139
133.12,6.85378,-0.329,3.277
133.22,6.85668,-0.488,3.372
133.32,6.85916,-0.466,3.255
133.42,6.86146,-0.315,3.262
133.62,6.86606,0.026,3.171
133.72,6.86836,-0.045,3.147
133.82,6.87065,0.024,3.138
133.92,6.87296,0.068,3.123
134.02,6.87525,-0.118,3.138
134.12,6.87755,-0.102,3.098
134.22,6.87985,-0.088,3.193
134.32,6.88215,-0.122,3.186
134.42,6.88423,-0.098,3.197
134.52,6.88581,-0.378,3.293
134.62,6.88732,-0.131,3.23
134.71,6.88868,-0.199,3.198
134.82,6.89067,-0.119,3.229
134.92,6.89266,-0.427,3.131
135.02,6.89465,-0.135,3.153
135.12,6.89664,-0.311,3.094
135.22,6.89862,-0.362,3.153
135.32,6.90068,-1.047,3.493
135.42,6.90278,-0.416,3.096
135.52,6.90489,-0.38,3.221
135.62,6.907,-0.243,3.216
135.72,6.90911,0.034,3.291
135.82,6.91122,-0.151,3.202
135.92,6.91333,-0.108,3.024
136.02,6.91544,0.005,3.103
136.12,6.91754,-0.192,3.122
136.21,6.91982,-0.178,3.253
136.32,6.9241,-0.308,3.201
136.42,6.92804,-0.395,3.181
136.52,6.93198,-0.272,2.962
136.62,6.93591,-0.039,3.309
136.72,6.93986,-0.162,3.226
136.82,6.9438,-0.341,3.152
136.92,6.94774,-0.264,3.181
137.02,6.95168,-0.127,3.235
137.12,6.95506,-0.103,3.073
137.22,6.95843,-0.153,2.896
137.32,6.96198,-0.283,2.838
137.42,6.96601,-0.483,2.988
137.52,6.97005,-0.313,3.048
137.62,6.97409,-0.222,3.149
137.71,6.97754,-0.311,3.286
137.82,6.98175,0.002,3.262
137.92,6.98707,0.251,2.98
138.02,6.99248,0.172,3.073
138.12,6.99788,0.273,3.024
138.22,7.00328,-0.258,3.128
138.32,7.00869,0.11,3.073
138.42,7.0141,0.124,3.112
138.52,7.01937,-0.08,3.303
138.62,7.02451,-0.051,3.29
138.72,7.02965,0.098,3.116
138.82,7.03479,-0.007,2.99
138.92,7.03803,0.102,3.059
139.02,7.04118,0.237,3.016
139.12,7.04434,0.036,3.065
139.22,7.04749,0.097,3.102
139.32,7.05064,-0.088,3.004
139.42,7.05379,-0.17,3.04
139.52,7.05797,-0.39,3.243
139.62,7.06454,0.05,2.971
139.72,7.07111,0.061,3.1
139.82,7.0776,0.334,2.773
139.92,7.08356,-0.108,2.693
140.02,7.08723,0.332,2.792
140.12,7.09063,0.288,2.851
140.22,7.09404,0.394,3.112
140.32,7.09745,0.198,3.318
140.42,7.10086,0.15,3.181
140.52,7.10426,0.743,3.139
140.62,7.10767,0.346,3.14
140.72,7.11108,0.341,3.096
140.82,7.11449,0.486,3.089
140.92,7.11789,0.235,2.986
141.02,7.1213,0.308,2.976
141.12,7.12448,0.055,3.037
141.22,7.12756,-0.16,2.992
141.32,7.13109,0.276,2.934
141.42,7.13461,-0.057,2.932
141.52,7.13814,0.028,3.293
141.62,7.14166,0.188,2.952
141.72,7.14518,0.149,2.917
141.82,7.14872,0.171,2.703
141.92,7.1519,0.517,3.006
142.02,7.15508,-1.02,3.136
142.12,7.15842,0.081,3.121
142.22,7.16201,-0.291,3.208
142.32,7.1656,0.212,3.026
142.42,7.16919,0.047,2.867
142.52,7.17278,0.015,2.832
142.62,7.17637,-0.278,3.132
142.72,7.17872,0.048,3.218
142.82,7.18107,-0.109,2.976
142.92,7.18343,0.363,2.92
143.02,7.18578,0.205,2.788
143.12,7.18813,0.41,3.002
143.22,7.19049,0.229,3
143.32,7.19298,0.351,3.05
143.42,7.19613,0.301,3.025
143.52,7.19949,0.114,3.228
143.62,7.20285,0.315,3.081
143.72,7.20621,0.454,3.178
143.82,7.20957,0.164,2.942
143.92,7.21292,0.336,2.916
144.12,7.21965,0.288,2.933
144.24,7.22709,0.253,2.853
144.32,7.2332,0.284,2.989
144.42,7.24078,0.355,3.053
144.52,7.24619,0.227,2.994
144.62,7.25114,0.205,3.088
144.72,7.25609,0.503,3.16
144.92,7.26599,0.332,3.027
145.02,7.27093,0.482,3.008
145.12,7.27589,0.296,2.882
145.21,7.28037,0.581,2.862
145.32,7.2858,0.465,2.929
145.42,7.28991,0.34,2.94
145.52,7.29401,0.116,3.176
145.62,7.29813,0.28,3.091
145.72,7.30223,0.052,3.018
145.82,7.30635,0.231,3.055
145.92,7.31046,0.312,3.237
146.02,7.31439,0.298,2.878
146.12,7.31826,0.242,2.949
146.22,7.32224,0.474,2.714
146.31,7.32621,0.291,2.838
146.42,7.33116,0.374,2.763
146.52,7.33521,0.326,3.175
146.62,7.3392,0.164,3.078
146.73,7.34359,0.378,3.16
146.83,7.34758,0.326,2.914
146.92,7.35117,0.198,2.939
147.02,7.35517,0.459,3.025
147.12,7.35916,0.286,2.849
147.22,7.36321,0.52,2.856
147.32,7.36741,0.392,2.831
147.41,7.3712,0.544,2.917
147.52,7.37582,0.084,2.993
147.62,7.38002,0.25,3.259
147.72,7.38422,0.3,3.153
147.81,7.388,0.322,3.226
147.92,7.39214,0.365,3.002
148.02,7.39555,0.452,3.212
148.12,7.39896,0.419,2.994
148.23,7.40271,0.65,3.015
148.32,7.40578,0.519,3.059
148.42,7.40919,0.439,2.982
148.52,7.4126,0.384,2.757
148.62,7.41601,0.384,3.281
148.72,7.41964,0.123,3.275
148.82,7.4236,0.311,3.102
148.91,7.42716,0.626,3.249
148.92,7.42755,0.482,3.114
149.02,7.4315,0.061,3.097
149.12,7.43578,0.24,2.801
149.22,7.44164,0.388,2.832
149.31,7.447,0.519,3.031
149.42,7.45356,0.446,2.959
149.52,7.45952,0.451,3.203
149.62,7.46547,0.251,3.205
149.72,7.47081,0.126,3.25
149.82,7.47589,0.43,2.802
149.92,7.48135,0.418,2.885
150.02,7.48713,0.384,2.778
150.12,7.49299,0.596,3.096
150.22,7.49885,0.583,2.88
150.32,7.50471,0.488,3.188
150.42,7.51057,0.532,3.076
150.52,7.51642,0.546,3.165
150.62,7.52222,0.452,3.16
150.72,7.52657,0.698,2.978
150.82,7.52942,0.721,3.048
150.92,7.53225,0.534,3.069
151.02,7.53508,0.595,2.965
151.12,7.53846,0.193,3.238
151.22,7.54404,0.714,3.115
151.32,7.54961,0.575,3.13
151.42,7.55519,0.78,3.176
151.52,7.56077,0.748,3.134
151.62,7.56632,0.542,2.992
151.72,7.57312,0.535,3.129
151.82,7.58012,0.516,3.205
151.92,7.58616,0.614,3.247
152.02,7.59078,0.746,2.944
152.12,7.59542,0.743,3.066
152.22,7.60024,0.568,2.948
152.32,7.60512,0.927,2.929
152.42,7.60999,0.764,2.842
152.52,7.61486,0.724,3.305
152.62,7.61897,0.588,3.198
152.72,7.62256,0.644,3.312
152.82,7.62614,0.852,3.233
152.92,7.62973,0.637,3.205
153.12,7.63631,0.482,3.202
153.22,7.63915,0.575,3.359
153.32,7.64199,0.493,3.032
153.42,7.64483,0.776,3.078
153.52,7.64797,0.856,2.999
153.62,7.65143,0.621,3.076
153.72,7.6553,0.528,3.317
153.8,7.6584,0.653,3.375
153.9,7.66227,0.391,3.21
154.02,7.66692,0.486,3.102
154.12,7.67079,0.397,3.256
154.22,7.67465,0.532,3.154
154.32,7.67852,0.64,3.145
154.62,7.69464,0.715,3.256
154.72,7.70118,0.369,3.438
154.82,7.70574,0.731,3.421
154.88,7.70824,0.704,3.375
155.02,7.71408,0.777,3.203
155.12,7.71824,0.259,3.28
155.22,7.7224,0.511,3.376
155.3,7.72573,0.614,3.229
155.42,7.73073,0.79,3.197
155.52,7.73398,0.18,3.21
155.62,7.73663,0.507,3.043
155.72,7.73928,0.142,3.182
155.82,7.74192,0.771,3.163
155.92,7.74456,0.44,3.12
156.02,7.7472,0.695,3.214
156.12,7.74985,0.534,3.281
156.22,7.75247,0.711,3.226
156.32,7.75502,0.437,3.038
156.42,7.75758,0.084,3.376
156.52,7.76014,0.595,3.183
156.62,7.7627,0.628,3.068
157.32,7.7963,0.34,2.968
157.42,7.80098,0.688,3.188
157.52,7.80544,0.675,3.06
157.62,7.80952,0.924,3.144
157.72,7.81307,0.701,3.065
157.82,7.81599,0.516,3.184
157.92,7.8189,0.638,3.37
158.02,7.82182,0.707,3.4
158.12,7.82473,0.696,3.283
158.22,7.82765,0.894,3.382
158.32,7.83124,0.571,3.197
158.42,7.83483,0.647,3.265
158.52,7.83842,0.662,3.191
158.62,7.842,0.756,3.332
158.72,7.8456,0.632,3.255
158.82,7.84918,0.033,3.415
158.92,7.85278,-0.248,3.154
159.02,7.85636,0.518,3.103
159.12,7.86113,-0.171,3.078
159.22,7.86506,-0.516,3.383
159.42,7.87323,-0.113,3.101
159.52,7.87731,0.228,2.978
159.62,7.88131,0.237,2.831
159.72,7.88521,0.109,3.125
159.82,7.88892,-0.178,3.259
159.9,7.89172,-0.103,3.207
160.02,7.89592,0.486,3.277
160.12,7.89941,0.074,3.108
160.22,7.90291,0.2,3.059
160.32,7.90641,0.034,3.249
160.42,7.90991,0.157,3.148
160.52,7.9149,0.31,3.242
160.62,7.92054,0.464,3.263
160.72,7.92618,0.357,3.129
160.82,7.93174,0.476,3.397
160.82,7.93174,0.703,2.97
160.92,7.93727,0.229,3.258
161.02,7.9428,0.41,3.285
161.12,7.94833,0.45,3.104
161.22,7.95387,0.064,3.321
161.32,7.95941,0.386,3.132
161.42,7.96502,0.181,3.2
161.52,7.97079,0.177,2.972
161.62,7.97638,-0.173,2.364
161.72,7.98198,0.227,3.014
161.82,7.98758,-0.03,3.096
161.92,7.99318,0.254,2.865
162.02,7.99845,0.087,3.292
162.12,8.0036,0.547,3.128
162.22,8.00876,0.55,2.912
162.42,8.01919,0.699,3.072
162.52,8.02491,0.482,3.032
162.62,8.03062,0.439,2.883
162.72,8.03634,0.004,3.342
162.82,8.04266,0.625,3.313
162.92,8.04899,0.303,2.88
163.02,8.055,0.544,3.212
163.12,8.06005,0.553,3.131
163.22,8.0651,0.308,3.029
163.32,8.07015,0.668,3.036
163.42,8.07521,0.649,3.108
163.52,8.0801,0.61,3.123
163.62,8.08489,0.555,3.152
163.72,8.08967,0.309,3.104
163.82,8.09446,0.229,3.303
163.92,8.09925,0.473,3.078
164.02,8.10403,0.625,3.01
164.12,8.10882,0.494,3.167
164.22,8.11361,0.649,2.73
164.32,8.11839,0.555,3.186
164.42,8.12318,0.529,3.139
164.52,8.12799,0.677,3.143
164.62,8.13284,0.653,3.245
164.72,8.13769,0.581,3.12
164.82,8.14254,0.293,3.338
164.92,8.14739,0.297,2.857
165.02,8.15224,0.552,3.153
165.12,8.15709,0.56,3.032
165.22,8.16194,0.492,3.017
165.32,8.1674,0.709,2.859
165.42,8.17312,0.369,3.16
165.44,8.17427,0.35,3.019
165.62,8.18467,0.224,3.243
165.72,8.19077,0.403,2.844
165.82,8.19648,0.59,3.29
165.92,8.20209,0.756,3.091
166.02,8.20771,0.728,2.849
166.12,8.21332,0.873,3.036
166.22,8.21894,0.824,3.222
166.32,8.22455,0.827,3.11
166.42,8.23016,0.673,3.167
166.52,8.23606,0.668,3.053
166.62,8.24452,0.706,3.2
166.72,8.25298,0.622,2.944
166.82,8.26144,0.566,3.14
167,8.27666,0.701,3.035
167.12,8.28681,0.645,3.121
167.32,8.30306,0.482,2.87
167.42,8.30931,0.397,2.9
167.52,8.31556,0.588,2.915
167.62,8.32181,0.577,3.068
167.72,8.32806,0.577,3.174
167.82,8.3343,0.044,3.012
167.92,8.34055,0.35,3.315
168.02,8.34602,0.267,3.4
168.12,8.35096,0.502,3.397
168.22,8.3559,0.654,3.096
168.32,8.36085,0.179,3.292
168.42,8.36579,0.58,3.272
168.5,8.36975,0.424,3.133
168.62,8.37568,0.475,3.179
168.72,8.38062,0.547,3.333
168.82,8.38557,0.389,3.123
168.92,8.39051,0.46,3.206
169.02,8.39559,0.24,3.103
169.12,8.40124,0.548,4.222
169.22,8.40688,0.303,3.168
169.32,8.41252,0.437,3.094
169.42,8.41816,0.467,2.718
169.52,8.42391,0.338,3.211
169.62,8.4301,0.164,2.928
169.72,8.43629,0.131,3.161
169.82,8.44248,0.312,3.131
169.92,8.44866,0.408,3.024
170.02,8.45481,0.337,3.128
170.12,8.46079,0.453,3.045
170.22,8.46677,0.497,3.194
170.32,8.47275,0.548,3.206
170.42,8.47873,0.625,3.171
170.52,8.48471,0.862,2.963
170.62,8.49069,0.667,3.097
170.72,8.49731,0.792,3.008
170.82,8.50647,0.793,3.18
170.92,8.51563,0.698,3.229
171.02,8.52478,0.691,3.214
171.12,8.53394,0.829,3.338
171.22,8.5431,0.617,2.953
171.32,8.55226,0.636,3.05
171.42,8.56142,0.675,3.039
171.52,8.569,0.594,3.047
171.62,8.57499,0.586,3.324
171.72,8.58098,0.692,3.449
171.82,8.58697,0.684,3.323
171.92,8.59297,0.733,3.142
172.02,8.59896,0.927,3.125
172.12,8.60495,0.764,3.02
172.22,8.61095,0.746,3.14
172.32,8.61694,0.663,2.907
172.42,8.62293,0.583,3.05
172.52,8.62892,0.344,3.029
172.62,8.63492,0.457,3.324
172.72,8.64119,0.49,3.087
172.82,8.6486,0.735,3.251
172.92,8.65601,0.793,3.145
173.02,8.66341,1.044,3.093
173.12,8.67082,0.804,3.003
173.22,8.67873,0.876,3.134
173.32,8.68669,0.677,2.954
173.42,8.69465,0.675,3.489
173.52,8.70261,0.603,3.294
173.62,8.71058,0.669,3.488
173.72,8.71854,0.508,3.452
