Age model opt [ka],Cibicidoides spp. d18O [per mil PDB]
25.075,1.2
25.078,1.33
25.081,1.436
25.084,1.37
25.09,1.139
25.094,1.288
25.097,1.225
25.104,1.144
25.107,0.89
25.11,1.27
25.113,1.088
25.117,1.099
25.12,1.147
25.126,1.243
25.134,1.117
25.142,0.907
25.149,0.964
25.154,0.977
25.157,1.083
25.159,1.03
25.162,1.058
25.165,1.138
25.167,0.626
25.173,0.984
25.178,1.055
25.182,1.038
25.187,1.11
25.191,1.029
25.195,1.072
25.199,1.071
25.203,0.936
25.207,0.922
25.211,0.972
25.228,0.91
25.231,0.72
25.235,0.852
25.238,1.014
25.241,0.892
25.244,0.905
25.248,0.977
25.252,0.863
25.256,0.849
25.263,0.733
25.267,0.89
25.274,0.71
25.277,0.969
25.281,1.127
25.284,1.076
25.289,0.852
25.294,0.873
25.298,0.966
25.303,0.99
25.308,0.911
25.32,0.784
25.324,0.791
25.328,0.996
25.332,0.956
25.337,0.787
25.342,0.717
25.348,0.81
25.354,0.866
25.359,1.076
25.363,0.819
25.368,0.906
25.372,0.877
25.376,0.899
25.388,0.866
25.391,1.044
25.395,1.048
25.406,0.916
25.415,0.809
25.425,0.871
25.434,0.778
25.434,0.976
25.444,1.066
25.45,0.96
25.454,1.12
25.457,1.153
25.461,0.864
25.471,1.238
25.474,1.064
25.48,1.246
25.485,1.584
25.496,1.233
25.5,1.088
25.503,1.273
25.506,1.328
25.509,1.256
25.512,1.127
25.515,1.217
25.518,1.222
25.521,1.101
25.527,1.172
25.533,1.145
25.536,1.124
25.539,1.032
25.542,0.908
25.545,1.078
25.548,1.021
25.55,1.169
25.553,1.114
25.556,1.237
25.56,1.255
25.563,1.188
25.567,1.081
25.57,1.173
25.574,1.158
25.577,1.076
25.58,1.084
25.583,1.079
25.586,0.995
25.589,1.146
25.593,1.025
25.597,1.186
25.6,1.087
25.604,0.974
25.607,1.109
25.61,1.113
25.614,0.974
25.618,1.039
25.623,1.077
25.627,0.974
25.632,1.13
25.637,1.1
25.642,1.173
25.646,1.152
25.65,1.037
25.658,0.617
25.663,0.923
25.667,1.019
25.672,1.123
25.676,1.005
25.68,1.202
25.685,1.301
25.689,1.244
25.694,1.137
25.698,0.986
25.703,1.055
25.707,1.035
25.712,1.167
25.716,1.058
25.721,1.032
25.725,1.019
25.729,1.112
25.733,1.198
25.737,1.1
25.741,0.971
25.744,0.983
25.748,1.051
25.752,1.043
25.756,1.053
25.759,1.075
25.763,1.14
25.77,0.753
25.775,0.71
25.779,1.103
25.783,1.039
25.787,1.012
25.79,1.202
25.793,1.29
25.797,1.412
25.8,1.191
25.803,1.11
25.803,1.211
25.807,1.376
25.811,1.151
25.816,1.283
25.821,1.284
25.83,1.367
25.835,1.33
25.839,1.281
25.843,1.523
25.846,1.876
25.849,1.174
25.852,1.225
25.855,1.3
25.858,1.252
25.861,1.374
25.865,1.387
25.868,1.464
25.871,1.145
25.874,1.366
25.877,1.47
25.88,1.353
25.887,1.167
25.89,1.188
25.893,1.105
25.896,0.993
25.9,1.058
25.903,1.33
25.906,1.18
25.91,1.427
25.913,1.294
25.916,1.14
25.919,1.412
25.923,1.357
25.926,1.533
25.929,1.194
25.933,1.388
25.936,1.198
25.939,1.195
25.942,1.419
25.947,1.226
25.952,1.126
25.956,1.385
25.961,1.116
25.966,1.027
25.97,1.125
25.974,1.029
25.978,1.001
25.982,0.744
25.986,1.178
25.99,1.016
25.994,1.021
25.998,1.385
26.002,1.05
26.005,1.036
26.009,1.406
26.013,1.117
26.017,1.161
26.024,1.174
26.028,0.874
26.031,0.92
26.035,1.171
26.038,1.094
26.042,1.204
26.045,1.56
26.048,1.192
26.051,0.865
26.053,0.95
26.062,1.019
26.064,0.937
26.067,0.461
26.07,0.92
26.073,0.887
26.076,0.934
26.078,1.141
26.081,0.433
26.088,0.726
26.091,1.11
26.095,0.864
26.098,0.895
26.101,1.063
26.105,0.966
26.108,1.025
26.112,0.838
26.115,1.146
26.119,0.562
26.122,0.541
26.125,0.877
26.128,1.406
26.141,0.819
26.144,1.044
26.147,1.218
26.15,1.156
26.153,1.283
26.156,1.1
26.159,0.998
26.163,1.44
26.166,0.71
26.172,0.964
26.177,1.047
26.182,1.01
26.187,1.034
26.193,1.15
26.198,1.1
26.202,1.11
26.206,1.185
26.21,1.167
26.214,1.006
26.218,0.664
26.222,1.127
26.226,0.966
26.23,0.89
26.234,1.314
26.238,1.078
26.242,1.077
26.253,0.881
26.256,0.89
26.259,0.89
26.263,0.875
26.266,1.06
26.27,0.851
26.273,1.15
26.277,1.32
26.28,1.428
26.284,1.4
26.287,1.37
26.29,1.242
26.295,1.08
26.299,1.34
26.303,0.846
26.306,1.319
26.31,1.43
26.314,1.701
26.317,1.516
26.324,1.889
26.328,1.279
26.335,1.669
26.349,0.97
26.353,1.241
26.358,1.297
26.362,1.052
26.366,1.847
26.37,1.532
26.374,1.047
26.378,1.151
26.382,1.631
26.386,1.64
26.39,1.498
26.394,1.619
26.398,1.644
26.402,0.962
26.406,0.868
26.41,1.394
26.414,1.34
26.417,1.275
26.421,1.185
26.425,1.343
26.429,1.07
26.437,1.911
26.441,1.174
26.445,1.443
26.448,1.119
26.452,1.03
26.456,0.717
26.46,0.83
26.464,0.94
26.468,0.912
26.471,1.083
26.475,1.32
26.479,1.356
26.482,1.235
26.486,1.15
26.49,1.3
26.494,1.721
26.498,1.42
26.501,1.267
26.501,1.429
26.505,1.63
26.513,1.199
26.517,1.243
