Age model opt [ka],Cibicidoides spp. d18O [per mil PDB]
19.645,1.35
19.648,1.364
19.654,1.215
19.657,1.369
19.66,1.391
19.667,1.205
19.67,1.321
19.673,1.3
19.677,1.278
19.68,1.367
19.683,1.345
19.687,1.406
19.691,1.33
19.696,0.981
19.7,0.967
19.702,1.16
19.705,0.926
19.709,1.044
19.713,0.537
19.718,0.782
19.722,0.697
19.805,1.698
19.809,1.845
19.813,1.716
19.815,1.57
19.817,1.468
19.821,1.34
19.825,1.303
19.828,1.316
19.832,1.339
19.835,1.379
19.839,1.255
19.846,1.146
19.852,1.168
19.864,1.651
19.87,1.461
19.876,1.457
19.879,1.453
19.882,1.552
19.885,1.54
19.888,1.526
19.891,1.341
19.894,1.222
19.897,1.345
19.902,1.352
19.904,1.159
19.907,1.116
19.909,1.043
19.91,1.06
19.911,1.026
19.914,1.143
19.916,1.097
19.919,0.975
19.934,1.487
19.937,1.298
19.94,1.114
19.943,1.112
19.946,1.155
19.951,1.237
19.955,1.28
19.957,1.13
19.96,1.092
19.964,1.119
19.969,1.071
19.982,1.638
19.986,1.457
19.995,1.138
19.999,1.211
20.002,0.994
20.006,1.141
20.009,1.099
20.013,1.18
20.018,1.6
20.02,1.681
20.024,1.536
20.028,1.239
20.031,1.262
20.035,1.136
20.039,0.929
20.042,1.27
20.045,1.007
20.047,0.792
20.053,0.789
20.068,1.393
20.2,1.577
20.204,1.491
20.207,1.396
20.21,1.268
20.212,1.56
20.213,1.45
20.216,1.597
20.219,1.447
20.223,1.322
20.226,1.281
20.229,1.359
20.235,1.272
20.237,1.151
20.24,1.313
20.242,1.38
20.245,1.291
20.247,1.609
20.25,1.225
20.253,1.32
20.254,1.255
20.257,1.238
20.259,1.142
20.269,1.503
20.273,1.045
20.28,1.075
20.283,1.055
20.286,0.98
20.29,0.997
20.293,1.105
20.297,1.102
20.3,1.19
20.302,1.24
20.303,1.318
20.306,1.341
20.31,0.979
20.313,0.975
20.316,0.975
20.319,1.16
20.322,0.876
20.325,0.91
20.337,1.281
20.34,1.476
20.345,1.451
20.346,1.23
20.348,1.33
20.35,1.152
20.352,1.081
20.355,1.241
20.357,1.364
20.36,1.36
20.362,1.304
20.364,1.346
20.366,1.276
20.368,1.254
20.37,1.378
20.372,1.374
20.378,1.17
20.381,1.362
20.383,1.24
20.384,1.298
20.388,1.425
20.391,1.117
20.398,1.087
20.402,1.089
20.405,1.227
20.409,1.231
20.416,1.172
20.419,1.174
20.423,1.002
20.427,0.887
20.432,1.067
20.437,0.928
20.439,1.07
20.442,1.074
20.446,0.814
20.449,0.915
20.452,0.989
20.455,0.89
20.458,1.187
20.461,1.228
20.464,1.381
20.467,1.154
20.47,1.133
20.473,1.062
20.476,1.206
20.479,1.161
20.482,1.083
20.495,1.268
20.498,0.755
20.501,1.13
20.504,1.082
20.505,0.9
20.507,0.991
20.51,1.131
20.514,1.167
20.518,1.064
20.521,1.268
20.525,1.288
20.529,1.39
20.532,1.572
20.534,1.59
20.537,1.404
20.54,1.395
20.542,1.165
20.545,1.451
20.547,1.53
20.55,1.541
20.551,1.56
20.553,0.993
20.555,1.3
20.558,1.311
20.56,1.369
20.566,1.466
20.571,1.35
20.576,1.502
20.581,1.127
20.585,1.685
20.589,1.616
20.592,1.434
20.595,1.478
20.599,1.509
20.602,1.52
20.606,1.477
20.607,1.32
20.609,1.337
20.612,1.496
20.616,1.4
20.619,1.5
20.623,1.664
20.626,1.54
20.629,1.64
20.631,1.51
20.634,1.276
20.637,1.78
20.639,1.736
20.642,1.61
20.645,1.606
20.648,1.597
20.65,1.597
20.653,1.44
20.656,1.59
20.658,1.634
20.662,1.689
20.666,1.613
20.67,1.474
20.674,1.375
20.681,1.574
20.685,1.549
20.693,1.297
20.697,1.471
20.7,1.607
20.703,1.681
20.706,1.309
20.712,1.434
20.715,1.533
20.718,1.304
20.72,1.567
20.723,1.59
20.729,0.936
20.732,1.33
20.735,1.449
20.738,1.476
20.741,1.44
20.744,1.427
20.75,1.741
20.753,1.439
20.757,1.338
20.76,1.215
20.763,1.19
20.766,1.237
20.769,1.291
20.769,1.383
20.773,1.154
20.776,1.034
20.779,1.029
20.782,1.195
20.785,1.415
20.789,1.474
20.808,1.27
20.811,1.384
20.817,1.03
20.821,1.263
20.824,1.301
20.827,1.05
20.83,1.215
20.839,1.116
20.843,0.989
20.848,1.096
20.852,1.177
20.857,1.24
20.865,1.33
20.869,1.228
20.872,1.032
20.876,1.077
20.88,1.219
20.883,1.21
20.887,0.963
20.89,1.024
20.897,1.404
20.917,1.08
20.921,1.391
20.924,1.281
20.928,1.397
20.939,1.465
20.949,1.259
20.958,1.492
20.967,1.518
20.97,1.758
20.972,1.781
20.975,1.693
20.978,1.72
20.981,1.607
20.984,1.577
20.987,1.698
20.995,1.414
20.998,1.492
21.001,1.538
21.004,1.349
21.007,1.69
21.009,1.661
21.012,1.611
21.015,1.696
21.018,1.644
21.021,1.644
21.024,1.664
21.03,1.617
21.033,1.413
21.037,1.333
21.04,1.515
21.043,1.486
21.047,1.6
21.05,1.603
21.054,1.762
21.057,1.703
21.061,1.841
21.064,1.789
21.071,1.601
21.074,1.481
21.077,1.569
21.086,1.219
21.089,1.286
21.092,1.323
21.094,1.342
21.097,1.48
21.1,1.526
21.118,1.48
21.128,1.161
21.144,1.698
21.148,1.79
21.15,1.362
21.153,1.5
21.156,1.335
21.158,1.055
21.161,1.165
21.164,1.345
21.166,1.421
21.169,1.262
21.172,1.103
21.174,1.384
21.177,1.464
21.18,1.507
21.182,1.679
21.185,1.741
21.188,1.639
21.191,1.472
21.194,1.475
21.198,1.286
21.201,1.275
21.205,1.366
21.208,1.383
21.211,1.568
21.215,1.637
21.218,1.605
21.221,1.541
21.225,1.301
21.228,1.338
21.232,1.281
21.236,1.323
21.24,1.059
21.244,1.077
21.248,0.967
21.252,1.259
21.256,1.321
21.259,1.424
21.263,1.309
21.267,1.174
21.27,1.045
21.273,1.027
21.277,1.051
21.28,1.087
21.287,1.137
21.29,1.152
21.294,1.29
21.297,1.442
21.3,1.409
21.304,1.644
21.307,1.404
21.31,1.644
21.314,1.29
21.317,1.078
21.321,1.094
21.324,1.18
21.327,1.091
21.331,1.23
21.334,1.194
21.337,1.17
21.341,1.053
21.344,1.121
21.347,1.27
21.351,1.047
21.354,1.233
21.357,0.994
21.361,1.042
21.363,1.205
21.367,1.174
21.37,1.389
21.374,1.532
21.377,1.556
21.38,1.599
21.383,1.59
21.387,1.449
21.39,1.578
21.393,1.429
21.396,1.384
21.4,1.314
21.403,1.456
21.406,1.069
21.409,1.217
21.413,1.396
21.416,1.417
21.419,1.497
21.423,1.477
21.426,1.291
21.429,1.249
21.432,1.279
21.436,1.248
21.439,0.93
21.439,1.294
21.442,1.306
21.445,1.265
21.449,1.072
21.452,1.171
21.455,1.151
21.458,0.976
21.462,1.349
21.465,1.062
21.468,1.433
21.472,1.366
21.476,1.047
21.48,1.019
21.483,1.04
21.488,0.985
21.492,1.054
21.496,1.142
21.5,1.103
21.504,1.243
21.507,1.176
21.509,1.127
21.512,1.033
21.514,0.968
21.517,1.004
21.519,0.998
21.522,0.555
21.524,1.022
21.527,1.037
21.529,0.986
21.532,0.938
21.534,1.005
21.537,0.765
21.539,1.226
21.541,1.216
21.544,1.193
21.547,1.112
21.55,1.012
21.553,1.034
21.555,1.043
21.557,1.059
21.561,1.163
21.564,1.16
21.567,1.197
21.569,1.267
21.572,1.303
21.575,1.24
21.578,1.256
21.581,0.981
21.583,1.323
21.586,1.44
21.59,1.26
21.593,1.099
21.595,1.091
21.599,0.799
21.602,0.793
21.605,1.01
21.609,1.081
21.612,1.182
21.614,1.109
21.618,0.847
21.621,0.798
21.625,0.931
21.628,0.992
21.631,1.133
21.634,0.797
21.638,0.641
21.641,0.635
21.644,0.751
21.648,1.089
21.651,1.169
21.654,1.027
21.658,1.033
21.661,1.239
21.664,1.064
21.668,1.025
21.671,0.999
21.674,0.957
21.677,1.017
21.681,1.025
21.684,0.975
21.687,0.983
21.69,1.032
21.694,0.955
21.697,0.982
21.699,1.067
21.705,1.05
21.708,0.468
21.712,0.895
21.716,0.713
21.721,0.732
21.725,0.813
21.729,1.04
21.733,0.946
21.737,0.839
21.741,0.888
21.744,1.02
21.748,1
21.748,1.02
21.752,0.822
21.756,0.876
21.776,1.019
21.78,1.289
21.783,1.255
21.787,1.207
21.791,0.991
21.794,0.951
21.797,1.164
21.802,1.098
21.805,1.168
21.809,1.104
21.812,0.919
21.816,1.229
21.82,1.209
21.823,1.259
21.827,1.297
21.831,1.152
21.834,1.1
21.838,1.182
21.842,1.202
21.845,1.109
21.849,1.04
21.851,1.131
21.856,1.224
21.859,1.343
21.863,1.243
21.866,1.379
21.869,1.278
21.873,1.278
21.876,1.24
21.879,1.272
21.883,1.211
21.886,1.243
21.889,1.184
21.893,1.27
21.896,1.34
21.899,1.231
21.901,1.456
21.904,1.231
21.907,1.265
21.909,1.133
21.912,1.16
21.914,1.092
21.919,1.108
21.922,1.255
21.925,1.313
21.928,1.298
21.93,1.228
21.933,1.353
21.936,1.579
21.939,1.549
21.942,1.321
21.946,1.168
21.949,1.244
21.953,1.115
21.957,1.15
21.96,1.187
21.964,1.24
21.968,1.221
21.971,1.192
21.975,1.189
