Depth adj rmcd [armcd],Age [ka BP],Foram bent δ13C [‰ PDB],Foram bent δ18O [‰ PDB]
99.615,22763,0.88,1.62
99.655,22766,1.06,1.89
99.695,22769,0.91,1.74
99.735,22772,0.89,1.59
99.815,22778,0.86,1.67
99.855,22781,0.67,1.73
100.055,22796,0.83,1.61
100.175,22805,1.03,1.46
100.255,22811,1.09,1.68
100.295,22814,1.07,1.61
100.375,22820,0.73,1.55
100.415,22823,1.14,1.73
100.455,22826,1.07,1.83
100.495,22829,1.23,1.82
100.535,22832,1.11,1.96
100.695,22843,1.22,2.16
100.775,22850,1.21,2.1
100.815,22853,1.04,2.04
100.895,22859,1.15,1.92
100.935,22862,0.94,1.87
101.015,22869,0.71,2.15
101.055,22872,1.09,1.83
101.175,22881,1.05,1.93
101.215,22885,0.86,1.71
101.255,22888,1.03,1.84
101.295,22891,0.72,1.75
101.335,22894,1.05,1.56
101.375,22897,0.93,1.61
101.455,22904,0.89,1.7
101.535,22910,0.89,1.58
101.615,22916,0.97,1.58
101.695,22923,1,1.99
101.735,22926,1.21,1.93
101.815,22932,1.14,1.87
101.855,22935,1.34,2.16
101.895,22939,1.16,2.2
101.935,22942,1.15,2.13
101.975,22945,1,2.21
102.015,22948,1.2,2.1
102.055,22951,0.81,2.15
102.095,22954,1.29,1.95
102.135,22956,1.25,1.87
102.215,22960,1.22,2
102.255,22962,1.06,1.88
102.335,22965,1.28,1.93
102.535,22975,1.47,1.9
102.615,22978,1.13,1.79
102.655,22980,0.91,1.59
102.695,22982,1.02,1.94
102.815,22988,1.33,1.92
102.855,22989,0.97,1.92
102.895,22991,1.29,2.04
102.935,22993,1.33,1.79
102.975,22995,1.08,1.63
103.015,22997,0.99,1.81
103.135,23002,1.33,1.76
103.255,23008,1.19,1.97
103.375,23013,1.21,1.97
103.415,23015,1.34,2.12
103.455,23017,1.25,1.81
103.495,23019,1.23,1.89
103.535,23021,1.48,1.97
103.575,23023,1.42,2.23
103.615,23024,1.29,1.97
103.655,23026,1.27,2.14
103.735,23030,1.36,1.71
103.775,23032,1.39,1.92
103.815,23034,1.21,2
103.855,23036,1.02,1.75
103.895,23037,1.38,1.92
103.975,23041,1.21,1.78
104.015,23043,1.33,2.2
104.135,23049,1.44,2.16
104.175,23050,0.98,2.15
104.215,23052,1.2,2.01
104.318,23057,1.24,2.05
104.374,23060,0.86,1.94
104.445,23063,1,1.81
104.485,23065,1.53,2.43
104.525,23067,1.17,2.11
104.605,23071,1.12,1.91
104.645,23073,1.25,1.96
104.725,23077,1.12,2
104.845,23083,1.2,2.23
104.925,23087,0.93,2.01
104.965,23089,0.85,2.08
105.005,23091,1.11,2.09
105.045,23093,1.08,2.12
105.085,23095,1.12,2.15
105.205,23100,1.08,2.16
105.285,23104,1.09,2.03
105.365,23108,0.94,1.98
105.405,23110,1.26,1.89
105.445,23112,1.23,2.17
105.485,23114,0.83,1.81
105.525,23116,1.21,2.16
105.565,23118,1.41,1.99
105.605,23120,1.12,2.26
105.645,23122,1.14,2.02
105.685,23124,0.77,1.84
105.725,23126,1.11,1.79
105.805,23130,0.91,1.87
105.845,23132,1.17,1.98
105.885,23134,1.03,1.99
105.925,23136,1.11,1.86
